,SmartDeposit,Benchmark
2018/12/31,1,1
2019/1/1,1,1
2019/1/2,0.999500001,1.000125969
2019/1/3,0.999897001,1.000175456
2019/1/4,0.999774,1.000346413
2019/1/7,0.99983,1.000409397
2019/1/8,0.999774,1.000458885
2019/1/9,0.999782001,1.000530867
2019/1/10,1.000082,1.000589352
2019/1/11,1.000905,1.000778304
2019/1/14,1.000734,1.000841289
2019/1/15,1.000894,1.00091777
2019/1/16,1.001065001,1.000994251
2019/1/17,1.001144,1.00107523
2019/1/18,1.001584,1.001336165
2019/1/21,1.001573,1.001336165
2019/1/22,1.00169,1.001412646
2019/1/23,1.001944,1.001484628
2019/1/24,1.002202,1.001561108
2019/1/25,1.002642,1.001736564
2019/1/28,1.002972,1.001790551
2019/1/29,1.003327,1.001853535
2019/1/30,1.003472,1.00191202
2019/1/31,1.003412,1.001975004
2019/2/1,1.004253,1.002177453
2019/2/4,1.004230001,1.002249436
2019/2/5,1.004341,1.002307921
2019/2/6,1.004539,1.002375403
2019/2/7,1.004751,1.002447385
2019/2/8,1.004835,1.002609345
2019/2/11,1.004912001,1.002658833
2019/2/12,1.005044,1.002739813
2019/2/13,1.005058,1.002807295
2019/2/14,1.005448001,1.002879277
2019/2/15,1.005598,1.003144711
2019/2/18,1.005635,1.003144711
2019/2/19,1.005574,1.003216693
2019/2/20,1.005807,1.003288674
2019/2/21,1.006182,1.003351658
2019/2/22,1.006164001,1.003540611
2019/2/25,1.006274,1.003594598
2019/2/26,1.006322001,1.003666579
2019/2/27,1.006618,1.003738561
2019/2/28,1.006774,1.003801546
2019/3/1,1.006933001,1.004008494
2019/3/4,1.007003,1.004062481
2019/3/5,1.006886001,1.004138961
2019/3/6,1.00705,1.004201945
2019/3/7,1.007086,1.004273927
2019/3/8,1.007345001,1.004480876
2019/3/11,1.007565001,1.004543859
2019/3/12,1.007587001,1.004611342
2019/3/13,1.007894,1.004674327
2019/3/14,1.007909001,1.004728313
2019/3/15,1.008093,1.004926264
2019/3/18,1.007999001,1.004998245
2019/3/19,1.008185001,1.005052232
2019/3/20,1.008273,1.005110717
2019/3/21,1.008567,1.0051782
2019/3/22,1.008782,1.005394146
2019/3/25,1.009283,1.005448132
2019/3/26,1.009304001,1.005520114
2019/3/27,1.009339,1.005601094
2019/3/28,1.009496001,1.005677575
2019/3/29,1.009419,1.005889021
