,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
SmartDeposit,0.058496063,0.019165721,0.003166738,6.05219696,-0.001143931
Benchmark,0.034727396,0.011465387,0.00075934,15.09915158,-0.000124612
