,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
AHAS,1.01673309,0.263965711,0.168545686,1.566137456,-0.257092089
Hang Seng Index,0.398266326,0.11845565,0.160140218,0.739699564,-0.258447215
