,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
SmartXray Offshore-Growth,0.066200616,0.300450936,0.048779569,5.749352491,0.015097731
Benchmark Offshore-Growth,0.081136706,0.376749632,0.06527355,5.465454718,0.013258035
