CCY1,CCY2,FixingDate,SettlementDate,Amount1,Amount2,Portfolio
AUD,USD,SPOT,SPOT,146000,-99966.2,AQM
EUR,USD,SPOT,SPOT,-678000,751495.2,AQM
GBP,USD,SPOT,SPOT,269000,-352793.5,AQM
NZD,USD,SPOT,SPOT,-307000,201085,AQM
USD,CAD,SPOT,SPOT,-453580.0971,598000,AQM
USD,CHF,SPOT,SPOT,901183.3721,-891000,AQM
USD,IDR,16/3/2019,18/3/2019,-751888.6997,10599375000,AQM
USD,INR,16/3/2019,18/3/2019,100223.7762,-7166000,AQM
USD,JPY,SPOT,SPOT,200000,-21778000,AQM
USD,KRW,16/3/2019,18/3/2019,-299884.0658,356961000,AQM
USD,NOK,SPOT,SPOT,-150037.1001,1375000,AQM
USD,SEK,SPOT,SPOT,-350928.8985,3334000,AQM
USD,SGD,SPOT,SPOT,350696.9919,-478000,AQM
USD,THB,SPOT,SPOT,-648697.6591,19675000,AQM
USD,TWD,16/3/2019,18/3/2019,-300239.3521,9157000,AQM
