Ticker,Segment,Weight
CSPX,US Large Cap,30.59%
IMEU,Developed Europe Stock,7.63%
HK3010,Asia ex-Japan Stock,4.29%
HK2800,Hong Kong Stock,5.87%
USAG,US Aggregate Bond,12.00%
JPEA,Emerging Market Bond,4.67%
IHYA,High Yield Bond,6.00%
JPST,US Ultra-short Bond,14.13%
TIP5,Inflation Protected Bond,3.20%
HK3081,Gold,2.40%
ACAS,China Stock,9.22%
