Ticker,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
CSPX,13.48%,12.15%,91.43%,-17.85%
IMEU,6.78%,14.86%,29.63%,-21.98%
HK3010,11.33%,15.63%,57.32%,-24.84%
HK2800,11.84%,16.94%,55.87%,-24.49%
USAG,2.87%,2.83%,17.48%,-4.37%
JPEA,6.43%,6.04%,67.11%,-8.45%
IHYA,7.71%,5.98%,89.12%,-5.73%
JPST,2.18%,0.59%,-33.89%,-0.48%
TIP5,2.03%,1.52%,-22.99%,-1.26%
HK3081,5.85%,12.94%,26.85%,-17.62%
ACAS,21.52%,25.00%,76.58%,-25.33%
