,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
AQUMON_CCBI,0.309847,0.086767,0.068607,0.918427,-0.100284
Benchmark,0.227194,0.065148,0.065469,0.632237,-0.131021
