,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2016,-4.71%,0.59%,4.88%,1.04%,0.76%,0.43%,2.68%,0.53%,0.28%,-1.04%,0.28%,1.12%,6.77%
2017,1.63%,2.29%,0.88%,1.62%,1.95%,1.03%,1.80%,0.31%,0.93%,1.86%,0.35%,1.30%,17.14%
2018,3.14%,-2.21%,-1.12%,0.50%,0.80%,-0.59%,1.45%,-0.09%,0.16%,-4.27%,0.67%,-3.39%,-5.06%
2019,5.15%,2.77%,2.09%,2.18%,/,/,/,/,/,/,/,/,12.73%
