industry,factor_metric,effect_direction,threshold,pr_mean_w_annreport,pr_std_w_annreport,pr_tstat_w_annreport,pr_num_w_annreport
家电零部件,OPOE_gr_3yr,Positive,0.75,0.16316369,0.224079776,2.184450023,9
工控自动化,ESTMEDIANROA,Positive,0.75,0.218639128,0.241960163,2.710848658,9
工控自动化,GPOA_gr_1yr,Positive,0.75,0.257270494,0.222688949,3.465872393,9
工控自动化,GPOE,Positive,0.75,0.171788041,0.234561853,2.197135285,9
工控自动化,RNDOA_gr_1yr,Positive,0.75,0.238150033,0.282103828,2.532578539,9
工控自动化,SOA,Positive,0.75,0.166327197,0.196932166,2.533773957,9
工程机械,CFOOA_TTM_gr_1yr,Positive,0.75,0.175448895,0.21899504,2.403463946,9
工程机械,CFOOE_TTM,Positive,0.75,0.172728173,0.200280466,2.587294351,9
工程机械,RNDOA,Positive,0.75,0.336872435,0.487021492,2.07509796,9
工程机械,RNDOA_gr_2yr,Positive,0.75,0.316849197,0.45672386,2.081230417,9
平面媒体,DivYield,Positive,0.75,0.099821499,0.140228023,2.135553862,9
平面媒体,DivYield_gr_1yr,Positive,0.75,0.110128759,0.158583333,2.083360661,9
平面媒体,UNLOCKAMTTMKTCAP,Negative,0.75,0.189220009,0.116977774,4.852716944,9
房屋建设,ESTPE,Negative,0.75,0.120747351,0.168137432,2.154440263,9
房屋建设,RNDOA,Positive,0.75,0.18870501,0.150753088,3.755246656,9
房屋建设,RNDOA_gr_2yr,Positive,0.75,0.184644425,0.152767924,3.625978946,9
房屋建设,TPTP,Positive,0.75,0.119333699,0.147356366,2.429491893,9
房屋建设,UNLOCKAMTTMKTCAP,Negative,0.75,0.237639066,0.071803648,9.928704406,9
房屋建设,WRATINGNUMOFBUY,Positive,0.75,0.179899803,0.166287124,3.245587484,9
文娱用品和其他,ARTOS_TTM,Negative,0.75,0.210928963,0.290663052,2.177046179,9
文娱用品和其他,CFOOA_TTM,Positive,0.75,0.221232809,0.322933127,2.055219402,9
文娱用品和其他,CFOOE_TTM_gr_1yr,Positive,0.75,0.192433649,0.161817662,3.567601589,9
文娱用品和其他,ESTPE,Negative,0.75,0.292654032,0.266025376,3.300294544,9
文娱用品和其他,GPOA_TTM,Positive,0.75,0.24658535,0.342401082,2.16049566,9
文娱用品和其他,GPOE_gr_2yr,Positive,0.75,0.233584771,0.300026425,2.335641977,9
文娱用品和其他,OPOA_Semi_gr_1yr,Positive,0.75,0.16408945,0.174873813,2.814991803,9
文娱用品和其他,RNDOE,Positive,0.75,0.348225496,0.511496957,2.042390429,9
文娱用品和其他,RNDOE_gr_1yr,Positive,0.75,0.420400419,0.416708248,3.02658098,9
文娱用品和其他,ROA_TTM_gr_1yr,Positive,0.75,0.202227017,0.228872447,2.650738683,9
新能源发电,UNLOCKAMTTMKTCAP,Negative,0.75,0.114268036,0.121642055,2.818138086,9
显示器件,RNDOE,Positive,0.75,0.129764702,0.158697955,2.453050543,9
显示器件,RNDOE_gr_2yr,Positive,0.75,0.162022606,0.151144136,3.215922435,9
有线电视网络,ASSET_gr_1yr,Negative,0.75,0.106929132,0.158453449,2.024489829,9
有线电视网络,ESTMEDIANROA,Positive,0.75,0.061723569,0.066641333,2.778616517,9
有线电视网络,UNLOCKAMTTMKTCAP,Negative,0.75,0.239333274,0.254216002,2.8243691,9
服装家纺,RNDOE_gr_2yr,Positive,0.75,0.172884454,0.198607618,2.611447468,9
机床工具,ARTOS_gr_1yr,Negative,0.75,0.187368953,0.205631928,2.733558283,9
机床工具,BV_gr_1yr,Negative,0.75,0.19612048,0.275316574,2.137036037,9
机床工具,CFOOE_TTM_gr_1yr,Positive,0.75,0.224070832,0.1343975,5.001674105,9
机床工具,PEDYNAMIC,Negative,0.75,0.137367563,0.123733497,3.330566891,9
机床工具,Positive_NUM,Positive,0.75,0.410944,0.325572111,3.78666341,9
机床工具,RNDOA,Positive,0.75,0.17850305,0.211746007,2.529016519,9
机床工具,RNDOE_gr_1yr,Positive,0.75,0.214520543,0.200246808,3.213842133,9
机床工具,ROAGrVar,Negative,0.75,0.078617561,0.113093352,2.085469032,9
机床工具,SH_Abnormal,Negative,0.75,0.150256874,0.161972093,2.783014124,9
机床工具,TOTALACCRUAL,Negative,0.75,0.172364422,0.229578259,2.252361652,9
机床工具,WRATINGINSTNUM,Positive,0.75,0.410944,0.325572111,3.78666341,9
机械基础件,ARTOS_Semi_gr_2yr,Negative,0.75,0.136581839,0.176202404,2.325425245,9
机械基础件,GPOE_TTM_gr_1yr,Positive,0.75,0.168077838,0.214967864,2.345622752,9
机械基础件,RNDOE,Positive,0.75,0.165396875,0.111297187,4.458249442,9
机械基础件,RNDOE_gr_2yr,Positive,0.75,0.166326893,0.110716085,4.506849015,9
机械基础件,UNLOCKAMTTTTUNLOCKAMT,Negative,0.75,0.512430283,0.571038773,2.692095391,9
机械基础件,WRATINGNUMOFOUTPERFORM,Positive,0.75,0.293110204,0.02826998,31.10474795,9
楼宇设备,BV_gr_3yr,Negative,0.75,0.177568898,0.242286192,2.19866716,9
楼宇设备,CFOOA_Semi,Positive,0.75,0.175736061,0.249852576,2.110077026,9
楼宇设备,CFOOA_Semi_gr_2yr,Positive,0.75,0.099114477,0.11580105,2.56770927,9
楼宇设备,DivYield,Positive,0.75,0.263365801,0.13176029,5.996475916,9
楼宇设备,DivYield_gr_1yr,Positive,0.75,0.492015191,0.455119357,3.243205434,9
楼宇设备,EVA,Positive,0.75,0.204606975,0.285694994,2.148518312,9
楼宇设备,GPOE_TTM_gr_1yr,Positive,0.75,0.228987502,0.287725622,2.387561105,9
楼宇设备,OPOA_Semi,Positive,0.75,0.224197647,0.309022557,2.176517294,9
楼宇设备,OPOA_TTM_gr_1yr,Positive,0.75,0.195360892,0.275506108,2.12729467,9
楼宇设备,RNDOA_gr_1yr,Positive,0.75,0.13069181,0.140879186,2.783061433,9
楼宇设备,ROA_gr_1yr,Positive,0.75,0.196633256,0.277713416,2.124131326,9
楼宇设备,ROA_Semi,Positive,0.75,0.223196002,0.316961202,2.112523558,9
楼宇设备,S_gr_1yr,Positive,0.75,0.186647212,0.268560304,2.084975431,9
楼宇设备,SOE_gr_1yr,Positive,0.75,0.178327616,0.214924089,2.489171173,9
橡胶,RNDOA,Positive,0.75,0.109021806,0.026497019,12.34347988,9
橡胶,RNDOA_gr_2yr,Positive,0.75,0.119860385,0.028442566,12.64236004,9
水务,RNDOA_gr_1yr,Positive,0.75,0.054631439,0.037898712,4.324535354,9
水务,UNLOCKAMTTMKTCAP,Negative,0.75,0.088476689,0.086651556,3.063188685,9
汽车整车,RNDOA_gr_1yr,Positive,0.75,0.225974085,0.285583035,2.37381838,9
汽车服务,discrete_accruals,Negative,0.75,0.124302594,0.153971718,2.421923898,9
汽车服务,ESTMEDIANROA,Positive,0.75,0.293866139,0.133604787,6.598554088,9
汽车服务,RNDOA_gr_1yr,Positive,0.75,0.366069138,0.27972891,3.925970364,9
汽车服务,TOTALACCRUAL,Negative,0.75,0.127246079,0.161175073,2.368469457,9
汽车服务,UNLOCKAMTTMKTCAP,Negative,0.75,0.147810932,0.079355936,5.587897028,9
汽车零部件,CFOOE_TTM_gr_3yr,Positive,0.75,0.076263926,0.113627721,2.013520777,9
汽车零部件,GPOA_Semi_gr_3yr,Positive,0.75,0.072827993,0.091771984,2.380726343,9
港口,RNDOA,Positive,0.75,0.024385006,0.010037951,7.287843485,9
港口,RNDOA_gr_3yr,Positive,0.75,0.024385006,0.010037951,7.287843485,9
火电,WRATINGNUMOFHOLD,Positive,0.75,0.034362117,0.013103056,7.867351705,9
物流,UNLOCKAMTTMKTCAP,Negative,0.75,0.175532315,0.084235333,6.251497182,9
环保工程及服务,WRATINGNUMOFHOLD,Positive,0.75,0.077021215,0.103276232,2.237336142,9
珠宝首饰,DivYield_gr_1yr,Positive,0.75,0.216420377,0.245811823,2.641293345,9
珠宝首饰,ESTMEDIANROA,Positive,0.75,0.087758936,0.13036926,2.019469999,9
珠宝首饰,GPOE_gr_3yr,Positive,0.75,0.23253289,0.276823839,2.520009371,9
珠宝首饰,OPOE_Abnormal,Positive,0.75,0.223238882,0.2594957,2.580839084,9
珠宝首饰,ROE_gr_3yr,Positive,0.75,0.161237813,0.208606779,2.318781022,9
珠宝首饰,SOA_gr_3yr,Positive,0.75,0.171520204,0.163654263,3.144193162,9
生物制品,RNDOE_gr_2yr,Positive,0.75,0.040934066,0.052991035,2.317414571,9
生物制品,UNLOCKAMTTMKTCAP,Negative,0.75,0.081555985,0.059154113,4.136110575,9
电子系统组装,RNDOA,Positive,0.75,0.139480714,0.130063147,3.217222972,9
电子系统组装,RNDOA_gr_2yr,Positive,0.75,0.157882133,0.127971704,3.701180686,9
电子零部件制造,CFOOE_TTM_Abnormal,Positive,0.75,0.202727069,0.243356478,2.499137115,9
电子零部件制造,GPOA_gr_1yr,Positive,0.75,0.142724211,0.148741385,2.87863819,9
电子零部件制造,GPOE,Positive,0.75,0.125662533,0.176850673,2.131671842,9
电子零部件制造,S_TTM_gr_3yr,Positive,0.75,0.130017099,0.186492811,2.091508488,9
电机,ARTOS_TTM_gr_1yr,Negative,0.75,0.230491949,0.175455269,3.941037785,9
电机,ESTMEDIANROE,Positive,0.75,0.035329038,0.037589081,2.819625035,9
电机,ESTPEG,Negative,0.75,0.09194143,0.1276924,2.160068165,9
电机,SH_Abnormal,Negative,0.75,0.096217715,0.123011286,2.34655823,9
电机,UNLOCKAMTTMKTCAP,Negative,0.75,0.118347583,0.150566147,2.358051648,9
畜禽养殖,RNDOE_gr_2yr,Positive,0.75,0.328845738,0.47958047,2.0570838,9
白色家电,RNDOA_gr_1yr,Positive,0.75,0.129256588,0.100062769,3.87526517,9
白酒,SOE_Abnormal,Positive,0.75,0.105482147,0.128906758,2.45484757,9
石油化工,WRATINGNUMOFOUTPERFORM,Positive,0.75,0.115979138,0.122834514,2.832570435,9
种植业,RNDOA,Positive,0.75,0.173659467,0.115866784,4.49635678,9
种植业,RNDOA_gr_3yr,Positive,0.75,0.182379359,0.119471548,4.579651671,9
稀有金属,DivYield_gr_1yr,Positive,0.75,0.101052975,0.125776343,2.410301625,9
稀有金属,GPOE_TTM_gr_2yr,Positive,0.75,0.131596552,0.195357376,2.020858723,9
稀有金属,SOA_TTM_gr_2yr,Positive,0.75,0.128827108,0.18790307,2.056812187,9
线缆部件及其他,Positive_NUM,Positive,0.75,0.055977237,0.073852926,2.273866729,9
终端设备,RNDOA,Positive,0.75,0.122662807,0.149223485,2.466022165,9
终端设备,RNDOA_gr_2yr,Positive,0.75,0.159237898,0.130355683,3.664694033,9
综合,GPOE_TTM_gr_2yr,Positive,0.75,0.123617305,0.150337976,2.466787991,9
综合,RNDOE,Positive,0.75,0.173745475,0.151471744,3.441146268,9
综合,RNDOE_gr_3yr,Positive,0.75,0.16828523,0.141627875,3.564663318,9
航天装备,DivYield,Positive,0.75,0.161768568,0.057305415,8.468758144,9
航天装备,UNLOCKAMTTMKTCAP,Negative,0.75,0.026910204,0.015456658,5.223031493,9
航空装备,RNDOE_gr_1yr,Positive,0.75,0.15904168,0.168101254,2.838319338,9
船舶制造,DivYield,Positive,0.75,0.50743933,0.445787043,3.414899591,9
船舶制造,DivYield_gr_1yr,Positive,0.75,0.326035281,0.225372788,4.339946493,9
船舶制造,RNDOE,Positive,0.75,0.399299048,0.304877848,3.929105215,9
船舶制造,RNDOE_gr_3yr,Positive,0.75,0.272634666,0.11380464,7.186912537,9
船舶制造,UNLOCKAMTTMKTCAP,Negative,0.75,0.218274171,0.263665333,2.483536628,9
