industry,factor_metric,effect_direction,threshold,pr_mean_w_annreport,pr_std_w_annreport,pr_tstat_w_annreport,pr_num_w_annreport
营销服务,UNLOCKAMTTTTUNLOCKAMT,Negative,0.75,0.284699286,0.404999768,2.108884811,9
被动元件,WRATINGNUMOFOUTPERFORM,Positive,0.75,0.312473148,0.155334504,6.034843664,9
装修装饰,OPOE_gr_1yr,Positive,0.75,0.10591064,0.15045756,2.111771068,9
视听器材,DivYield_gr_1yr,Positive,0.75,0.085398509,0.117048325,2.188801316,9
计算机设备,UNLOCKAMTTTTUNLOCKAMT,Negative,0.75,0.139172374,0.185639273,2.249077549,9
计量仪表,ARTOS_gr_2yr,Negative,0.75,0.145607704,0.172424206,2.533421046,9
计量仪表,DivYield_gr_1yr,Positive,0.75,0.267701662,0.20330539,3.950239524,9
调味发酵品,CFOOE,Positive,0.75,0.188761859,0.266316266,2.126364958,9
调味发酵品,CFOOE_TTM_gr_3yr,Positive,0.75,0.123948163,0.150945742,2.463431451,9
调味发酵品,ESTINSTNUM,Positive,0.75,0.355474105,0.325749237,3.273752296,9
调味发酵品,ESTMEDIANROE,Positive,0.75,0.301719586,0.171696422,5.271855698,9
调味发酵品,GPOE_TTM_Abnormal,Positive,0.75,0.238504867,0.239944092,2.982005497,9
调味发酵品,OPOA_Semi,Positive,0.75,0.238420224,0.298446766,2.396610566,9
调味发酵品,OPOA_Semi_gr_3yr,Positive,0.75,0.266492967,0.185705137,4.305098467,9
调味发酵品,ROA_Semi,Positive,0.75,0.234461475,0.306384647,2.295756109,9
调味发酵品,ROA_Semi_gr_3yr,Positive,0.75,0.275463735,0.18546612,4.455752915,9
调味发酵品,SOE_TTM_gr_3yr,Positive,0.75,0.197384829,0.146556254,4.040458688,9
调味发酵品,TPTP,Positive,0.75,0.077321349,0.092293101,2.513341115,9
软件开发,RNDOA_gr_2yr,Positive,0.75,0.098480992,0.091731592,3.220733111,9
运输,RNDOE_gr_1yr,Positive,0.75,0.15246079,0.14342054,3.189099478,9
通信传输设备,RNDOA,Positive,0.75,0.268398511,0.276729439,2.909685129,9
通信传输设备,RNDOA_gr_1yr,Positive,0.75,0.227820257,0.260602366,2.622619207,9
通信传输设备,UNLOCKAMTTMKTCAP,Negative,0.75,0.427669828,0.109189788,11.75026997,9
通信配套服务,CFOOA_gr_3yr,Positive,0.75,0.120889811,0.176566753,2.054007489,9
通信配套服务,DivYield,Positive,0.75,0.241091517,0.093839159,7.707598389,9
通信配套服务,GPOE_gr_3yr,Positive,0.75,0.124753834,0.138424469,2.703723583,9
通信配套服务,SOE_gr_1yr,Positive,0.75,0.123890134,0.130801464,2.841485035,9
造纸,WRATINGNUMOFBUY,Positive,0.75,0.28274958,0.084773797,10.00602507,9
造纸,WRATINGNUMOFOUTPERFORM,Positive,0.75,0.131508996,0.144489562,2.730487811,9
酒店、餐饮和其他,CFOOA_Semi,Positive,0.75,0.143200196,0.214218901,2.005428021,9
酒店、餐饮和其他,CFOOA_Semi_gr_1yr,Positive,0.75,0.204505208,0.243612926,2.51840342,9
酒店、餐饮和其他,ESTMEDIANROE,Positive,0.75,0.211007466,0.275306682,2.299335397,9
酒店、餐饮和其他,ESTPE,Negative,0.75,0.221444339,0.313505808,2.11904533,9
酒店、餐饮和其他,ESTPEG,Negative,0.75,0.258330926,0.278480003,2.782938701,9
酒店、餐饮和其他,OPOA_TTM_gr_2yr,Positive,0.75,0.205386591,0.207484631,2.969664649,9
酒店、餐饮和其他,RNDOA,Positive,0.75,0.246515645,0.155238933,4.763926955,9
酒店、餐饮和其他,RNDOA_gr_2yr,Positive,0.75,0.326634589,0.12285049,7.976392846,9
酒店、餐饮和其他,ROA_TTM_gr_2yr,Positive,0.75,0.238158763,0.183642832,3.890575425,9
酒店、餐饮和其他,WRATINGNUMOFBUY,Positive,0.75,0.197924334,0.143169569,4.147340846,9
采掘,DivYield,Positive,0.75,0.052318143,0.052965267,2.963346347,9
采掘,GPOA_gr_2yr,Positive,0.75,0.076228853,0.101255,2.258521134,9
采掘,RNDOE,Positive,0.75,0.086868808,0.129128939,2.0181876,9
采掘,RNDOE_gr_3yr,Positive,0.75,0.086051844,0.127769132,2.020484345,9
采掘服务,UNLOCKAMTTMKTCAP,Negative,0.75,0.223459894,0.308555948,2.172635751,9
重型机械,CFOOE_gr_2yr,Positive,0.75,0.094565956,0.106572802,2.66201002,9
重型机械,RNDOA,Positive,0.75,0.295685734,0.14771715,6.005106376,9
重型机械,RNDOE_gr_1yr,Positive,0.75,0.170589862,0.096132269,5.323598311,9
重型机械,ROA_TTM,Positive,0.75,0.150007571,0.202280723,2.224743444,9
重型机械,UNLOCKAMTTMKTCAP,Negative,0.75,0.239845687,0.306190465,2.349965604,9
金属制品,ASSET_gr_2yr,Negative,0.75,0.14921653,0.206292691,2.169973098,9
金属非金属新材料,RNDOA,Positive,0.75,0.140375092,0.115380363,3.649886914,9
金属非金属新材料,RNDOA_gr_2yr,Positive,0.75,0.147446375,0.058710868,7.534194977,9
钢铁,RNDOA,Positive,0.75,0.162937875,0.142881066,3.421122468,9
钢铁,RNDOA_gr_1yr,Positive,0.75,0.155176867,0.135661668,3.431555925,9
铜,OPOE_Semi,Positive,0.75,0.174574209,0.194200287,2.696816952,9
铜,OPOE_Semi_gr_1yr,Positive,0.75,0.158266379,0.225379268,2.106667318,9
铜,RNDOE,Positive,0.75,0.154785699,0.125790727,3.691505003,9
铜,RNDOE_gr_1yr,Positive,0.75,0.142512306,0.125172788,3.415573975,9
铜,ROA_Semi_gr_2yr,Positive,0.75,0.173045362,0.25142574,2.064769046,9
铜,ROE_Semi,Positive,0.75,0.177589564,0.250158715,2.129722696,9
铜,WRATINGNUMOFOUTPERFORM,Positive,0.75,0.121050675,0.083437563,4.352380568,9
铝,DivYield,Positive,0.75,0.112539032,0.123040542,2.743949995,9
铝,ESTPE,Negative,0.75,0.088530003,0.129820443,2.045825774,9
铝,GPOA_Semi_gr_2yr,Positive,0.75,0.110766039,0.158159611,2.101030192,9
铝,WRATINGNUMOFHOLD,Positive,0.75,0.121421263,0.123303022,2.954216212,9
银行,ROA_gr_2yr,Positive,0.75,0.0543874,0.07117738,2.292332174,9
银行,S_TTM_gr_2yr,Positive,0.75,0.062541071,0.083283563,2.252824025,9
银行,SOE_TTM_Abnormal,Positive,0.75,0.086982903,0.130295638,2.002743256,9
集成电路,GPOE_TTM_gr_1yr,Positive,0.75,0.116986675,0.144358592,2.431168254,9
集成电路,OPOA_TTM_gr_3yr,Positive,0.75,0.104890021,0.143678305,2.190101442,9
集成电路,SOA_Semi_gr_1yr,Positive,0.75,0.136271256,0.16913255,2.417120593,9
集成电路,UNLOCKAMTTMKTCAP,Negative,0.75,0.195470694,0.163421421,3.588342831,9
风电设备,ESTPE,Negative,0.75,0.23036028,0.228598069,3.023126329,9
风电设备,RNDOA_gr_3yr,Positive,0.75,0.242886295,0.33322986,2.186655434,9
食品综合,BV_gr_3yr,Negative,0.75,0.155931278,0.210201338,2.225456018,9
食品综合,DivYield,Positive,0.75,0.129941022,0.170097438,2.291763297,9
食品综合,OPOA_TTM_gr_2yr,Positive,0.75,0.09260319,0.136972206,2.028218545,9
食品综合,RNDOA,Positive,0.75,0.117647267,0.105066025,3.359238173,9
饲料,ARTOS_Semi_Abnormal,Negative,0.75,0.113915242,0.165831591,2.06079989,9
饲料,GPOE,Positive,0.75,0.145781125,0.204323877,2.140441835,9
饲料,RNDOE_gr_3yr,Positive,0.75,0.213133486,0.070289195,9.096710511,9
高压设备,DivYield,Positive,0.75,0.145511548,0.117415803,3.717852546,9
高压设备,WRATINGNUMOFOUTPERFORM,Positive,0.75,0.126703358,0.177526961,2.141139979,9
高速公路,RNDOE_gr_1yr,Positive,0.75,0.053487927,0.023171568,6.92502902,9
黄金,ESTPE,Negative,0.75,0.139175752,0.203801734,2.048693335,9
黄金,RNDOA,Positive,0.75,0.228002485,0.295636107,2.313680359,9
黄金,RNDOA_gr_3yr,Positive,0.75,0.228002485,0.295636107,2.313680359,9
房地产开发,S_TTM_gr_2yr,Positive,0.75,0.062541071,0.083283563,2.252824025,9
房地产开发,CFOOA_gr_3yr,Positive,0.75,0.120889811,0.176566753,2.054007489,9
多业态零售,S_TTM_gr_2yr,Positive,0.75,0.062541071,0.083283563,2.252824025,9
多业态零售,ARTOA,Negative,0.75,0.113915242,0.165831591,2.06079989,9
百货,S_TTM_gr_2yr,Positive,0.75,0.062541071,0.083283563,2.252824025,9
百货,ARTOA,Negative,0.75,0.113915242,0.165831591,2.06079989,9
