factor_metric,pr_mean_w_annreport,pr_std_w_annreport,pr_tstat_w_annreport,pr_num_w_annreport,industry
RNDOE_gr_3yr,0.0864075858701956,0.10110886707963844,2.563798459005676,9,医药商业
RNDOA_gr_3yr,0.09563251880257577,0.09102632211332336,3.1518087268268813,9,医药商业
DivYield,0.0740745879533483,0.08409891813528822,2.642409305462861,9,医药商业
GPOA_gr_2yr,0.07622885280944247,0.10125500043329087,2.258521134262316,9,采掘
GPOA_TTM_gr_1yr,0.07499277993049369,0.10032180201806837,2.242566772783463,9,采掘
RNDOE,0.0868688077990847,0.12912893894657745,2.0181876001093046,9,采掘
RNDOE_gr_3yr,0.08605184393218225,0.127769132386148,2.0204843452825583,9,采掘
DivYield,0.05231814302582015,0.05296526652919519,2.9633463468166443,9,采掘
ESTMEDIANROA,0.0674016087556415,0.09639959401884876,2.0975692722044856,9,商业物业经营
ESTMEDIANROA,0.2989886764924814,0.24035110409656574,3.731898935305371,9,光伏设备
RNDOA,0.2466895164262574,0.2130179633847268,3.474207233603824,9,光伏设备
RNDOA_gr_2yr,0.3030366107868784,0.2238404982948984,4.061418015442984,9,光伏设备
RNDOA_gr_3yr,0.26417722382302605,0.20931547163731767,3.7863023945134016,9,光伏设备
DivYield_gr_1yr,0.20632311021906816,0.25730692250395626,2.4055681232116384,9,光伏设备
UNLOCKAMTTTTUNLOCKAMT,0.2718842812010915,0.3986504786932521,2.04603502867205,9,光伏设备
ARTOS_gr_2yr,0.14560770404526652,0.17242420593134344,2.5334210459390807,9,计量仪表
DivYield,0.11918934113767947,0.15943127788317232,2.2427721094668533,9,计量仪表
DivYield_gr_1yr,0.2677016618804941,0.2033053896632281,3.950239523761824,9,计量仪表
ROA_TTM_gr_1yr,0.10837769228774984,0.14541156921619874,2.235950541045601,9,专业工程
ARTOS_TTM_gr_3yr,0.10890009142495304,0.1201682575323674,2.7186902846357928,9,专业工程
ROE_TTM_Abnormal,0.12169962789535987,0.14847182920211816,2.4590448278849046,9,专业工程
ROA_TTM_Abnormal,0.0968517339847656,0.1257875595380616,2.3098882196405026,9,专业工程
OPOE_TTM_Abnormal,0.09065565993795206,0.12586899319394554,2.160714667787921,9,专业工程
OPOA_TTM_Abnormal,0.07374612470414567,0.09931478902377536,2.2276478285572745,9,专业工程
RNDOE,0.14048158437882605,0.1425364818024348,2.956750074136312,9,专业工程
RNDOE_gr_2yr,0.14404705654657168,0.14021011657695473,3.0820969284519006,9,专业工程
RNDOE_gr_3yr,0.14095607305456154,0.14177496401766468,2.9826720260073327,9,专业工程
RNDOA_gr_3yr,0.15732051683503376,0.22121545864673275,2.13349262927775,9,专业工程
ESTMEDIANROA,0.21863912811713876,0.24196016346004265,2.7108486577780586,9,工控自动化
ESTMEDIANROE,0.1386844632777536,0.19981533992017725,2.0821894355031345,9,工控自动化
GPOE,0.17178804123125194,0.23456185293511264,2.1971352854051767,9,工控自动化
SOA,0.1663271974596315,0.19693216554821089,2.533773957087468,9,工控自动化
OPOE,0.15976469233382887,0.2391530290996409,2.004131324641483,9,工控自动化
GPOE_gr_1yr,0.19402675371447775,0.2723435416843321,2.137301503621154,9,工控自动化
GPOA_gr_1yr,0.2572704935078038,0.2226889489764088,3.4658723931791315,9,工控自动化
SOE_gr_2yr,0.15937602370176807,0.2080548788833209,2.2980863206454427,9,工控自动化
SOA_gr_2yr,0.14334890029348366,0.2080397128267104,2.0671375432952277,9,工控自动化
ARTOS_gr_2yr,0.14330531939758848,0.20528295968276886,2.094260326610305,9,工控自动化
SOE_gr_3yr,0.1559771296129295,0.20160620291384415,2.3210168242628804,9,工控自动化
GPOE_Abnormal,0.22404623273348245,0.230513189719966,2.915836178471959,9,工控自动化
GPOA_Abnormal,0.2018121492317323,0.2466610014808051,2.4545284583315503,9,工控自动化
SOE_Abnormal,0.16837786096951612,0.19835792345868247,2.546576280396314,9,工控自动化
GPOE_Semi_gr_1yr,0.21469562879201887,0.2879466381771861,2.2368272484560903,9,工控自动化
GPOA_Semi_gr_1yr,0.21306683911388505,0.2653494798181788,2.408900585671561,9,工控自动化
SOE_Semi_gr_1yr,0.19465238202766574,0.201732916504952,2.89470432589846,9,工控自动化
SOA_Semi_gr_1yr,0.18638229100987172,0.21211715944362813,2.636028478300517,9,工控自动化
S_Semi_gr_1yr,0.16322658477624272,0.20209554425984866,2.42301113625302,9,工控自动化
SOA_Semi_gr_2yr,0.14817363420962407,0.2148849112790255,2.068646420928397,9,工控自动化
GPOE_Semi_Abnormal,0.1691121143348811,0.24650971286818785,2.058078511802588,9,工控自动化
GPOA_Semi_Abnormal,0.18025774168284486,0.253584433789656,2.132517430060778,9,工控自动化
SOE_Semi_Abnormal,0.1525379185653667,0.1826180179639468,2.5058521650719268,9,工控自动化
S_TTM_gr_1yr,0.14592025634717967,0.2002925190021856,2.1856071870400817,9,工控自动化
RNDOE_gr_1yr,0.21620169860268554,0.2962204002200276,2.189603063550936,9,工控自动化
RNDOA_gr_1yr,0.23815003336989105,0.2821038278150068,2.5325785390554247,9,工控自动化
WRATINGINSTNUM,0.05597723674820786,0.07385292554827202,2.2738667290148102,9,线缆部件及其他
Positive_NUM,0.05597723674820786,0.07385292554827202,2.2738667290148102,9,线缆部件及其他
RNDOA,0.08109611599347491,0.10075351199360773,2.414688512256129,9,软件开发
RNDOA_gr_2yr,0.09848099167046033,0.09173159179923464,3.2207331107694346,9,软件开发
GPOA,0.1483447598267285,0.2005120702241155,2.2194887269517682,9,重型机械
