Currency,Country,Event Short Name,Bloomber Ticker,BBG FREQ,BBG TRANSFORM,BBG INDX UNITS,BBG QUOTE UNITS,BBG UPDATE TIME
CNH,China,Industrial Production YoY,CHVAIOY Index,Monthly,YoY% NSA,Rate,% CHANGE,10:00:00 AM
CNH,China,CPI YoY,CNCPIYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,9:30:00 AM
CNH,China,Industrial Profits YoY,CNPRETLY Index,Monthly,YoY% NSA,Rate,% CHANGE,9:30:00 AM
CNH,China,Retail Sales YoY,CNRSCYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,10:00:00 AM
CNH,China,Mfc. PMI,CPMINDX Index,Monthly,% Balance/Diffusion Index SA,Percent,Points,9:00:00 AM
CNH,China,Caixin Mfc. PMI,MPMICNMA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,9:45:00 AM
CNH,China,PPI YoY,CHEFTYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,9:30:00 AM
CNH,China,Fixed Assets Ex Rural YTD YoY,CNFAYOY Index,Monthly,YTD YoY% NSA,Rate,% CHANGE,10:00:00 AM
CNH,China,Caixin China PMI Services,MPMICNSA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,9:45:00 AM
CNH,China,Caixin China PMI Composite,MPMICNCA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,9:45:00 AM
CNH,China,Retail Sales YTD YoY,CNRSACMY Index,Monthly,YTD YoY% NSA,Rate,% CHANGE,10:00:00 AM
CNH,China,Industrial Production YTD YoY,CHVAICY Index,Monthly,YTD YoY% NSA,Rate,% CHANGE,10:00:00 AM
EUR,Eurozone,Unemployment Rate,UMRTEMU Index,Monthly,Percent SA,Rate,%,6:00:00 PM
EUR,Eurozone,CPI Estimate YoY,ECCPEST Index,Monthly,YoY% NSA,Rate,% CHANGE,6:00:00 PM
EUR,Eurozone,CPI Core YoY,CPEXEMUY Index,Monthly,YoY% NSA,Rate,% CHANGE,6:00:00 PM
EUR,Eurozone,Markit Eurozone Mfc PMI,MPMIEZMA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,5:00:00 PM
EUR,Eurozone,Markit Eurozone Services PMI,MPMIEZSA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,5:00:00 PM
EUR,Eurozone,Markit Eurozone Composite PMI,MPMIEZCA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,5:00:00 PM
EUR,Eurozone,Retail Sales MoM,RSSAEMUM Index,Monthly,MoM% SA,Rate,% CHANGE,6:00:00 PM
EUR,Eurozone,Retail Sales YoY,RSWAEMUY Index,Monthly,YoY% WDA,Rate,% CHANGE,6:00:00 PM
EUR,Eurozone,Industrial Production SA MoM,EUITEMUM Index,Monthly,MoM% SWDA,Rate,% CHANGE,6:00:00 PM
EUR,Eurozone,EU GDP QoQ,EUGNEMUQ Index,Quarterly,QoQ% SWDA,Rate,% CHANGE,6:00:00 PM
EUR,Eurozone,Trade Balance NSA,XTTBEZ Index,Monthly,Value NSA,Value,MILLIONS,6:00:00 PM
EUR,Eurozone,ZEW Survey Expectations,GRZEEUEX Index,Monthly,% Balance/Diffusion Index NSA,Value,Balance,6:00:00 PM
EUR,Eurozone,EU CPI YoY (final),ECCPEMUY Index,Monthly,YoY% NSA,Percent,%,6:00:00 PM
EUR,Eurozone,ECB Current Account SA,EUSATOTN Index,Monthly,Value SWDA,Value,BILLIONS,5:00:00 PM
EUR,Eurozone,M3 Money Supply YoY,ECMAM3YY Index,Monthly,YoY% SWDA,Rate,% CHANGE,5:00:00 PM
EUR,Eurozone,Employment QoQ,EMEMULQQ Index,Quarterly,QoQ% SWDA,Rate,% CHANGE,6:00:00 PM
EUR,Eurozone,Employment YoY,EMEMULYY Index,Quarterly,YoY% NSA,Rate,% CHANGE,6:00:00 PM
EUR,Eurozone,Consumer Confidence,EUCCEMU Index,Monthly,% Balance/Diffusion Index SA,Value,%,11:00:00 PM
EUR,France,France CPI EU HICP MoM,FRCPEECM Index,Monthly,MoM% NSA,Rate,% CHANGE,3:45:00 PM
EUR,France,France CPI EU HICP YoY,FRCPEECY Index,Monthly,YoY% NSA,Rate,% CHANGE,3:45:00 PM
EUR,Germany,GE Markit/BME Mfc PMI,MPMIDEMA Index,Monthly,% Balance/Diffusion Index SA,Value,%,4:55:00 PM
EUR,Germany,GE GDP QoQ,GRGDPPGQ Index,Quarterly,QoQ% SWDA,Rate,% CHANGE,3:00:00 PM
EUR,Germany,GE CPI MoM,GRCP20MM Index,Monthly,MoM% NSA,Rate,% CHANGE,3:00:00 PM
EUR,Germany,GE CPI YoY,GRCP20YY Index,Monthly,YoY% NSA,Rate,% CHANGE,3:00:00 PM
EUR,Germany,GE GDP YoY,GDPB95YY Index,Quarterly,YoY% NSA,Rate,% CHANGE,3:00:00 PM
EUR,Germany,GE ZEW Survey Current Situation,GRZECURR Index,Monthly,% Balance/Diffusion Index NSA,Value,Balance,6:00:00 PM
EUR,Germany,GE ZEW Survey Expectations,GRZEWI Index,Monthly,% Balance/Diffusion Index NSA,Value,Balance,6:00:00 PM
EUR,Germany,GE IFO Business Climate,GRIFPBUS Index,Monthly,Index SA,Value,#N/A Field Not Applicable,5:00:00 PM
EUR,Germany,GE IFO Current Assessment,GRIFPCA Index,Monthly,Index SA,Value,2005=100,5:00:00 PM
EUR,Germany,GE IFO Expectations,GRIFPEX Index,Monthly,Index SA,Value,2005=100,5:00:00 PM
EUR,Germany,Germany HICP YoY,GRCP2HYY Index,Monthly,YoY% NSA,Percent,%,3:00:00 PM
EUR,Germany,Germany HICP MoM,GRCP2HMM Index,Monthly,MoM% NSA,Rate,% CHANGE,3:00:00 PM
EUR,Germany,Germany IP,GRIPIMOM Index,Monthly,MoM% SWDA,Percent,% CHANGE,3:00:00 PM
EUR,Germany,Germany exports MoM,GRBTEXMM Index,Monthly,MoM% SWDA,Percent,% CHANGE,3:00:00 PM
EUR,Germany,Germany imports MoM,GRBTIMMM Index,Monthly,MoM% SWDA,Percent,% CHANGE,3:00:00 PM
EUR,Germany,Germany Current Account Balance,GRCAEU Index,Monthly,Value NSA,Value,BILLIONS,3:00:00 PM
