,25%,50%,75%,count,diff_stat_p,end,freq_day,max,mean,min,missing_pct,raw_stat_p,start,std
BISBCNN Index,90.37,98.17,112.82,6139.0,0.0,2019-10-22,1.4001303356142065,128.26,100.4587913340932,76.92,0.0,0.5121355809051905,1996-04-11,12.526425428778966
BISBCNR Index,87.62,96.79,113.88,309.0,1.4422534948645904e-20,2019-09-30,30.431818181818183,130.93,99.632427184466,65.81,0.0,0.40126579981618,1994-01-31,15.767026632498215
BISBEUN Index,88.82,98.02,102.015,6139.0,0.0,2019-10-22,1.4001303356142065,111.2,95.92517510995252,74.75,0.0,0.380614876270654,1996-04-11,8.11646708700168
BISBEUR Index,94.74,99.68,105.92,309.0,1.6874703280593125e-22,2019-09-30,30.431818181818183,111.58,99.65944983818775,83.45,0.0,0.3106504612658217,1994-01-31,6.914077444180927
BISBGBN Index,100.14,113.48,125.11500000000001,6139.0,3.5785720418310046e-27,2019-10-22,1.4001303356142065,133.99,113.08249063365419,92.02,0.0,0.5405018107107044,1996-04-11,12.370875410653296
BISBGBR Index,102.06,112.31,127.12,309.0,5.970719509241614e-28,2019-09-30,30.431818181818183,134.73,114.49420711974108,93.89,0.0,0.7322378959631606,1994-01-31,12.250261689590788
BISBIDN Index,78.95,100.55,121.69999999999999,6139.0,,2019-10-22,1.4001303356142065,417.49,120.6568610522887,67.46,0.0,0.0023987422521055584,1996-04-11,77.01894321156708
BISBIDR Index,81.81,90.3,96.86,309.0,,2019-09-30,30.431818181818183,113.96,88.12783171521035,36.36,0.0,0.017131350987066734,1994-01-31,13.716943481151143
BISBINN Index,78.975,105.43,117.225,6139.0,4.102577752012263e-26,2019-10-22,1.4001303356142065,135.28,100.6708291252646,65.83,0.0,0.8405986124371894,1996-04-11,18.84315398100158
BISBINR Index,90.77,93.34,97.4,309.0,,2019-09-30,30.431818181818183,104.59,93.99540453074435,82.16,0.0,0.013117434250784423,1994-01-31,4.787544335162676
BISBJPN Index,80.08,85.44,91.685,6139.0,0.0,2019-10-22,1.4001303356142065,112.75,86.62402997230829,67.62,0.0,0.13393215969246913,1996-04-11,9.453488972168033
BISBJPR Index,81.42,100.99,109.62,309.0,1.1650379823061647e-15,2019-09-30,30.431818181818183,150.81,98.79533980582531,67.64,0.0,0.42082943932053163,1994-01-31,18.58579061077746
