,25%,50%,75%,count,end,freq_day,max,mean,min,missing_pct,start,std
GDPB95YY Index,0.8,1.55,2.5,110.0,2019-09-30,90.48648648648648,6.4,1.3963636363636365,-7.9,0.017857142857142905,1992-03-31,2.108302820751008
GDPCPCEC Index,1.4,1.85,2.3,118.0,2019-09-30,91.3135593220339,4.7,1.9322033898305082,0.2,0.008403361344537785,1990-03-31,0.7712661757360844
GRBTEXMM Index,-1.4,0.4,2.1,349.0,2019-09-30,30.435530085959886,11.5,0.42865329512894007,-9.0,0.0028571428571428914,1990-08-31,3.0155790255497155
GRBTIMMM Index,-1.6,0.4,2.2,349.0,2019-09-30,30.435530085959886,11.8,0.44699140401146203,-9.7,0.0028571428571428914,1990-08-31,3.493684507734073
GRCAEU Index,-0.2,6.55,15.2,356.0,2019-09-30,30.43258426966292,32.7,7.835112359550565,-13.2,0.0028011204481792618,1990-01-31,9.365295705385476
GRCP20MM Index,0.0,0.1,0.3,345.0,2019-09-30,30.433139534883722,1.7,0.14666666666666664,-1.0,0.0,1991-01-31,0.34320084747189417
GRCP20YY Index,1.1,1.5,2.0,333.0,2019-09-30,30.433734939759034,6.2,1.7216216216216216,-0.5,0.0,1992-01-31,1.1133964160577017
GRCP2BWM Index,-0.1,0.12,0.35,357.0,2019-09-30,30.43258426966292,1.31,0.12117647058823537,-7.02,0.0,1990-01-31,0.5177878233471792
GRCP2HMM Index,-0.1,0.1,0.4,284.0,2019-09-30,30.43816254416961,1.2,0.123943661971831,-1.3,0.0,1996-02-29,0.4214948289217128
GRCP2HYY Index,1.0,1.5,2.0,273.0,2019-09-30,30.43014705882353,3.4,1.454945054945055,-0.7,0.0,1997-01-31,0.7865033940687776
GRCP2SAM Index,-0.025,0.1,0.4,344.0,2019-09-30,30.440233236151602,13.3,0.18866279069767453,-7.6,0.0,1991-02-28,1.011516462345942
GRGDEXQ Index,0.1,1.4,2.4,113.0,2019-06-30,91.3125,7.1,1.1778761061946903,-11.4,0.0,1991-06-30,2.494985489267649
GRGDIMQ Index,0.2,1.0,2.4,113.0,2019-06-30,91.3125,7.3,1.1230088495575228,-8.1,0.0,1991-06-30,2.2172621812221776
GRGDPPGQ Index,-0.1,0.4,0.8,113.0,2019-09-30,91.31858407079646,2.2,0.3389380530973453,-4.7,0.00877192982456143,1991-06-30,0.8201081841003163
GRIFPBUS Index,95.6,98.9,101.1,177.0,2019-09-30,30.430851063829788,105.1,97.58474576271189,80.0,0.06349206349206349,2004-01-31,5.222802285498201
GRIFPCA Index,95.4,98.8,101.0,177.0,2019-09-30,30.43850267379679,108.5,97.1468926553672,76.7,0.058510638297872286,2004-02-29,7.055325515556111
GRIFPEX Index,96.7,99.3,100.9,177.0,2019-09-30,30.43850267379679,106.1,98.11412429378524,79.2,0.058510638297872286,2004-02-29,4.609066342833993
GRIPIMOM Index,-0.8,0.1,0.9,343.0,2019-09-30,30.089337175792508,4.0,0.07667638483965016,-6.9,0.014367816091954033,1991-02-28,1.4141240454852748
GRZECURR Index,-60.975,1.5499999999999998,44.24999999999999,334.0,2019-09-30,30.435435435435437,95.2,-5.188323353293414,-98.5,0.0,1991-12-31,58.733263399992055
GRZEEUEX Index,-1.5,25.6,47.7,249.0,2019-09-30,30.431451612903224,89.9,22.510040160642575,-63.7,0.0,1999-01-31,34.721610874092946
GRZEWI Index,-4.375,19.35,50.85,334.0,2019-09-30,30.435435435435437,89.6,21.49191616766465,-63.9,0.0,1991-12-31,37.04059489521123
IDBALTOL Index,-160.2,662.7,1383.9,141.0,2019-09-30,30.428571428571427,3683.2,610.1423404255318,-2329.1,0.0,2008-01-31,1222.2682259276562
IDBIRATE Index,6.0,6.5,6.75,815.0,2016-12-14,5.2211652794292505,12.75,6.551533742331288,5.75,0.03206650831353919,2004-12-06,0.9665540648218617
IDBIRRPO Index,4.75,5.0,5.625,43.0,2019-09-30,24.647058823529413,6.0,5.093023255813954,4.25,0.17307692307692313,2016-04-21,0.6244598995235459
IDCPIY Index,3.81,6.25,8.18,249.0,2019-09-30,30.067729083665338,70.66,7.51,-1.17,0.011904761904761862,1999-01-31,7.179728350957882
IDGFA Index,33.314775000000004,57.519999999999996,110.444275,258.0,2019-09-30,30.439688715953306,131.9796,70.06430503875967,17.7559,0.0,1998-04-30,38.24392043035343
IDIFCRIY Index,3.915,4.64,6.27,195.0,2019-09-30,31.21025641025641,10.2,5.107846153846152,2.58,0.005102040816326481,2003-01-31,1.7904225375054073
IGQRYOY Index,6.1,6.9,7.7,29.0,2019-09-30,91.3103448275862,9.3,6.820689655172414,4.4,0.033333333333333326,2012-06-30,1.2686830377388616
INAUQOQ Index,-0.17500000000000002,0.5,1.2750000000000001,118.0,2019-09-30,91.3135593220339,3.1,0.5220338983050847,-1.9,0.008403361344537785,1990-03-31,1.0581499411644755
INFFFIDE Index,7287.0,17140.0,46360.0,257.0,2019-09-30,30.32170542635659,209109.0,28342.408560311284,-206132.0,0.007722007722007707,1998-04-30,44059.822164201025
INFINFY Index,0.015,2.8600000000000003,4.6275,78.0,2019-09-30,30.43220338983051,6.7,1.9578205128205133,-6.14,0.3445378151260504,2009-11-30,3.2875687331458447
INFUTOTY Index,3.69,5.07,8.42,93.0,2019-09-30,30.42391304347826,11.51,5.85064516129032,1.46,0.0,2012-01-31,2.678428240612804
INJCJC Index,306.0,341.0,393.5,1555.0,2019-10-18,6.556962025316456,665.0,350.67138263665595,193.0,0.06325301204819278,1990-01-05,77.77853205895178
INMTEXU$ Index,3582.1975,10819.0,23332.05,306.0,2019-09-30,30.439344262295084,32547.97,13215.896862745094,1805.0,0.0,1994-04-30,9767.931624184395
