datetime,US_Safety
2009-12-31,0.0
2010-01-01,-0.0030000000000000027
2010-01-02,-0.0030000000000000027
2010-01-03,-0.0030000000000000027
2010-01-04,0.013420172629525329
2010-01-05,0.007230872033513247
2010-01-06,0.0018653054633412935
2010-01-07,-0.0011979369180611377
2010-01-08,0.0036688267086126825
2010-01-09,0.0036688267086126825
2010-01-10,0.0036688267086126825
2010-01-11,0.004684495320717019
2010-01-12,-0.011326967389495124
2010-01-13,-0.008758561143384025
2010-01-14,-0.008277407700233774
2010-01-15,-0.025658988311133224
2010-01-16,-0.025658988311133224
2010-01-17,-0.025658988311133224
2010-01-18,-0.025658988311133224
2010-01-19,-0.014695733284020074
2010-01-20,-0.02987397111958412
2010-01-21,-0.039366630873768904
2010-01-22,-0.06040784885079631
2010-01-23,-0.06040784885079631
2010-01-24,-0.06040784885079631
2010-01-25,-0.06273286195657746
2010-01-26,-0.06879899580271154
2010-01-27,-0.06427988312201527
2010-01-28,-0.07664031593894083
2010-01-29,-0.08548105039020015
2010-01-30,-0.08548105039020015
2010-01-31,-0.08548105039020015
2010-02-01,-0.06998223331362008
2010-02-02,-0.07154016349993686
2010-02-03,-0.07853259023181836
2010-02-04,-0.1068138774495786
2010-02-05,-0.09480695685047069
2010-02-06,-0.09480695685047069
2010-02-07,-0.09480695685047069
2010-02-08,-0.09884116645981156
2010-02-09,-0.08642709380692726
2010-02-10,-0.09171835602332634
2010-02-11,-0.0783658103447864
2010-02-12,-0.08591143896838094
2010-02-13,-0.08591143896838094
2010-02-14,-0.08591143896838094
2010-02-15,-0.08591143896838094
2010-02-16,-0.07236703107232223
2010-02-17,-0.06993690611093173
2010-02-18,-0.061542465794061196
2010-02-19,-0.06210573523705987
2010-02-20,-0.06210573523705987
2010-02-21,-0.06210573523705987
2010-02-22,-0.060131620646324935
2010-02-23,-0.07402486517920659
2010-02-24,-0.07124269805313321
2010-02-25,-0.07048534464773037
2010-02-26,-0.06912136694628679
2010-02-27,-0.06912136694628679
2010-02-28,-0.06912136694628679
2010-03-01,-0.05370374498979669
2010-03-02,-0.03935373962438293
2010-03-03,-0.03472323671292399
2010-03-04,-0.03322073965261829
2010-03-05,-0.019821637455607388
2010-03-06,-0.019821637455607388
2010-03-07,-0.019821637455607388
2010-03-08,-0.017932302678294376
2010-03-09,-0.01418907355344634
2010-03-10,-0.010621828282433632
2010-03-11,-0.00627753706727785
2010-03-12,-0.011123607624232368
2010-03-13,-0.011123607624232368
2010-03-14,-0.011123607624232368
2010-03-15,-0.010906196449396721
2010-03-16,-0.002397288134889597
2010-03-17,0.0010007685273549782
2010-03-18,0.004398527394142926
2010-03-19,-0.01217332168074503
2010-03-20,-0.01217332168074503
2010-03-21,-0.01217332168074503
2010-03-22,-0.007029097817969565
2010-03-23,-0.0060154046439856446
2010-03-24,-0.016088213161732923
2010-03-25,-0.018561967276163105
2010-03-26,-0.018748473758988027
2010-03-27,-0.018748473758988027
2010-03-28,-0.018748473758988027
2010-03-29,-0.01456881361544271
2010-03-30,-0.017835432697568487
2010-03-31,-0.022480362619630267
2010-04-01,-0.010427056269586177
2010-04-02,-0.010427056269586177
2010-04-03,-0.010427056269586177
2010-04-04,-0.010427056269586177
2010-04-05,0.008850113161770645
2010-04-06,0.011741486216028996
2010-04-07,0.006508999671440696
2010-04-08,0.00039165011585162723
2010-04-09,0.010262450407378498
2010-04-10,0.010262450407378498
2010-04-11,0.010262450407378498
2010-04-12,0.01642179913727726
2010-04-13,0.024172650194743017
2010-04-14,0.036641634620120156
2010-04-15,0.042008629857270385
2010-04-16,0.016183161723739348
2010-04-17,0.016183161723739348
2010-04-18,0.016183161723739348
2010-04-19,0.011181541959041086
2010-04-20,0.023010626458034533
2010-04-21,0.023294771413004733
2010-04-22,0.01770130195272057
2010-04-23,0.024936098051578925
2010-04-24,0.024936098051578925
2010-04-25,0.024936098051578925
2010-04-26,0.013603911778172995
2010-04-27,-0.001226013474581844
2010-04-28,0.007807741937458701
2010-04-29,0.020366335363403598
2010-04-30,0.005616008537654205
2010-05-01,0.005616008537654205
2010-05-02,0.005616008537654205
2010-05-03,0.014807815784821043
2010-05-04,-0.0249324849942012
2010-05-05,-0.03457955507458188
2010-05-06,-0.051464825786240675
2010-05-07,-0.07059707641594704
2010-05-08,-0.07059707641594704
2010-05-09,-0.07059707641594704
