factor
roa
yoy_or
yoyprofit
yoyocf
assetsturn
debttoassets
ebit2
qfa_tot_oper_rev
qfa_grossmargin
qfa_opprofit
qfa_np_belongto_parcomsh
qfa_net_profit_is
qfa_eps
qfa_net_cash_flows_oper_act
qfa_net_cash_flows_inv_act
qfa_net_cash_flows_fnc_act
tot_assets
tot_cur_assets
acct_rcv
tot_liab
tot_cur_liab
st_borrow
acct_payable
lt_borrow
cap_stk
cap_rsrv
eqy_belongto_parcomsh
tot_equity
surplus_rsrv
undistributed_profit
arturn
monetary_cap
wgsd_ebitdatosales
bps_adjust
