symbol,symbol1,SEHKENG,GICSCODE,GICSENG,LOTSIZE
442 HK Equity,00442.HK,Consumer Discretionary,25,Consumer Discretionary,1000
444 HK Equity,00444.HK,Consumer Discretionary,25,Consumer Discretionary,10000
445 HK Equity,00445.HK,Consumer Discretionary,25,Consumer Discretionary,5000
448 HK Equity,00448.HK,#N/A,#N/A,#N/A,#N/A
449 HK Equity,00449.HK,Consumer Discretionary,25,Consumer Discretionary,2000
450 HK Equity,00450.HK,Industrials,15,Materials,2000
451 HK Equity,00451.HK,Utilities,15,Materials,2000
455 HK Equity,00455.HK,Healthcare,35,Health Care,2000
456 HK Equity,00456.HK,Properties & Construction,60,Real Estate,20000
457 HK Equity,00457.HK,#N/A,#N/A,#N/A,#N/A
458 HK Equity,00458.HK,Consumer Discretionary,25,Consumer Discretionary,1000
459 HK Equity,00459.HK,Properties & Construction,60,Real Estate,10000
460 HK Equity,00460.HK,Healthcare,35,Health Care,1000
462 HK Equity,00462.HK,Consumer Staples,30,Consumer Staples,4000
464 HK Equity,00464.HK,Consumer Discretionary,25,Consumer Discretionary,4000
465 HK Equity,00465.HK,Information Technology,45,Information Technology,2000
467 HK Equity,00467.HK,Energy,10,Energy,2000
468 HK Equity,00468.HK,Industrials,15,Materials,1000
469 HK Equity,00469.HK,Industrials,20,Industrials,4000
471 HK Equity,00471.HK,Telecommunications,50,Communication Services,4000
472 HK Equity,00472.HK,Consumer Staples,30,Consumer Staples,10000
474 HK Equity,00474.HK,Industrials,20,Industrials,6000
475 HK Equity,00475.HK,Industrials,55,Utilities,2000
476 HK Equity,00476.HK,Industrials,25,Consumer Discretionary,10000
477 HK Equity,00477.HK,#N/A,#N/A,#N/A,#N/A
479 HK Equity,00479.HK,Consumer Discretionary,25,Consumer Discretionary,20000
480 HK Equity,00480.HK,Properties & Construction,60,Real Estate,800
482 HK Equity,00482.HK,Consumer Discretionary,25,Consumer Discretionary,2000
483 HK Equity,00483.HK,Consumer Discretionary,25,Consumer Discretionary,2000
484 HK Equity,00484.HK,Information Technology,25,Consumer Discretionary,100
485 HK Equity,00485.HK,Consumer Discretionary,25,Consumer Discretionary,20000
486 HK Equity,00486.HK,Materials,15,Materials,1000
487 HK Equity,00487.HK,Consumer Discretionary,25,Consumer Discretionary,4000
488 HK Equity,00488.HK,Conglomerates,60,Real Estate,300
489 HK Equity,00489.HK,Industrials,25,Consumer Discretionary,2000
491 HK Equity,00491.HK,Consumer Discretionary,50,Communication Services,20000
493 HK Equity,00493.HK,Consumer Discretionary,25,Consumer Discretionary,1000
494 HK Equity,00494.HK,#N/A,#N/A,#N/A,#N/A
495 HK Equity,00495.HK,Properties & Construction,60,Real Estate,5000
496 HK Equity,00496.HK,Properties & Construction,60,Real Estate,1000
497 HK Equity,00497.HK,Properties & Construction,60,Real Estate,10000
498 HK Equity,00498.HK,Properties & Construction,20,Industrials,2000
499 HK Equity,00499.HK,Properties & Construction,60,Real Estate,2000
500 HK Equity,00500.HK,Industrials,20,Industrials,1000
502 HK Equity,00502.HK,#N/A,#N/A,#N/A,#N/A
503 HK Equity,00503.HK,Healthcare,35,Health Care,1000
505 HK Equity,00505.HK,Materials,20,Industrials,1000
506 HK Equity,00506.HK,Consumer Staples,30,Consumer Staples,2000
508 HK Equity,00508.HK,Properties & Construction,40,Financials,5000
509 HK Equity,00509.HK,Materials,15,Materials,5000
510 HK Equity,00510.HK,Financials,40,Financials,6000
511 HK Equity,00511.HK,Consumer Discretionary,50,Communication Services,100
512 HK Equity,00512.HK,Healthcare,35,Health Care,4000
513 HK Equity,00513.HK,Consumer Discretionary,25,Consumer Discretionary,10000
515 HK Equity,00515.HK,Industrials,20,Industrials,2000
516 HK Equity,00516.HK,#N/A,#N/A,#N/A,#N/A
517 HK Equity,00517.HK,Industrials,20,Industrials,2000
518 HK Equity,00518.HK,Consumer Discretionary,25,Consumer Discretionary,2000
519 HK Equity,00519.HK,Properties & Construction,60,Real Estate,5000
520 HK Equity,00520.HK,Consumer Discretionary,25,Consumer Discretionary,500
521 HK Equity,00521.HK,Materials,15,Materials,10000
522 HK Equity,00522.HK,Information Technology,45,Information Technology,100
524 HK Equity,00524.HK,Telecommunications,50,Communication Services,10000
525 HK Equity,00525.HK,Consumer Discretionary,20,Industrials,2000
526 HK Equity,00526.HK,Consumer Discretionary,25,Consumer Discretionary,2000
527 HK Equity,00527.HK,Utilities,55,Utilities,4000
528 HK Equity,00528.HK,Consumer Discretionary,25,Consumer Discretionary,2000
529 HK Equity,00529.HK,Information Technology,45,Information Technology,2000
530 HK Equity,00530.HK,Consumer Staples,40,Financials,2000
531 HK Equity,00531.HK,Consumer Discretionary,25,Consumer Discretionary,1000
532 HK Equity,00532.HK,Industrials,20,Industrials,2000
533 HK Equity,00533.HK,Consumer Discretionary,25,Consumer Discretionary,1000
535 HK Equity,00535.HK,Properties & Construction,60,Real Estate,2000
536 HK Equity,00536.HK,Information Technology,45,Information Technology,2000
538 HK Equity,00538.HK,Consumer Discretionary,25,Consumer Discretionary,1000
539 HK Equity,00539.HK,Consumer Discretionary,25,Consumer Discretionary,4000
540 HK Equity,00540.HK,Consumer Discretionary,25,Consumer Discretionary,4000
542 HK Equity,00542.HK,Consumer Discretionary,25,Consumer Discretionary,8000
543 HK Equity,00543.HK,Consumer Discretionary,25,Consumer Discretionary,1000
544 HK Equity,00544.HK,Industrials,20,Industrials,20000
546 HK Equity,00546.HK,Consumer Staples,15,Materials,1000
547 HK Equity,00547.HK,Consumer Discretionary,50,Communication Services,10000
548 HK Equity,00548.HK,Industrials,20,Industrials,2000
549 HK Equity,00549.HK,#N/A,#N/A,#N/A,#N/A
550 HK Equity,00550.HK,Consumer Discretionary,50,Communication Services,2000
551 HK Equity,00551.HK,Consumer Discretionary,25,Consumer Discretionary,500
552 HK Equity,00552.HK,Information Technology,50,Communication Services,2000
553 HK Equity,00553.HK,Information Technology,50,Communication Services,2000
554 HK Equity,00554.HK,Energy,10,Energy,2000
555 HK Equity,00555.HK,Consumer Discretionary,25,Consumer Discretionary,25000
556 HK Equity,00556.HK,Industrials,20,Industrials,2000
557 HK Equity,00557.HK,Consumer Discretionary,25,Consumer Discretionary,2000
558 HK Equity,00558.HK,Industrials,20,Industrials,2500
559 HK Equity,00559.HK,Consumer Discretionary,40,Financials,30000
560 HK Equity,00560.HK,Industrials,20,Industrials,2000
562 HK Equity,00562.HK,#N/A,#N/A,#N/A,#N/A
563 HK Equity,00563.HK,Properties & Construction,60,Real Estate,2000
564 HK Equity,00564.HK,Consumer Discretionary,20,Industrials,200
565 HK Equity,00565.HK,Properties & Construction,60,Real Estate,5000
566 HK Equity,00566.HK,#N/A,#N/A,#N/A,#N/A
567 HK Equity,00567.HK,Energy,10,Energy,2000
568 HK Equity,00568.HK,Energy,10,Energy,400
569 HK Equity,00569.HK,#N/A,#N/A,#N/A,#N/A
570 HK Equity,00570.HK,Healthcare,35,Health Care,2000
571 HK Equity,00571.HK,Consumer Discretionary,50,Communication Services,2000
572 HK Equity,00572.HK,Financials,40,Financials,20000
573 HK Equity,00573.HK,Consumer Discretionary,25,Consumer Discretionary,1000
574 HK Equity,00574.HK,Healthcare,35,Health Care,2000
575 HK Equity,00575.HK,Healthcare,40,Financials,10000
576 HK Equity,00576.HK,Industrials,20,Industrials,2000
577 HK Equity,00577.HK,Properties & Construction,20,Industrials,2000
578 HK Equity,00578.HK,Energy,10,Energy,10000
579 HK Equity,00579.HK,Utilities,55,Utilities,2000
580 HK Equity,00580.HK,Industrials,20,Industrials,2000
581 HK Equity,00581.HK,Materials,15,Materials,2000
582 HK Equity,00582.HK,Consumer Discretionary,25,Consumer Discretionary,1200
583 HK Equity,00583.HK,Properties & Construction,60,Real Estate,2000
585 HK Equity,00585.HK,Financials,40,Financials,8000
586 HK Equity,00586.HK,Industrials,20,Industrials,500
587 HK Equity,00587.HK,Healthcare,35,Health Care,4000
588 HK Equity,00588.HK,Properties & Construction,60,Real Estate,2000
589 HK Equity,00589.HK,Properties & Construction,20,Industrials,2000
590 HK Equity,00590.HK,Consumer Discretionary,25,Consumer Discretionary,1000
591 HK Equity,00591.HK,Industrials,45,Information Technology,1000
592 HK Equity,00592.HK,Consumer Discretionary,25,Consumer Discretionary,2000
593 HK Equity,00593.HK,Properties & Construction,60,Real Estate,500
595 HK Equity,00595.HK,Information Technology,45,Information Technology,2000
596 HK Equity,00596.HK,Information Technology,45,Information Technology,2000
597 HK Equity,00597.HK,#N/A,#N/A,#N/A,#N/A
598 HK Equity,00598.HK,Industrials,20,Industrials,1000
599 HK Equity,00599.HK,Properties & Construction,20,Industrials,4000
600 HK Equity,00600.HK,Energy,10,Energy,2000
601 HK Equity,00601.HK,Materials,15,Materials,10000
602 HK Equity,00602.HK,Consumer Discretionary,30,Consumer Staples,2500
603 HK Equity,00603.HK,Utilities,55,Utilities,20000
604 HK Equity,00604.HK,Properties & Construction,60,Real Estate,2000
605 HK Equity,00605.HK,Financials,40,Financials,2000
606 HK Equity,00606.HK,#N/A,#N/A,#N/A,#N/A
607 HK Equity,00607.HK,Industrials,60,Real Estate,2500
608 HK Equity,00608.HK,Consumer Discretionary,25,Consumer Discretionary,2000
609 HK Equity,00609.HK,Materials,15,Materials,4000
610 HK Equity,00610.HK,Properties & Construction,20,Industrials,2000
611 HK Equity,00611.HK,Utilities,55,Utilities,2000
612 HK Equity,00612.HK,Financials,40,Financials,8000
613 HK Equity,00613.HK,Financials,60,Real Estate,2000
615 HK Equity,00615.HK,#N/A,#N/A,#N/A,#N/A
616 HK Equity,00616.HK,Properties & Construction,60,Real Estate,5000
617 HK Equity,00617.HK,Consumer Discretionary,25,Consumer Discretionary,2000
618 HK Equity,00618.HK,Properties & Construction,60,Real Estate,2000
619 HK Equity,00619.HK,Financials,40,Financials,2000
620 HK Equity,00620.HK,Conglomerates,20,Industrials,2000
621 HK Equity,00621.HK,Materials,15,Materials,10000
622 HK Equity,00622.HK,Financials,40,Financials,3000
623 HK Equity,00623.HK,Consumer Discretionary,50,Communication Services,1000
625 HK Equity,00625.HK,#N/A,#N/A,#N/A,#N/A
626 HK Equity,00626.HK,Financials,40,Financials,2000
627 HK Equity,00627.HK,Properties & Construction,15,Materials,5000
628 HK Equity,00628.HK,Financials,40,Financials,2000
629 HK Equity,00629.HK,Financials,15,Materials,1000
630 HK Equity,00630.HK,Properties & Construction,20,Industrials,10000
631 HK Equity,00631.HK,Industrials,20,Industrials,1000
632 HK Equity,00632.HK,Energy,10,Energy,2000
633 HK Equity,00633.HK,Telecommunications,45,Information Technology,2000
635 HK Equity,00635.HK,Consumer Discretionary,25,Consumer Discretionary,2000
636 HK Equity,00636.HK,Industrials,20,Industrials,500
637 HK Equity,00637.HK,Materials,20,Industrials,2000
638 HK Equity,00638.HK,Consumer Discretionary,25,Consumer Discretionary,2000
639 HK Equity,00639.HK,Energy,10,Energy,2000
640 HK Equity,00640.HK,Materials,15,Materials,4000
641 HK Equity,00641.HK,Industrials,20,Industrials,2000
643 HK Equity,00643.HK,Consumer Discretionary,25,Consumer Discretionary,10000
645 HK Equity,00645.HK,Energy,10,Energy,2000
646 HK Equity,00646.HK,Utilities,55,Utilities,8000
647 HK Equity,00647.HK,#N/A,#N/A,#N/A,#N/A
648 HK Equity,00648.HK,Healthcare,35,Health Care,5000
650 HK Equity,00650.HK,Energy,10,Energy,2000
651 HK Equity,00651.HK,Industrials,20,Industrials,5000
653 HK Equity,00653.HK,Consumer Staples,35,Health Care,2000
655 HK Equity,00655.HK,Properties & Construction,60,Real Estate,2000
656 HK Equity,00656.HK,Conglomerates,20,Industrials,500
657 HK Equity,00657.HK,Consumer Discretionary,25,Consumer Discretionary,2000
658 HK Equity,00658.HK,Industrials,20,Industrials,1000
659 HK Equity,00659.HK,Conglomerates,20,Industrials,1000
660 HK Equity,00660.HK,Materials,15,Materials,10000
661 HK Equity,00661.HK,Materials,15,Materials,2000
662 HK Equity,00662.HK,Financials,40,Financials,2000
663 HK Equity,00663.HK,Materials,10,Energy,1000
665 HK Equity,00665.HK,Financials,40,Financials,1000
666 HK Equity,00666.HK,Financials,40,Financials,20000
667 HK Equity,00667.HK,Consumer Discretionary,20,Industrials,500
668 HK Equity,00668.HK,Financials,40,Financials,2000
669 HK Equity,00669.HK,Consumer Discretionary,25,Consumer Discretionary,500
670 HK Equity,00670.HK,Consumer Discretionary,20,Industrials,2000
672 HK Equity,00672.HK,Properties & Construction,60,Real Estate,1000
673 HK Equity,00673.HK,Healthcare,35,Health Care,3000
674 HK Equity,00674.HK,Properties & Construction,60,Real Estate,4000
675 HK Equity,00675.HK,Industrials,45,Information Technology,2000
676 HK Equity,00676.HK,Consumer Discretionary,25,Consumer Discretionary,2000
677 HK Equity,00677.HK,Consumer Staples,30,Consumer Staples,2000
678 HK Equity,00678.HK,Consumer Discretionary,25,Consumer Discretionary,1000
679 HK Equity,00679.HK,Industrials,20,Industrials,10000
680 HK Equity,00680.HK,Properties & Construction,60,Real Estate,50000
681 HK Equity,00681.HK,Utilities,55,Utilities,2000
682 HK Equity,00682.HK,Consumer Staples,30,Consumer Staples,2000
683 HK Equity,00683.HK,Properties & Construction,60,Real Estate,500
684 HK Equity,00684.HK,Consumer Discretionary,25,Consumer Discretionary,2000
685 HK Equity,00685.HK,Consumer Discretionary,50,Communication Services,1000
686 HK Equity,00686.HK,Utilities,55,Utilities,2000
687 HK Equity,00687.HK,Properties & Construction,20,Industrials,2000
688 HK Equity,00688.HK,Properties & Construction,60,Real Estate,500
689 HK Equity,00689.HK,Energy,10,Energy,15000
690 HK Equity,00690.HK,Healthcare,35,Health Care,20000
691 HK Equity,00691.HK,Properties & Construction,15,Materials,1000
692 HK Equity,00692.HK,#N/A,#N/A,#N/A,#N/A
693 HK Equity,00693.HK,Consumer Discretionary,25,Consumer Discretionary,3000
694 HK Equity,00694.HK,Consumer Discretionary,20,Industrials,2000
695 HK Equity,00695.HK,Properties & Construction,15,Materials,2000
696 HK Equity,00696.HK,Information Technology,45,Information Technology,1000
697 HK Equity,00697.HK,Financials,15,Materials,2000
698 HK Equity,00698.HK,Industrials,45,Information Technology,10000
699 HK Equity,00699.HK,Consumer Discretionary,20,Industrials,1000
700 HK Equity,00700.HK,Information Technology,45,Information Technology,100
701 HK Equity,00701.HK,Properties & Construction,15,Materials,2000
702 HK Equity,00702.HK,Energy,10,Energy,10000
703 HK Equity,00703.HK,Consumer Discretionary,25,Consumer Discretionary,6000
704 HK Equity,00704.HK,Energy,10,Energy,10000
705 HK Equity,00705.HK,#N/A,#N/A,#N/A,#N/A
706 HK Equity,00706.HK,Materials,15,Materials,10000
707 HK Equity,00707.HK,Consumer Discretionary,25,Consumer Discretionary,2000
708 HK Equity,00708.HK,Healthcare,35,Health Care,500
709 HK Equity,00709.HK,Consumer Discretionary,25,Consumer Discretionary,2000
710 HK Equity,00710.HK,Information Technology,25,Consumer Discretionary,1000
711 HK Equity,00711.HK,Properties & Construction,20,Industrials,2000
712 HK Equity,00712.HK,Industrials,55,Utilities,10000
713 HK Equity,00713.HK,Consumer Discretionary,30,Consumer Staples,2000
715 HK Equity,00715.HK,Properties & Construction,60,Real Estate,2000
716 HK Equity,00716.HK,Industrials,20,Industrials,2000
717 HK Equity,00717.HK,Financials,40,Financials,6000
718 HK Equity,00718.HK,Healthcare,20,Industrials,5000
719 HK Equity,00719.HK,Healthcare,35,Health Care,2000
720 HK Equity,00720.HK,Consumer Discretionary,25,Consumer Discretionary,25000
721 HK Equity,00721.HK,Financials,40,Financials,10000
722 HK Equity,00722.HK,Healthcare,35,Health Care,2000
723 HK Equity,00723.HK,Materials,15,Materials,60000
724 HK Equity,00724.HK,Information Technology,45,Information Technology,10000
725 HK Equity,00725.HK,Industrials,45,Information Technology,2000
726 HK Equity,00726.HK,Properties & Construction,60,Real Estate,20000
727 HK Equity,00727.HK,Properties & Construction,60,Real Estate,2000
728 HK Equity,00728.HK,Telecommunications,50,Communication Services,2000
729 HK Equity,00729.HK,Industrials,45,Information Technology,5000
730 HK Equity,00730.HK,Properties & Construction,40,Financials,1000
731 HK Equity,00731.HK,Materials,15,Materials,2000
732 HK Equity,00732.HK,Industrials,45,Information Technology,2000
733 HK Equity,00733.HK,Properties & Construction,60,Real Estate,2000
735 HK Equity,00735.HK,#N/A,#N/A,#N/A,#N/A
736 HK Equity,00736.HK,Financials,60,Real Estate,3000
737 HK Equity,00737.HK,Industrials,20,Industrials,500
738 HK Equity,00738.HK,Consumer Discretionary,25,Consumer Discretionary,2000
739 HK Equity,00739.HK,#N/A,#N/A,#N/A,#N/A
743 HK Equity,00743.HK,Properties & Construction,15,Materials,500
745 HK Equity,00745.HK,Consumer Discretionary,50,Communication Services,10000
746 HK Equity,00746.HK,Materials,15,Materials,2000
747 HK Equity,00747.HK,Properties & Construction,60,Real Estate,2000
750 HK Equity,00750.HK,Properties & Construction,20,Industrials,1000
751 HK Equity,00751.HK,Consumer Discretionary,25,Consumer Discretionary,2000
752 HK Equity,00752.HK,Consumer Discretionary,50,Communication Services,2000
753 HK Equity,00753.HK,Consumer Discretionary,20,Industrials,2000
754 HK Equity,00754.HK,Properties & Construction,60,Real Estate,2000
755 HK Equity,00755.HK,Properties & Construction,60,Real Estate,5000
756 HK Equity,00756.HK,Consumer Staples,30,Consumer Staples,4000
757 HK Equity,00757.HK,Industrials,20,Industrials,1000
758 HK Equity,00758.HK,Materials,15,Materials,2000
759 HK Equity,00759.HK,Consumer Staples,30,Consumer Staples,2000
760 HK Equity,00760.HK,Properties & Construction,60,Real Estate,15000
761 HK Equity,00761.HK,#N/A,#N/A,#N/A,#N/A
762 HK Equity,00762.HK,Telecommunications,50,Communication Services,2000
763 HK Equity,00763.HK,Information Technology,45,Information Technology,200
764 HK Equity,00764.HK,Financials,20,Industrials,10000
765 HK Equity,00765.HK,Consumer Discretionary,25,Consumer Discretionary,2000
766 HK Equity,00766.HK,Financials,40,Financials,5000
767 HK Equity,00767.HK,Financials,40,Financials,40000
768 HK Equity,00768.HK,Financials,40,Financials,2000
769 HK Equity,00769.HK,Materials,15,Materials,2000
770 HK Equity,00770.HK,Financials,40,Financials,1000
771 HK Equity,00771.HK,Information Technology,45,Information Technology,2000
772 HK Equity,00772.HK,Consumer Discretionary,50,Communication Services,200
773 HK Equity,00773.HK,#N/A,#N/A,#N/A,#N/A
775 HK Equity,00775.HK,Healthcare,35,Health Care,2000
776 HK Equity,00776.HK,Consumer Discretionary,25,Consumer Discretionary,1000
777 HK Equity,00777.HK,Information Technology,45,Information Technology,500
778 HK Equity,00778.HK,#N/A,#N/A,#N/A,#N/A
780 HK Equity,00780.HK,Consumer Discretionary,20,Industrials,400
784 HK Equity,00784.HK,Properties & Construction,20,Industrials,10000
787 HK Equity,00787.HK,Consumer Discretionary,25,Consumer Discretionary,2000
788 HK Equity,00788.HK,Telecommunications,20,Industrials,2000
789 HK Equity,00789.HK,Consumer Discretionary,25,Consumer Discretionary,20000
794 HK Equity,00794.HK,Industrials,15,Materials,2000
797 HK Equity,00797.HK,Information Technology,45,Information Technology,2000
798 HK Equity,00798.HK,Properties & Construction,60,Real Estate,4000
799 HK Equity,00799.HK,Information Technology,45,Information Technology,1000
800 HK Equity,00800.HK,Information Technology,45,Information Technology,2000
801 HK Equity,00801.HK,Healthcare,35,Health Care,800000
802 HK Equity,00802.HK,Information Technology,45,Information Technology,10000
803 HK Equity,00803.HK,Materials,15,Materials,10000
804 HK Equity,00804.HK,Financials,40,Financials,5000
805 HK Equity,00805.HK,#N/A,#N/A,#N/A,#N/A
806 HK Equity,00806.HK,Financials,40,Financials,1000
807 HK Equity,00807.HK,Utilities,55,Utilities,1000
808 HK Equity,00808.HK,#N/A,#N/A,#N/A,#N/A
809 HK Equity,00809.HK,Materials,30,Consumer Staples,2000
810 HK Equity,00810.HK,Financials,40,Financials,6000
811 HK Equity,00811.HK,Consumer Discretionary,50,Communication Services,1000
812 HK Equity,00812.HK,Financials,40,Financials,2000
813 HK Equity,00813.HK,Properties & Construction,60,Real Estate,500
814 HK Equity,00814.HK,Consumer Staples,30,Consumer Staples,1000
815 HK Equity,00815.HK,Materials,15,Materials,2000
816 HK Equity,00816.HK,Utilities,55,Utilities,2000
817 HK Equity,00817.HK,Properties & Construction,60,Real Estate,2000
818 HK Equity,00818.HK,Information Technology,45,Information Technology,3000
819 HK Equity,00819.HK,Industrials,25,Consumer Discretionary,2000
820 HK Equity,00820.HK,#N/A,#N/A,#N/A,#N/A
821 HK Equity,00821.HK,Financials,40,Financials,4000
822 HK Equity,00822.HK,Industrials,20,Industrials,2000
823 HK Equity,00823.HK,#N/A,#N/A,#N/A,#N/A
825 HK Equity,00825.HK,Consumer Discretionary,25,Consumer Discretionary,1000
826 HK Equity,00826.HK,Materials,15,Materials,2000
827 HK Equity,00827.HK,Materials,15,Materials,4000
828 HK Equity,00828.HK,Consumer Staples,30,Consumer Staples,2000
829 HK Equity,00829.HK,Consumer Staples,30,Consumer Staples,2000
830 HK Equity,00830.HK,Properties & Construction,20,Industrials,2000
831 HK Equity,00831.HK,Consumer Staples,30,Consumer Staples,2000
832 HK Equity,00832.HK,Properties & Construction,60,Real Estate,1000
833 HK Equity,00833.HK,Consumer Discretionary,25,Consumer Discretionary,1000
834 HK Equity,00834.HK,Consumer Staples,30,Consumer Staples,4000
835 HK Equity,00835.HK,#N/A,#N/A,#N/A,#N/A
836 HK Equity,00836.HK,Utilities,55,Utilities,2000
837 HK Equity,00837.HK,Consumer Discretionary,25,Consumer Discretionary,500
838 HK Equity,00838.HK,Industrials,20,Industrials,2000
839 HK Equity,00839.HK,Consumer Discretionary,25,Consumer Discretionary,1000
840 HK Equity,00840.HK,Industrials,20,Industrials,2000
841 HK Equity,00841.HK,Industrials,30,Consumer Staples,2000
842 HK Equity,00842.HK,Industrials,45,Information Technology,1000
844 HK Equity,00844.HK,Consumer Discretionary,25,Consumer Discretionary,4000
845 HK Equity,00845.HK,Properties & Construction,60,Real Estate,1000
846 HK Equity,00846.HK,Properties & Construction,60,Real Estate,1000
847 HK Equity,00847.HK,#N/A,#N/A,#N/A,#N/A
848 HK Equity,00848.HK,Consumer Discretionary,25,Consumer Discretionary,1000
850 HK Equity,00850.HK,Industrials,10,Energy,4000
851 HK Equity,00851.HK,Financials,40,Financials,10000
852 HK Equity,00852.HK,Energy,10,Energy,2000
853 HK Equity,00853.HK,Healthcare,35,Health Care,1000
854 HK Equity,00854.HK,Industrials,45,Information Technology,1000
855 HK Equity,00855.HK,Utilities,55,Utilities,2000
856 HK Equity,00856.HK,Information Technology,45,Information Technology,2000
857 HK Equity,00857.HK,Energy,10,Energy,2000
858 HK Equity,00858.HK,Healthcare,35,Health Care,10000
859 HK Equity,00859.HK,Properties & Construction,60,Real Estate,2000
860 HK Equity,00860.HK,Consumer Discretionary,25,Consumer Discretionary,4000
861 HK Equity,00861.HK,Information Technology,45,Information Technology,1000
862 HK Equity,00862.HK,Information Technology,45,Information Technology,5000
863 HK Equity,00863.HK,Financials,50,Communication Services,500
864 HK Equity,00864.HK,Properties & Construction,60,Real Estate,4000
865 HK Equity,00865.HK,Properties & Construction,45,Information Technology,4000
866 HK Equity,00866.HK,Energy,10,Energy,2000
867 HK Equity,00867.HK,Healthcare,35,Health Care,1000
868 HK Equity,00868.HK,Industrials,20,Industrials,2000
869 HK Equity,00869.HK,Consumer Discretionary,25,Consumer Discretionary,4000
870 HK Equity,00870.HK,#N/A,#N/A,#N/A,#N/A
871 HK Equity,00871.HK,Properties & Construction,20,Industrials,1000
872 HK Equity,00872.HK,Consumer Discretionary,25,Consumer Discretionary,2000
873 HK Equity,00873.HK,#N/A,#N/A,#N/A,#N/A
874 HK Equity,00874.HK,Healthcare,35,Health Care,2000
875 HK Equity,00875.HK,Consumer Staples,30,Consumer Staples,2000
876 HK Equity,00876.HK,Healthcare,35,Health Care,10000
877 HK Equity,00877.HK,Information Technology,45,Information Technology,1000
878 HK Equity,00878.HK,Properties & Construction,60,Real Estate,500
880 HK Equity,00880.HK,Consumer Discretionary,25,Consumer Discretionary,1000
881 HK Equity,00881.HK,Consumer Discretionary,25,Consumer Discretionary,500
882 HK Equity,00882.HK,Conglomerates,20,Industrials,2000
883 HK Equity,00883.HK,Energy,10,Energy,1000
884 HK Equity,00884.HK,Properties & Construction,60,Real Estate,2000
885 HK Equity,00885.HK,Information Technology,45,Information Technology,10000
886 HK Equity,00886.HK,Consumer Staples,30,Consumer Staples,3000
887 HK Equity,00887.HK,Consumer Discretionary,25,Consumer Discretionary,10000
888 HK Equity,00888.HK,Consumer Discretionary,50,Communication Services,2000
889 HK Equity,00889.HK,Industrials,45,Information Technology,2000
891 HK Equity,00891.HK,Consumer Discretionary,25,Consumer Discretionary,2000
893 HK Equity,00893.HK,Materials,15,Materials,1000
894 HK Equity,00894.HK,Industrials,45,Information Technology,2000
895 HK Equity,00895.HK,Industrials,20,Industrials,200
896 HK Equity,00896.HK,Properties & Construction,20,Industrials,2000
897 HK Equity,00897.HK,Healthcare,35,Health Care,5000
898 HK Equity,00898.HK,Properties & Construction,60,Real Estate,2000
899 HK Equity,00899.HK,Properties & Construction,60,Real Estate,10000
900 HK Equity,00900.HK,Financials,40,Financials,2000
901 HK Equity,00901.HK,Financials,40,Financials,20000
902 HK Equity,00902.HK,Utilities,55,Utilities,2000
903 HK Equity,00903.HK,#N/A,#N/A,#N/A,#N/A
904 HK Equity,00904.HK,Consumer Staples,30,Consumer Staples,8000
905 HK Equity,00905.HK,Financials,40,Financials,16000
906 HK Equity,00906.HK,Industrials,15,Materials,1000
907 HK Equity,00907.HK,Consumer Discretionary,25,Consumer Discretionary,2000
908 HK Equity,00908.HK,Conglomerates,20,Industrials,2000
909 HK Equity,00909.HK,#N/A,#N/A,#N/A,#N/A
910 HK Equity,00910.HK,Properties & Construction,60,Real Estate,6000
911 HK Equity,00911.HK,Healthcare,25,Consumer Discretionary,5000
912 HK Equity,00912.HK,Consumer Discretionary,25,Consumer Discretionary,2000
913 HK Equity,00913.HK,Financials,40,Financials,10000
914 HK Equity,00914.HK,Properties & Construction,15,Materials,500
915 HK Equity,00915.HK,Industrials,20,Industrials,1000
916 HK Equity,00916.HK,Utilities,55,Utilities,1000
917 HK Equity,00917.HK,#N/A,#N/A,#N/A,#N/A
918 HK Equity,00918.HK,Consumer Discretionary,25,Consumer Discretionary,2000
919 HK Equity,00919.HK,Healthcare,35,Health Care,4000
921 HK Equity,00921.HK,Consumer Discretionary,25,Consumer Discretionary,1000
922 HK Equity,00922.HK,Consumer Discretionary,25,Consumer Discretionary,10000
923 HK Equity,00923.HK,Materials,15,Materials,2000
924 HK Equity,00924.HK,Properties & Construction,20,Industrials,8000
925 HK Equity,00925.HK,Industrials,20,Industrials,2000
926 HK Equity,00926.HK,Consumer Staples,30,Consumer Staples,1000
927 HK Equity,00927.HK,Consumer Discretionary,25,Consumer Discretionary,2000
928 HK Equity,00928.HK,Healthcare,35,Health Care,20000
929 HK Equity,00929.HK,Industrials,20,Industrials,5000
930 HK Equity,00930.HK,#N/A,#N/A,#N/A,#N/A
931 HK Equity,00931.HK,Utilities,20,Industrials,2000
932 HK Equity,00932.HK,Healthcare,30,Consumer Staples,4000
933 HK Equity,00933.HK,Energy,10,Energy,1000
934 HK Equity,00934.HK,Energy,10,Energy,2000
935 HK Equity,00935.HK,Industrials,20,Industrials,2000
936 HK Equity,00936.HK,Industrials,20,Industrials,10000
938 HK Equity,00938.HK,Properties & Construction,60,Real Estate,2000
939 HK Equity,00939.HK,Financials,40,Financials,1000
940 HK Equity,00940.HK,#N/A,#N/A,#N/A,#N/A
941 HK Equity,00941.HK,Telecommunications,50,Communication Services,500
943 HK Equity,00943.HK,Consumer Discretionary,25,Consumer Discretionary,8000
