symbol,gicsector,gicgroup,gicind,gicsubind,standard_ind,LOTSIZE
A,35,3520,352030,35203010,3826,1
AA.3,15,1510,151040,15104010,3720,1
AA,15,1510,151040,15104010,3330,1
AAAB.,40,4010,401010,40101010,6020,1
AAAP,35,3520,352010,35201010,2836,1
AABA,25,2550,255020,25502020,7370,1
AABC,40,4010,401020,40102010,6035,1
AAC.1,20,2020,202010,20201070,7389,1
AACC,40,4020,402020,40202010,6153,1
AACE.,40,4020,402020,40202010,6099,1
AACG,25,2530,253020,25302010,8200,1
AACQW,15,1510,151030,15103020,2670,1
AAI,20,2030,203020,20302010,4512,1
AAL,20,2030,203020,20302010,4512,1
AALCP,20,2010,201070,20107010,7359,1
AAMC,60,6010,601020,60102040,6500,1
AAME,40,4030,403010,40301030,6321,1
AAN,25,2550,255040,25504060,7359,1
AANB,40,4010,401010,40101015,6020,1
AAOI,45,4520,452010,45201020,3674,1
AAON,20,2010,201020,20102010,3585,1
AAP..,25,2550,255020,25502010,5122,1
AAP,25,2550,255040,25504050,5531,1
AAPL,45,4520,452020,45202030,3663,1
AAR,20,2010,201070,20107010,7359,1
AAT,60,6010,601010,60101010,6798,1
AATI,45,4530,453010,45301020,3674,1
AATK,45,4520,452010,45201020,3444,1
AAU,15,1510,151040,15104020,1000,1
AAWW,20,2030,203010,20301010,4522,1
AAXN,20,2010,201010,20101010,3480,1
AB,40,4020,402030,40203010,6799,1
ABA,20,2030,203010,20301010,4513,1
ABAN,10,1010,101020,10102020,1311,1
ABAX,35,3510,351010,35101010,3845,1
ABB,20,2010,201040,20104010,3613,1
ABBC,40,4010,401020,40102010,6035,1
ABBK,40,4010,401020,40102010,6036,1
ABBV,35,3520,352010,35201010,2836,1
ABC,35,3510,351020,35102010,5122,1
ABCB,40,4010,401010,40101015,6020,1
ABCD,25,2530,253020,25302010,7370,1
ABCL,40,4010,401010,40101010,6035,1
ABCO,20,2020,202020,20202020,8742,1
ABCW,40,4010,401020,40102010,6035,1
ABDC,40,4020,402030,40203010,6797,1
ABEO,35,3520,352010,35201010,2836,1
ABEV,30,3020,302010,30201010,2082,1
ABF,20,2030,203010,20301010,4513,1
ABG.2,25,2540,254010,25401020,4841,1
ABG,25,2550,255040,25504050,5500,1
ABGX,35,3520,352010,35201010,2836,1
ABI.3,35,3520,352030,35203010,2835,1
ABII,35,3520,352010,35201010,2836,1
ABIO,35,3520,352010,35201010,2836,1
ABLX,25,2540,254010,25401040,6200,1
ABM,20,2020,202010,20201050,7340,1
ABMD,35,3510,351010,35101010,3841,1
ABNJ,40,4010,401020,40102010,6035,1
ABNK.1,40,4010,401010,40101015,6020,1
ABR,40,4020,402040,40204010,6798,1
ABR.PA,40,4020,402030,40203010,6282,1
ABR.PB,25,2530,253010,25301010,7990,1
ABR.PC,40,4020,402020,40202010,6141,1
ABS.1,30,3010,301010,30101030,5411,1
ABSC,35,3520,352010,35201010,3826,1
ABT,35,3510,351010,35101010,3845,1
ABTX,40,4010,401010,40101015,6020,1
ABUS,35,3520,352010,35201010,2836,1
ABV,55,5510,551010,55101010,4911,1
ABVA,40,4010,401010,40101015,6020,1
ABVT,50,5010,501010,50101010,4899,1
ABW.PA,60,6010,601010,60101010,6798,1
ABY.2,15,1510,151050,15105020,2621,1
AC,40,4020,402030,40203010,6200,1
ACA,20,2010,201030,20103010,3440,1
ACAD,35,3520,352010,35201010,2836,1
ACAM.1,35,3510,351020,35102015,8071,1
ACAP.1,40,4030,403010,40301040,6351,1
ACAS,40,4020,402030,40203010,6797,1
ACAT,25,2520,252020,25202010,3790,1
ACB,35,3520,352020,35202010,2834,1
ACBA,40,4010,401010,40101015,6020,1
ACBI,40,4010,401010,40101015,6020,1
ACC,60,6010,601010,60101060,6798,1
ACCD.1,45,4520,452010,45201020,3661,1
ACCD,35,3510,351030,35103010,7370,1
ACCL,45,4510,451030,45103010,7372,1
ACCO,20,2020,202010,20201060,2780,1
ACDO,35,3510,351020,35102015,7389,1
ACE.PC,60,6010,601010,60101030,6798,1
ACEE,20,2010,201040,20104010,3612,1
ACER,35,3520,352020,35202010,2834,1
ACF,40,4040,404020,40402070,6798,1
ACFC,40,4010,401020,40102010,6035,1
ACGL,40,4030,403010,40301040,6331,1
ACH,15,1510,151040,15104010,3334,1
ACHC,35,3510,351020,35102020,8060,1
ACHN,35,3520,352010,35201010,2836,1
ACHV,35,3520,352010,35201010,2834,1
ACI,30,3010,301010,30101030,5411,1
ACIA,45,4520,452010,45201020,3663,1
ACIU,35,3520,352010,35201010,2836,1
ACIW,45,4510,451030,45103010,7370,1
ACL.2,35,3510,351010,35101020,3851,1
ACLA,35,3520,352010,35201010,3829,1
ACLI,20,2030,203030,20303010,4400,1
ACLO.,45,4510,451030,45103010,7372,1
ACLS,45,4530,453010,45301010,3559,1
ACM,20,2010,201030,20103010,8711,1
ACMP,10,1010,101020,10102040,1311,1
ACMR.1,25,2550,255040,25504040,5945,1
ACMR,45,4530,453010,45301010,3559,1
ACN.2,35,3510,351010,35101010,3845,1
ACN,45,4510,451020,45102010,8742,1
ACNB,40,4010,401010,40101015,6020,1
ACO,15,1510,151040,15104020,1400,1
ACOM.2,45,4510,451010,45101010,7370,1
ACOM,45,4510,451010,45101010,7370,1
ACOR,35,3520,352010,35201010,2836,1
ACR.,35,3510,351020,35102020,8300,1
ACRE,40,4020,402040,40204010,6798,1
ACRS,35,3520,352020,35202010,2834,1
ACRX,35,3520,352020,35202010,2834,1
ACS,45,4510,451020,45102020,7374,1
ACST,35,3520,352020,35202010,2833,1
ACTG,20,2020,202020,20202020,6794,1
ACTI,45,4520,452020,45202020,7370,1
ACTL.1,45,4530,453010,45301020,3674,1
ACTS,45,4530,453010,45301020,3674,1
ACTV,45,4510,451010,45101010,7372,1
ACTY,35,3510,351020,35102015,6411,1
ACU,20,2020,202010,20201060,3420,1
ACV.1,30,3030,303020,30302010,2844,1
ACVC,45,4520,452010,45201020,3661,1
ACW,20,2010,201060,20106010,3714,1
ACX.1,50,5010,501010,50101020,1731,1
ACY,20,2010,201070,20107010,7359,1
AD,25,2540,254010,25401040,7331,1
ADAC.,35,3510,351010,35101010,3844,1
ADAM.1,35,3510,351030,35103010,7372,1
ADAP,35,3520,352010,35201010,2836,1
ADAT.1,35,3510,351030,35103010,7372,1
ADBE,45,4510,451030,45103010,7370,1
ADBL,25,2550,255020,25502020,7389,1
ADC,60,6010,601010,60101070,6798,1
ADCT.1,45,4520,452010,45201020,3661,1
ADCT,35,3520,352010,35201010,2836,1
ADELQ,25,2540,254010,25401020,4841,1
ADEP,20,2010,201060,20106020,3560,1
ADES,15,1510,151010,15101050,3559,1
ADEX,45,4530,453010,45301010,3825,1
ADFC,35,3520,352020,35202010,2834,1
ADGE,55,5510,551050,55105010,4991,1
ADGF,25,2520,252020,25202010,3949,1
ADHD,35,3520,352020,35202010,2836,1
ADI,45,4530,453010,45301020,3674,1
ADIC,45,4520,452020,45202020,3572,1
ADIL,35,3520,352020,35202010,2834,1
ADK.U,40,4010,401010,40101015,6020,1
ADK.WS,40,4010,401010,40101015,6020,1
ADLR,35,3520,352020,35202010,2834,1
ADM,30,3020,302020,30202010,2070,1
ADMA,35,3520,352010,35201010,2836,1
ADMP,35,3520,352020,35202010,2834,1
ADMS,35,3520,352010,35201010,2834,1
ADNC,45,4530,453010,45301020,3674,1
ADNT,25,2510,251010,25101010,2531,1
ADO,45,4510,451030,45103010,7370,1
ADP,45,4510,451020,45102020,7374,1
ADPI,35,3510,351020,35102015,8741,1
ADPT,35,3520,352030,35203010,2835,1
ADRO,35,3520,352010,35201010,2836,1
ADRX,35,3520,352020,35202010,5122,1
ADS,45,4510,451020,45102020,7374,1
ADSC,45,4510,451020,45102010,7370,1
ADSK,45,4510,451030,45103010,7370,1
ADSW,20,2020,202010,20201050,4953,1
ADT.4,20,2020,202010,20201080,7380,1
ADT,20,2020,202010,20201080,7381,1
ADTN,45,4520,452010,45201020,3661,1
ADTX,35,3520,352010,35201010,2834,1
ADUS,35,3510,351020,35102015,8082,1
ADV.2,40,4020,402010,40201020,6211,1
ADVM,35,3520,352010,35201010,2836,1
ADVP.,35,3510,351020,35102015,6411,1
ADVS,45,4510,451030,45103010,7372,1
ADXN,35,3520,352010,35201010,2834,1
ADXS,35,3520,352010,35201010,2836,1
ADXSW,60,6010,601010,60101070,6798,1
ADY,30,3020,302020,30202030,2020,1
ADZA,35,3510,351010,35101010,3845,1
AE,10,1010,101020,10102030,5172,1
AEA,40,4020,402020,40202010,6141,1
AEC,40,4040,404020,40402050,6798,1
AEC.PB,60,6010,601010,60101040,6798,1
AED.1,30,3020,302010,30201020,2085,1
AED.3,40,4010,401010,40101010,6020,1
AED.4,40,4030,403010,40301040,6331,1
AEE,55,5510,551030,55103010,4931,1
AEF.1,20,2030,203030,20303010,4412,1
AEG,40,4030,403010,40301020,6311,1
AEGN,20,2010,201030,20103010,1623,1
AEGR,35,3520,352010,35201010,2836,1
AEHR,45,4530,453010,45301010,3825,1
AEIS,45,4530,453010,45301010,3679,1
AEL,40,4030,403010,40301020,6311,1
AEM,15,1510,151040,15104030,1040,1
AEMD,35,3510,351010,35101010,3841,1
AEN.2,25,2540,254010,25401030,7830,1
AEO,25,2550,255040,25504010,5600,1
AEP,55,5510,551010,55101010,4911,1
AEP.PA,10,1010,101020,10102020,1311,1
AEP.PC,35,3510,351010,35101010,3845,1
AEPI,15,1510,151030,15103020,3081,1
AER.3,40,4040,404010,40401010,6798,1
AER,20,2010,201070,20107010,7359,1
AERI,35,3520,352020,35202010,2836,1
AERL.1,50,5010,501020,50102010,4812,1
AERLW,40,4010,401010,40101015,6020,1
AES,55,5510,551050,55105010,4991,1
AESE,25,2530,253010,25301030,7900,1
AET,35,3510,351020,35102030,6324,1
AETI,20,2010,201040,20104010,3613,1
AEV,20,2030,203030,20303010,4412,1
AEY,45,4520,452030,45203030,5065,1
AEYE,45,4510,451030,45103010,7370,1
AEZ,10,1010,101020,10102020,1311,1
AEZS,35,3520,352010,35201010,2836,1
AF,40,4010,401020,40102010,6035,1
AF.PC,40,4020,402040,40204010,6798,1
AFA,20,2010,201070,20107010,7359,1
AFAM,35,3510,351020,35102015,8082,1
AFBC,40,4010,401020,40102010,6035,1
AFBK,40,4010,401010,40101010,6020,1
AFC,35,3520,352010,35201010,2836,1
AFCI,45,4520,452010,45201020,3661,1
AFCO.1,45,4520,452030,45203010,3559,1
AFCO,60,6010,601010,60101080,6798,1
AFE,45,4510,451030,45103010,7372,1
AFF,25,2540,254010,25401030,4841,1
AFFX,35,3520,352030,35203010,3826,1
AFG,40,4030,403010,40301030,6331,1
AFGE,10,1010,101020,10102040,4412,1
AFI,20,2010,201020,20102010,3089,1
AFIN,60,6010,601010,60101070,6798,1
AFIS,45,4510,451030,45103010,7373,1
AFK.2,40,4040,404020,40402060,6798,1
AFL,40,4030,403010,40301020,6321,1
AFM.3,25,2540,254010,25401020,4832,1
AFMD,35,3520,352010,35201010,2836,1
AFOP,45,4520,452010,45201020,3674,1
AFQ,20,2010,201030,20103010,1600,1
AFR,40,4040,404020,40402040,6798,1
AFREZ,40,4040,404010,40401020,6513,1
AFS,40,4020,402010,40201020,6141,1
AFSC,40,4010,401010,40101010,6020,1
AFSD,60,6010,601010,60101080,6798,1
AFSI,40,4030,403010,40301040,6331,1
AFW,45,4510,451020,45102010,7374,1
AFWY,20,2030,203040,20304020,4213,1
AFYA,25,2530,253020,25302010,8200,1
AG,15,1510,151040,15104045,1044,1
AGAM.1,25,2530,253010,25301010,3577,1
AGAM,35,3510,351010,35101020,3845,1
AGBAW,40,4010,401010,40101015,6020,1
AGC.1,40,4030,403010,40301020,6311,1
AGC.PB,60,6010,601010,60101040,6798,1
AGCH,20,2010,201060,20106020,3523,1
AGCO,20,2010,201060,20106015,3523,1
AGD.3,20,2020,202010,20201010,7330,1
AGE.1,40,4020,402030,40203020,6211,1
AGE,35,3520,352010,35201010,2836,1
AGEN,35,3520,352010,35201010,2834,1
AGFS,15,1510,151010,15101030,2870,1
AGI.3,15,1510,151040,15104030,1040,1
AGI,15,1510,151040,15104030,1040,1
AGIL,45,4510,451030,45103010,7372,1
AGIO,35,3520,352010,35201010,2836,1
AGL.1,20,2020,202010,20201030,7200,1
AGLE,35,3520,352010,35201010,2836,1
AGM,40,4010,401020,40102010,6111,1
AGMH,40,4020,402030,40203040,6200,1
AGN.2,35,3520,352020,35202010,2834,1
AGN,35,3520,352020,35202010,2834,1
AGNC,40,4020,402040,40204010,6798,1
AGNCM,40,4020,402030,40203010,6282,1
AGNCO,25,2520,252010,25201030,1531,1
AGNCP.1,55,5510,551020,55102010,4924,1
AGNCP,40,4030,403010,40301020,6311,1
AGO,40,4030,403010,40301040,6351,1
AGO.PB,40,4030,403010,40301040,6331,1
AGO.PE,40,4030,403010,40301040,6331,1
AGO.PF,40,4030,403010,40301040,6331,1
AGP,35,3510,351020,35102030,6324,1
AGR.3,45,4530,453010,45301020,3674,1
AGR,55,5510,551010,55101010,4911,1
AGRO,30,3020,302020,30202030,2060,1
AGRPA,20,2010,201070,20107010,7359,1
AGRX,35,3520,352020,35202010,2834,1
AGS.1,45,4510,451030,45103010,7372,1
AGS,25,2530,253010,25301010,3990,1
AGTC,35,3520,352010,35201010,2836,1
AGU,15,1510,151010,15101030,2870,1
AGX.1,30,3020,302020,30202030,2040,1
AGX,20,2010,201030,20103010,8711,1
AGY,25,2530,253010,25301010,7990,1
AGYS,45,4510,451030,45103010,7372,1
AH.Z,20,2010,201010,20101010,3842,1
AHC,50,5020,502010,50201040,2711,1
AHCI.,40,4010,401010,40101010,6035,1
AHCI,35,3510,351020,35102015,8082,1
AHCO,35,3510,351020,35102010,5047,1
AHGP,10,1010,101020,10102050,1220,1
AHH,60,6010,601010,60101010,6798,1
AHH.PA,60,6010,601010,60101070,6798,1
AHII.,35,3510,351020,35102010,5122,1
AHL,40,4030,403010,40301040,6331,1
AHL.P,25,2530,253010,25301040,5812,1
AHL.PA,25,2530,253010,25301040,5812,1
AHL.PC,60,6010,601010,60101060,6798,1
AHL.PD,60,6010,601010,60101060,6798,1
AHL.PE,60,6010,601010,60101060,6798,1
AHLS,20,2020,202010,20201040,7361,1
AHM.2,35,3510,351010,35101010,2835,1
AHPAU,60,6010,601010,60101030,6798,1
AHPAW,60,6010,601010,60101030,6798,1
AHPI,35,3510,351010,35101010,3842,1
AHT,60,6010,601010,60101030,6798,1
AHT.PA,15,1510,151050,15105010,2400,1
AHT.PF,30,3020,302010,30201020,2085,1
AI,40,4020,402040,40204010,6799,1
AI.PB,45,4520,452030,45203030,5045,1
AIA.2,40,4010,401020,40102010,6799,1
AIC.1,40,4040,404010,40401010,6798,1
AIC.3,40,4040,404020,40402030,6798,1
AIC,40,4010,401010,40101015,6020,1
AIG,40,4030,403010,40301030,6331,1
AIG.PA.1,45,4520,452010,45201020,4899,1
AIG.PA,35,3520,352010,35201010,2836,1
AIG.WS,35,3520,352020,35202010,2834,1
AIH.2,20,2020,202010,20201040,7363,1
AIH,35,3510,351020,35102015,8090,1
AIHS,40,4020,402020,40202010,6159,1
AII.3,40,4010,401020,40102010,6799,1
AII.U,20,2010,201030,20103010,1540,1
AIII.1,45,4520,452020,45202010,3555,1
AIII,60,6010,601020,60102010,6798,1
AIJ,40,4010,401020,40102010,6799,1
AIK,40,4010,401020,40102010,6799,1
AIKI,35,3520,352010,35201010,6794,1
AIM.1,20,2010,201010,20101010,3812,1
AIM,35,3520,352010,35201010,2836,1
AIMC,20,2010,201060,20106020,3560,1
AIMT,35,3520,352010,35201010,2836,1
AIN,20,2010,201060,20106020,2221,1
AINC,40,4020,402030,40203010,6282,1
AIND,20,2030,203040,20304020,4213,1
AINN,45,4520,452010,45201020,3661,1
AINV,40,4020,402030,40203010,6797,1
AIPC,30,3020,302020,30202030,2090,1
AIQ.1,35,3510,351020,35102015,8071,1
AIR,20,2010,201010,20101010,5080,1
AIRG,45,4520,452030,45203015,3663,1
AIRI,20,2010,201010,20101010,3728,1
AIRM,35,3510,351020,35102015,4522,1
AIRT,20,2030,203010,20301010,4513,1
AIRV,45,4520,452010,45201020,3663,1
AIT,20,2010,201070,20107010,5080,1
AIV,60,6010,601010,60101060,6798,1
AIV.PA,40,4030,403010,40301030,6331,1
AIV.PT,40,4010,401010,40101015,6020,1
AIV.PV,55,5510,551020,55102010,5900,1
AIV.PY,40,4030,403010,40301030,6331,1
AIV.PZ,40,4030,403010,40301030,6331,1
AIY,60,6010,601010,60101010,6798,1
AIZ,40,4030,403010,40301030,6351,1
AIZP,10,1010,101020,10102040,4412,1
AJG,40,4030,403010,40301010,6411,1
AJL,25,2550,255020,25502010,5122,1
AJRD,20,2010,201010,20101010,3760,1
AJX,40,4020,402040,40204010,6798,1
AJXA,40,4010,401010,40101015,6020,1
AK,25,2540,254010,25401020,4833,1
AKAM,45,4510,451020,45102030,7370,1
AKBA,35,3520,352010,35201010,2836,1
AKCA,35,3520,352010,35201010,2836,1
AKER,35,3510,351010,35101010,2835,1
AKF,40,4040,404020,40402060,6798,1
AKO.B,30,3020,302010,30201030,2086,1
AKR,60,6010,601010,60101070,6798,1
AKRO,35,3520,352010,35201010,2836,1
AKS,15,1510,151040,15104050,3312,1
AKTS,45,4520,452030,45203015,3679,1
AKTX,35,3520,352020,35202010,2836,1
AKU,35,3510,351020,35102015,8071,1
AL.1,15,1510,151040,15104010,3350,1
AL,20,2010,201070,20107010,7359,1
AL.PA,25,2510,251020,25102010,3711,1
ALAB,40,4010,401010,40101015,6020,1
ALAO,45,4520,452010,45201020,3674,1
ALB,15,1510,151010,15101050,2810,1
ALBO,35,3520,352010,35201010,2836,1
ALC.3,35,3510,351020,35102020,8300,1
ALC,35,3510,351010,35101020,3851,1
ALCD.,35,3520,352020,35202010,2870,1
ALCO,30,3020,302020,30202010,100,1
ALD.1,40,4020,402030,40203010,6159,1
ALDN,45,4510,451030,45103020,7373,1
ALDR,35,3520,352010,35201010,2836,1
ALDW,10,1010,101020,10102030,2911,1
ALDX,35,3520,352010,35201010,2836,1
ALE,55,5510,551010,55101010,4931,1
ALEC,35,3520,352010,35201010,2836,1
ALEX,60,6010,601010,60101010,6798,1
ALFA.1,40,4030,403010,40301040,6331,1
ALFC.2,40,4010,401020,40102010,6035,1
ALG,20,2010,201060,20106010,3523,1
ALGN,35,3510,351010,35101020,3843,1
ALGT,20,2030,203020,20302010,4512,1
ALIM,35,3520,352020,35202010,2834,1
ALIN.PA,40,4010,401010,40101015,6020,1
ALIN.PE,40,4010,401010,40101015,6020,1
ALJ,10,1010,101020,10102030,2911,1
ALJJ,45,4510,451020,45102020,7374,1
ALK,20,2030,203020,20302010,4512,1
ALKS,35,3520,352010,35201010,2834,1
ALL,40,4030,403010,40301040,6331,1
ALL.PB,35,3520,352010,35201010,2835,1
ALL.PD,40,4010,401010,40101015,6020,1
ALL.PE,40,4010,401010,40101015,6020,1
ALL.PF,40,4010,401010,40101015,6020,1
ALL.PG,35,3510,351030,35103010,8700,1
ALL.PH,40,4040,404020,40402070,6798,1
ALLB,40,4010,401020,40102010,6036,1
ALLE.1,40,4010,401010,40101015,6020,1
ALLE,20,2010,201020,20102010,3420,1
ALLI,35,3510,351020,35102015,5912,1
ALLK,35,3520,352010,35201010,2836,1
ALLO,35,3520,352010,35201010,2836,1
ALLR.1,45,4510,451010,45101010,7372,1
ALLSB,50,5010,501010,50101020,4813,1
ALLT,45,4510,451030,45103020,3576,1
ALLY,40,4020,402020,40202010,6172,1
ALLY.PA,50,5020,502010,50201020,4833,1
ALLY.PB,35,3510,351010,35101020,3845,1
ALM,40,4010,401010,40101015,6020,1
ALN.2,45,4520,452010,45201020,3663,1
ALNA,35,3520,352010,35201010,2836,1
ALNC,40,4010,401010,40101015,6020,1
ALNY,35,3520,352010,35201010,2834,1
ALO.2,35,3520,352020,35202010,2834,1
ALO,15,1510,151040,15104030,1040,1
ALOG,35,3510,351010,35101010,3845,1
ALOT,45,4520,452020,45202030,3577,1
ALOY,25,2540,254010,25401010,7310,1
ALPH.,45,4510,451020,45102010,7370,1
ALPN,35,3520,352010,35201010,2836,1
ALQ,20,2030,203010,20301010,4513,1
ALQA,35,3510,351010,35101020,2836,1
ALR.PB,60,6010,601020,60102020,6519,1
ALRM,45,4510,451030,45103010,7370,1
ALRN,35,3520,352010,35201010,2836,1
ALRS,40,4020,402010,40201020,6020,1
ALSK,50,5010,501010,50101020,4813,1
ALSM,45,4520,452020,45202010,3571,1
ALSN,20,2010,201060,20106010,3714,1
ALT,35,3520,352010,35201010,2836,1
ALTA,40,4010,401010,40101015,6020,1
ALTE,40,4030,403010,40301050,6331,1
ALTG,20,2010,201070,20107010,5080,1
ALTG.WS,40,4020,402020,40202010,6141,1
ALTH,35,3520,352010,35201010,2836,1
ALTM,10,1010,101020,10102040,4922,1
ALTR.1,45,4530,453010,45301020,3674,1
ALTR,45,4510,451030,45103010,7372,1
ALTV,50,5010,501010,50101020,4813,1
ALU,45,4520,452010,45201020,3661,1
ALV,25,2510,251010,25101010,3714,1
ALV.PZ,60,6010,601010,60101070,6798,1
ALX,60,6010,601010,60101070,6798,1
ALXN,35,3520,352010,35201010,2836,1
ALY,10,1010,101010,10101020,1381,1
ALYA,45,4510,451020,45102010,7370,1
AM.1,25,2520,252010,25201050,2771,1
AM.2,10,1010,101020,10102040,1311,1
AM,10,1010,101020,10102040,4922,1
AMA,10,1010,101020,10102010,2911,1
AMAC,35,3510,351020,35102015,7380,1
AMAG,35,3520,352020,35202010,2834,1
AMAL,40,4010,401010,40101015,6020,1
AMAP,45,4510,451030,45103010,7372,1
AMAT,45,4530,453010,45301010,3559,1
AMAX,25,2520,252010,25201010,3651,1
AMB,40,4040,404020,40402020,6798,1
AMB.PP,35,3520,352020,35202010,2834,1
AMBA,45,4530,453010,45301020,3674,1
AMBC.,40,4010,401010,40101010,6020,1
AMBC,40,4030,403010,40301040,6351,1
AMBI,35,3520,352010,35201010,2836,1
AMBO,25,2530,253020,25302010,8200,1
AMBR,45,4510,451030,45103010,7370,1
AMC,50,5020,502020,50202010,7830,1
AMCC,45,4530,453010,45301020,3674,1
AMCP,40,4030,403010,40301040,6331,1
AMCR,15,1510,151030,15103020,2670,1
AMCS,35,3510,351030,35103010,7372,1
AMCX,50,5020,502010,50201020,4833,1
AMD,45,4530,453010,45301020,3674,1
AME,20,2010,201040,20104010,3823,1
AMED,35,3510,351020,35102015,8082,1
AMEH,35,3510,351020,35102015,8090,1
AMEV,35,3520,352010,35201010,8731,1
AMFH,40,4010,401010,40101010,6036,1
AMG,40,4020,402030,40203010,6282,1
AMGIA,25,2540,254010,25401030,7819,1
AMGIU,40,4010,401010,40101015,6020,1
AMGN,35,3520,352010,35201010,2836,1
AMH.2,40,4030,403010,40301020,6311,1
AMH,60,6010,601010,60101060,6798,1
AMH.P,40,4010,401020,40102010,6035,1
AMH.PG,40,4020,402040,40204010,6798,1
AMH.PH,40,4020,402040,40204010,6798,1
AMI.2,35,3510,351010,35101010,3841,1
AMIC,40,4030,403010,40301020,6324,1
AMID.1,10,1010,101020,10102010,4922,1
AMID,10,1010,101020,10102040,4922,1
AMIS,45,4530,453010,45301020,3674,1
AMK.2,45,4520,452030,45203010,3670,1
AMK,40,4020,402030,40203010,7370,1
AMKR,45,4530,453010,45301010,3674,1
AML.4,40,4040,404010,40401010,6798,1
AMLN,35,3520,352010,35201010,2834,1
AMMA,50,5020,502020,50202010,7900,1
AMMD,35,3510,351010,35101010,3842,1
AMN.2,20,2010,201020,20102010,3270,1
AMN,35,3510,351020,35102015,7361,1
AMNB,40,4010,401010,40101015,6020,1
AMNT.,40,4010,401020,40102010,6162,1
AMOT,20,2010,201040,20104010,3621,1
AMOV,25,2530,253010,25301040,5812,1
AMP,40,4020,402030,40203010,6211,1
AMP.PA,60,6010,601010,60101040,6798,1
AMPB,40,4010,401010,40101015,6020,1
AMPE,35,3520,352020,35202010,2834,1
AMPH.1,40,4030,403010,40301040,6331,1
AMPH,35,3520,352020,35202010,2834,1
AMPY,10,1010,101020,10102020,1311,1
AMRB,40,4010,401010,40101015,6020,1
AMRC,20,2010,201030,20103010,1600,1
AMRE,40,4040,404020,40402060,6798,1
AMRH,45,4510,451020,45102010,7370,1
AMRI,35,3520,352030,35203010,2833,1
AMRK,40,4020,402010,40201040,5051,1
AMRN,35,3520,352010,35201010,2834,1
AMRS,15,1510,151010,15101050,2860,1
AMRX,35,3520,352020,35202010,2834,1
AMS,35,3510,351020,35102015,8090,1
AMSC,20,2010,201040,20104010,3621,1
AMSF,40,4030,403010,40301040,6331,1
AMSWA,45,4510,451030,45103010,7372,1
AMSY,45,4510,451020,45102010,7370,1
AMT,60,6010,601010,60101080,6798,1
AMT.PA,10,1010,101020,10102020,1311,1
AMTB,40,4010,401010,40101015,6020,1
AMTD,40,4020,402030,40203020,6211,1
AMTG,40,4020,402040,40204010,6798,1
AMTX,10,1010,101020,10102030,2860,1
AMV.3,40,4040,404020,40402040,6798,1
AMV.U,30,3020,302020,30202030,2033,1
AMWD,20,2010,201020,20102010,2430,1
AMX,50,5010,501020,50102010,4812,1
AMXC,20,2010,201040,20104010,3669,1
AMYT,40,4010,401010,40101010,6020,1
AMZ,40,4030,403010,40301020,6324,1
AMZN,25,2550,255020,25502020,5961,1
AN,25,2550,255040,25504050,5500,1
ANA.3,40,4010,401010,40101010,6036,1
ANAB,35,3520,352010,35201010,2836,1
ANAC,35,3520,352010,35201010,2836,1
ANAD,45,4530,453010,45301020,3674,1
ANAT,40,4030,403010,40301030,6311,1
ANBC,40,4030,403010,40301050,6351,1
ANCB,40,4010,401010,40101015,6036,1
ANCN,35,3520,352010,35201010,2836,1
ANCR.1,45,4520,452010,45201010,3576,1
ANCX,40,4010,401010,40101015,6020,1
ANDAU.2,10,1010,101020,10102040,4922,1
ANDAW.1,10,1010,101020,10102040,4922,1
ANDB,40,4010,401010,40101010,6036,1
ANDE,30,3010,301010,30101020,5150,1
ANDN.1,45,4510,451010,45101010,7310,1
ANDS,35,3520,352010,35201010,2834,1
ANDV,10,1010,101020,10102030,2911,1
ANDW,45,4520,452010,45201020,3357,1
ANDX,10,1010,101020,10102040,4610,1
ANE.1,40,4010,401020,40102010,6036,1
ANEN,45,4520,452010,45201020,3663,1
ANET.,45,4520,452010,45201010,3576,1
ANET.1,45,4510,451020,45102020,7374,1
ANET,45,4520,452010,45201020,3576,1
ANF,25,2550,255040,25504010,5651,1
ANFI.1,40,4020,402010,40201020,6361,1
ANGI.1,45,4510,451010,45101010,7370,1
ANGI,50,5020,502030,50203010,7370,1
ANGO,35,3510,351010,35101010,3841,1
ANH,40,4020,402040,40204010,6798,1
ANH.PA,40,4030,403010,40301040,6331,1
ANH.PB,40,4030,403010,40301040,6331,1
ANH.PC,40,4030,403010,40301040,6331,1
ANIC,25,2550,255010,25501010,5063,1
ANIK,35,3520,352010,35201010,2836,1
ANIP,35,3520,352020,35202010,2834,1
ANIX,35,3520,352010,35201010,2836,1
ANLD,40,4040,404020,40402050,6798,1
ANLG,30,3020,302010,30201030,2086,1
ANLY,45,4510,451020,45102010,7371,1
ANN,25,2550,255040,25504010,5621,1
ANNB,40,4010,401010,40101015,6020,1
ANOR,35,3520,352020,35202010,2836,1
ANPC,35,3520,352010,35201010,2836,1
ANS,20,2030,203010,20301010,4513,1
ANSI,35,3510,351010,35101010,3845,1
ANSL,35,3510,351010,35101020,3842,1
ANSS,45,4510,451030,45103010,7372,1
ANST,45,4510,451030,45103010,7372,1
ANSW,45,4510,451010,45101010,7370,1
ANT.2,45,4510,451020,45102010,7373,1
ANTE,50,5020,502010,50201010,7310,1
ANTM,35,3510,351020,35102030,6324,1
ANTP,45,4520,452010,45201020,3663,1
