symbol,gicsector,gicgroup,gicind,gicsubind,standard_ind,LOTSIZE
EAF,20,2010,201040,20104010,3620,1
EAGL.1,20,2030,203010,20301010,4731,1
EAGLU.1,30,3020,302020,30202030,2030,1
EAGLU.4,40,4030,403010,40301020,6311,1
EAGLW.1,40,4030,403010,40301020,6311,1
EAI,60,6010,601010,60101030,6798,1
EAII,45,4510,451030,45103010,7372,1
EARN,40,4020,402040,40204010,6798,1
EARS,35,3520,352020,35202010,2836,1
EAS,55,5510,551030,55103010,4931,1
EASI.1,20,2010,201010,20101010,3585,1
EAST,30,3020,302010,30201020,2085,1
EASTW,60,6010,601010,60101020,6798,1
EASY,45,4510,451010,45101010,7370,1
EAT,25,2530,253010,25301040,5812,1
EB,50,5020,502030,50203010,7370,1
EBAY,25,2550,255020,25502020,7370,1
EBE,40,4010,401010,40101015,6020,1
EBF,20,2020,202010,20201010,2761,1
EBI.1,40,4010,401010,40101010,6035,1
EBIO.1,35,3520,352010,35201010,2836,1
EBIX,45,4510,451030,45103010,7372,1
EBMT,40,4010,401010,40101015,6035,1
EBNX,45,4510,451010,45101010,7370,1
EBR.B,20,2020,202020,20202010,7363,1
EBR,55,5510,551010,55101010,4911,1
EBS,35,3520,352010,35201010,2836,1
EBSB,40,4010,401020,40102010,6036,1
EBSC,25,2550,255030,25503010,5311,1
EBSI.1,40,4010,401010,40101010,6035,1
EBTC,40,4010,401010,40101015,6020,1
EBTX,40,4010,401010,40101015,6020,1
EC.2,15,1510,151010,15101020,2810,1
EC,10,1010,101020,10102010,2911,1
ECA.2,10,1010,101020,10102020,1311,1
ECBE,40,4010,401010,40101015,6020,1
ECC.1,20,2010,201010,20101010,3690,1
ECGI.,25,2540,254010,25401010,8742,1
ECHO.1,45,4510,451020,45102020,6099,1
ECHO,20,2030,203010,20301010,4731,1
ECIL,45,4520,452010,45201020,3661,1
ECL,15,1510,151010,15101050,2842,1
ECLG,45,4510,451010,45101010,7371,1
ECLP,35,3510,351030,35103010,7373,1
ECMV,25,2550,255040,25504040,5912,1
ECO.2,15,1510,151040,15104030,1040,1
ECOL,20,2020,202010,20201050,4955,1
ECOM.1,45,4510,451030,45103010,7372,1
ECOM,45,4510,451030,45103010,7370,1
ECOR,35,3510,351010,35101010,3845,1
ECP.1,25,2540,254010,25401040,2711,1
ECPG,40,4020,402020,40202010,6153,1
ECSI.,35,3510,351010,35101010,3845,1
ECST,25,2550,255020,25502020,5961,1
ECT.2,60,6010,601010,60101010,6798,1
ECTX.1,45,4510,451030,45103010,3661,1
ECYT,35,3520,352020,35202010,2836,1
ED,55,5510,551030,55103010,4931,1
ED.PA,60,6010,601010,60101060,6798,1
ED.PC,60,6010,601010,60101060,6798,1
EDA.U,50,5020,502010,50201020,4888,1
EDA.WS,50,5020,502010,50201020,4888,1
EDAC,20,2010,201010,20101010,3829,1
EDAP,35,3510,351010,35101010,3845,1
EDE,55,5510,551010,55101010,4911,1
EDE.PD,60,6010,601010,60101050,6798,1
EDEL,25,2510,251010,25101010,3714,1
EDEN.1,15,1510,151010,15101030,2870,1
EDG,20,2010,201070,20107010,5051,1
EDGE,35,3520,352010,35201010,2836,1
EDGR,45,4510,451010,45101010,7370,1
EDGW,45,4510,451020,45102010,7370,1
EDIT,35,3520,352010,35201010,2836,1
EDLG,40,4020,402020,40202010,6141,1
EDMC.1,60,6010,601010,60101070,6798,1
EDN,55,5510,551010,55101010,4911,1
EDNT,25,2520,252020,25202010,3942,1
EDO.,20,2010,201010,20101010,3812,1
EDR.1,60,6010,601010,60101060,6798,1
EDRY,20,2030,203030,20303010,4412,1
EDS.,45,4510,451020,45102020,7370,1
EDS.1,40,4020,402030,40203010,9995,1
EDSA,35,3520,352010,35201010,2836,1
EDSN,20,2020,202010,20201030,8200,1
EDSUU.1,60,6010,601010,60101080,6798,1
EDSUU,40,4010,401010,40101010,6020,1
EDSWW.1,60,6010,601010,60101080,6798,1
EDSWW,40,4010,401010,40101010,6020,1
EDU,25,2530,253020,25302010,8200,1
EDUC,25,2550,255010,25501010,5190,1
EDV.1,45,4510,451030,45103020,5961,1
EDV.3,60,6010,601010,60101060,6798,1
EE,55,5510,551010,55101010,4911,1
EEEE,25,2530,253020,25302010,8200,1
EEFT,45,4510,451020,45102020,6099,1
EEGL,25,2550,255010,25501010,5030,1
EEI,20,2020,202010,20201050,8711,1
EELN,40,4010,401020,40102010,6162,1
EEMA,45,4520,452030,45203015,3827,1
EEP,10,1010,101020,10102040,4610,1
EEQ,10,1010,101020,10102040,4610,1
EEX.1,10,1010,101020,10102020,1311,1
EEX,50,5020,502010,50201010,7389,1
EF,40,4020,402030,40203010,6282,1
EFBC,40,4010,401010,40101010,6035,1
EFC.1,40,4010,401020,40102010,6036,1
EFC,40,4020,402040,40204010,6282,1
EFC.PA,55,5510,551010,55101010,4931,1
EFD.1,45,4510,451020,45102020,7374,1
EFII,45,4520,452020,45202030,3577,1
