,F0000000E7,F00000MCRR,F00000QKMH,F00000QKN5,F00000V471,F00000YW53,F00000Z9UC,F000010HP8
2,100,21,1.56,3.04,28,100,14.37,1.70527
3,0,13,15.57,26.26,4,0,21.97,15.54063
4,0,37,43.19,46.66,17,0,44.76,42.9382
5,0,29,39.65,24.03,47,0,18.9,39.71935
6,0,0,0.03,0,3,0,0,0
7,0,0,0,0,1,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0.09653
