name,CSDCCCode,SecId,PerformanceId,MasterPortfolioId,ISIN,obsoletedate,obsoletetype
Bosera SHS High-quality Corp Flexible A,1215,F00000VOZO,0P00015U3T,,,,
Bosera SHS High-quality Corp Flexible C,2555,F00000WZGV,0P00017MXH,,,,
Bosera SHS Value Selected mix A,4091,F00000Y95R,0P00019C5K,,,,
Bosera SHS Value Selected mix C,4092,F00000Y95S,0P00019C5L,,,,
Bosera Silu Theme Eq A,1236,F00000VR6H,0P00015Y9S,,,,
Bosera Silu Theme Eq C,2556,F00000WZGS,0P00017MXE,,,,
Bosera SOE Struct Reform ETF Fdr A,6438,F00001180X,0P0001ENGQ,,,,
Bosera SOE Struct Reform ETF Fdr C,6439,F00001180Y,0P0001ENGR,,,,
Bosera SSE 50 ETF Fdr A,1237,F00000VQVV,0P00015XQN,,,,
Bosera SSE 50 ETF Fdr C,5737,F00001081G,0P0001CU2W,,,,
Bosera SSE Natural Res Idx ETF Feeder Fd,50024,F00000NRWA,0P0000VH6W,,,,
Bosera Stable Return Bond (LOF) A,160513,F00000TIX5,0P000136M4,,,,
Bosera Stable Return Bond (LOF) C,160514,F00000TIX6,0P000136M5,,,,
Bosera Stable Value Bond Investment Fd B,50006,F0HKG060GO,0P00007KJY,,,,
Bosera Stable–Gain Bond Fund A,84,F00000PQ0Z,0P0000YCIN,,,,
Bosera Stable–Gain Bond Fund C,85,F00000PQ10,0P0000YCIO,,,,
Bosera State-owned Reform Theme Eq,1277,F00000VQO8,0P00015XD0,,,,
Bosera Strategy Dynamic Asset Alloc,50012,F000003WFR,0P0000KOUN,,,,
Bosera Stratgy New Indl Stk Fd,4677,F00000YYQV,0P0001AHER,,,,
Bosera Sustaining Value Bond Fd A,50106,F000000KPL,0P00009U25,,,,
Bosera SZSE Fundamental 200 ETF Fdr Fd,50021,F00000MD2A,0P0000SXP4,,,,
Bosera Tertiary Industry Growth Stk Fd,50008,F0HKG06ZPO,0P00008UM9,,,,
Bosera Theme Industry Stock Fd(LOF),160505,F0HKG05VTD,0P00007KES,,,,
Bosera Tiantian Inc MMkt A,734,F00000U21L,0P00013TLY,,,,
Bosera Tiantian Inc MMkt B,735,F00000U21M,0P00013TLZ,,,,
Bosera Tianyi Bond Fd A,50023,F00000NMHU,0P0000V437,,,,
Bosera TianYi Bond Fund C,50123,F00000NMHV,0P0000V438,,,,
Bosera Value Growth Fd,50001,F0HKG05VRU,0P00007KGH,,,,
Bosera Value Growth Fd 2,50201,F0HKG06YIQ,0P00007KN7,,,,
Bosera Value Mix Fund A,50010,F000001W7V,0P0000FY8D,,,,
Bosera Venture Growth Stock Fd A,50014,F00000H62S,0P0000NR3K,,,,
Bosera Venture Growth Stock Fd C,2553,F00000WZGT,0P00017MXF,,,,
Bosera Waiyan Gr Theme Flex Alloc,2142,F00000WPWP,0P0001785G,,,,
