,F0000000E7,F00000MCRR,F00000QKMH,F00000QKN5,F00000V471,F00000YW53,F00000Z9UC,F000010HP8
2,100,13.85045,1.94454,1.77148,18.64907,99.93267,10.68768,2.32111
3,0,8.77391,19.06354,30.41739,12.15515,0.00006,25.61465,18.06433
4,0,33.08801,43.09253,41.15621,10.88249,0,43.34462,43.83708
5,0,28.32476,34.92161,23.1389,48.51508,0,19.50872,35.22174
6,0,0,0.12927,0,6.21975,0,0,0
7,0,0,0,0,1.44389,0,0,0
8,0,0,0,0,0,0,0,0
9,0,15.96286,0.84852,3.51602,2.13457,0.06727,0.84433,0.55575
