,USDSEK,USDNOK,USDJPY,USDCHF,USDCAD,NZDUSD,GBPUSD,EURUSD,AUDUSD,USDSGD,USDTHB,USDKRW,USDTWD,USDINR,USDIDR
2011-12-01,0.071850019,0.067699656,0.006607073000000001,0.15338042400000002,0.032938076000000004,-0.061958614,-0.038360194,-0.067031748,-0.024604234,0.064422519,0.031010337000000002,0.04128343,0.039069511,0.125720961,0.081786178
2011-12-02,0.07977094400000001,0.08536084,0.014740412,0.134867607,0.036999182,-0.07657711,-0.043502135,-0.07421928700000001,-0.03775539,0.06463374200000001,0.029019346,0.054134709,0.041537079,0.12627565400000001,0.08501471199999999
2011-12-05,0.07262463200000001,0.0829947,0.014972009,0.127919775,0.043340164,-0.08838028199999999,-0.050067,-0.077426015,-0.043657485,0.065892116,0.027333332999999998,0.054747448,0.043043042999999996,0.12212609699999999,0.060124699000000004
2011-12-06,0.065471233,0.078428081,0.015412748,0.13243409,0.041709262000000004,-0.09143057800000001,-0.041702441,-0.073378603,-0.047797213,0.067419462,0.028990337,0.061217235,0.044661067,0.12212609699999999,0.059103650999999986
2011-12-07,0.060177521,0.071881528,0.012504885,0.151424661,0.032855681,-0.081853463,-0.038380976000000004,-0.066323335,-0.040366287,0.065497465,0.028046745,0.06060891,0.046980562999999996,0.124511754,0.060315829
2011-12-08,0.050562324000000006,0.064325645,0.010541385,0.167150246,0.034189784,-0.08265726,-0.029966017999999997,-0.059785278,-0.041113811,0.06935215900000001,0.028399598999999998,0.0642176,0.044574983,0.134491628,0.058290427
2011-12-09,0.056214535999999996,0.069071671,0.011467291999999999,0.17499366,0.038418652000000005,-0.089023234,-0.035586308999999997,-0.058453492,-0.044492725999999996,0.07708247,0.031740727999999996,0.073704845,0.043437727,0.142301194,0.06260417
2011-12-12,0.040093649,0.054284408,0.010803072,0.181181564,0.028922705,-0.068574188,-0.027380212,-0.050334615,-0.032267276,0.07193055,0.035427807,0.067415,0.04178724,0.143452492,0.056938565999999996
2011-12-13,0.06933296,0.08765919400000001,0.008678756,0.09370988400000001,0.038737736,-0.076048845,-0.023702314,-0.062211162,-0.048320120999999994,0.078413513,0.04004004,0.07690661,0.043403375999999994,0.166217372,0.059712495
2011-12-14,0.09552383800000001,0.10076384,0.008276219,0.101223063,0.048169557,-0.092098943,-0.028730945,-0.073505367,-0.054648419000000004,0.079927188,0.040972685,0.075445956,0.042091881,0.16424367199999998,0.07227107
2011-12-15,0.08772066099999999,0.107407476,0.007742935,0.094097421,0.051375405,-0.104518758,-0.032882375,-0.066038415,-0.069267741,0.076304562,0.045605859000000006,0.079290259,0.033162743,0.170956671,0.079336405
2011-12-16,0.053237345,0.07463919,0.010247761999999999,0.054719101,0.032506501,-0.06997549,-0.018826205,-0.037745605,-0.036073501,0.056388235999999994,0.0398142,0.056217888,0.021214165,0.124461429,0.057756748
2011-12-19,0.035312906,0.056954744,0.01180898,0.062932305,0.047638230999999996,-0.077680525,-0.021853092,-0.047678335999999995,-0.041199226,0.059466904,0.037810945,0.072975608,0.02760207,0.133469879,0.057657266
2011-12-20,0.029483079,0.04887696,0.014174252,0.061148228,0.04651397400000001,-0.069320269,-0.014037985,-0.045557919,-0.02633898,0.04688627099999999,0.03435745,0.049634523,0.020002024,0.11443304300000001,0.019108985
2011-12-21,0.016029831,0.035589255,0.013550488999999999,0.057919890999999994,0.033430672,-0.051694499000000005,-0.005584819,-0.044460640999999995,-0.006950563000000001,0.035665625,0.030353019,0.029057184,0.023746612,0.10743169,0.033632028
2011-12-22,0.046109642,0.06299156,0.016276042,0.074001836,0.044539353,-0.069299733,-0.009297325,-0.058666474,-0.025611288,0.04659614,0.032289951000000004,0.039994614,0.028196766,0.118396895,0.040546646
2011-12-23,0.022544283,0.052981424000000006,0.015474642,0.05901008,0.036461507000000004,-0.058122568,-0.00114657,-0.043054844,-0.006065349,0.024192909,0.027248851,0.011962793999999999,0.013608178,0.109805049,0.010838033
2011-12-26,0.02430783,0.044510957000000004,0.018946818,0.057442727,0.029693005,-0.05332681,-0.00248915,-0.040766857999999996,-0.002551271,0.017888101,0.023514043,0.005654183,0.012154288999999999,0.10269207300000001,-0.002701447
2011-12-27,0.034615734,0.05498891400000002,0.020560503,0.047939068,0.027895267,-0.05954551,-0.006105317,-0.045693431,-0.012454996999999999,0.02532447,0.033870437,0.007630141999999999,0.006718776,0.109076489,-0.0038911690000000003
