holidays
2/4/2000
2/7/2000
4/4/2000
4/21/2000
4/24/2000
5/1/2000
5/11/2000
6/6/2000
9/13/2000
10/2/2000
10/6/2000
12/25/2000
12/26/2000
1/1/2001
1/24/2001
1/25/2001
1/26/2001
4/5/2001
4/13/2001
4/16/2001
4/30/2001
5/1/2001
6/25/2001
7/2/2001
7/6/2001
7/25/2001
10/1/2001
10/2/2001
10/25/2001
12/25/2001
12/26/2001
1/1/2002
2/12/2002
2/13/2002
2/14/2002
3/29/2002
4/1/2002
4/5/2002
5/1/2002
5/20/2002
7/1/2002
10/1/2002
10/14/2002
12/25/2002
12/26/2002
1/1/2003
1/31/2003
2/3/2003
4/18/2003
4/21/2003
5/1/2003
5/8/2003
6/4/2003
7/1/2003
9/12/2003
10/1/2003
12/25/2003
12/26/2003
1/1/2004
1/22/2004
1/23/2004
4/5/2004
4/9/2004
4/12/2004
5/26/2004
6/22/2004
7/1/2004
9/29/2004
10/1/2004
10/22/2004
12/27/2004
2/9/2005
2/10/2005
2/11/2005
3/25/2005
3/28/2005
4/5/2005
5/2/2005
5/16/2005
7/1/2005
9/19/2005
10/11/2005
12/26/2005
12/27/2005
1/2/2006
1/30/2006
1/31/2006
4/5/2006
4/14/2006
4/17/2006
5/1/2006
5/5/2006
5/31/2006
10/2/2006
10/30/2006
12/25/2006
12/26/2006
1/1/2007
2/19/2007
2/20/2007
4/5/2007
4/6/2007
4/9/2007
5/1/2007
5/24/2007
6/19/2007
7/2/2007
9/26/2007
10/1/2007
10/19/2007
12/25/2007
12/26/2007
1/1/2008
2/7/2008
2/8/2008
3/21/2008
3/24/2008
4/4/2008
5/1/2008
5/12/2008
6/9/2008
7/1/2008
8/6/2008
8/22/2008
9/15/2008
10/1/2008
10/7/2008
12/25/2008
12/26/2008
1/1/2009
1/26/2009
1/27/2009
1/28/2009
4/10/2009
4/13/2009
5/1/2009
5/28/2009
7/1/2009
10/1/2009
10/26/2009
12/25/2009
1/1/2010
2/15/2010
2/16/2010
4/2/2010
4/5/2010
4/6/2010
5/21/2010
6/16/2010
7/1/2010
9/23/2010
10/1/2010
12/27/2010
2/3/2011
2/4/2011
4/5/2011
4/22/2011
4/25/2011
5/2/2011
5/10/2011
6/6/2011
7/1/2011
9/13/2011
9/29/2011
10/5/2011
12/26/2011
12/27/2011
1/2/2012
1/23/2012
1/24/2012
1/25/2012
4/4/2012
4/6/2012
4/9/2012
5/1/2012
7/2/2012
10/1/2012
10/2/2012
10/23/2012
12/25/2012
12/26/2012
1/1/2013
2/11/2013
2/12/2013
2/13/2013
3/29/2013
4/1/2013
4/4/2013
5/1/2013
5/17/2013
6/12/2013
7/1/2013
8/14/2013
9/20/2013
10/1/2013
10/14/2013
12/25/2013
12/26/2013
1/1/2014
1/31/2014
2/3/2014
4/18/2014
4/21/2014
5/1/2014
5/6/2014
6/2/2014
7/1/2014
9/9/2014
10/1/2014
10/2/2014
12/25/2014
12/26/2014
1/1/2015
2/19/2015
2/20/2015
4/3/2015
4/6/2015
4/7/2015
5/1/2015
5/25/2015
7/1/2015
9/3/2015
9/28/2015
10/1/2015
10/21/2015
12/25/2015
1/1/2016
2/8/2016
2/9/2016
2/10/2016
3/25/2016
3/28/2016
4/4/2016
5/2/2016
6/9/2016
7/1/2016
8/2/2016
9/16/2016
10/10/2016
10/21/2016
12/26/2016
12/27/2016
1/2/2017
1/30/2017
1/31/2017
4/4/2017
4/14/2017
4/17/2017
5/1/2017
5/3/2017
5/30/2017
8/23/2017
10/2/2017
10/5/2017
12/25/2017
12/26/2017
1/1/2018
2/16/2018
2/19/2018
3/30/2018
4/2/2018
4/5/2018
5/1/2018
5/22/2018
6/18/2018
7/2/2018
9/25/2018
10/1/2018
10/17/2018
12/25/2018
12/26/2018
1/1/2019
2/5/2019
2/6/2019
2/7/2019
4/5/2019
4/19/2019
4/22/2019
5/1/2019
5/13/2019
6/7/2019
7/1/2019
10/1/2019
10/7/2019
12/25/2019
12/26/2019
1/1/2020
1/27/2020
1/28/2020
4/10/2020
4/13/2020
4/30/2020
5/1/2020
6/25/2020
7/1/2020
10/1/2020
10/26/2020
12/25/2020
