iuids
CN_20_002398
CN_20_002399
CN_20_002504
CN_20_002505
CN_20_000804
CN_20_161210
CN_20_165530
CN_20_002715
CN_20_003190
CN_20_003191
CN_20_003232
CN_20_003233
CN_20_002013
CN_20_002014
CN_20_002097
CN_20_002098
CN_20_000984
CN_20_000987
CN_20_002110
CN_20_166007
CN_20_001884
CN_20_001739
CN_20_006046
CN_20_001259
CN_20_000062
CN_20_001846
CN_20_002312
CN_20_519764
CN_20_519765
CN_20_003698
CN_20_003699
CN_20_217024
CN_20_370025
CN_20_370026
CN_20_003409
CN_20_003410
CN_20_003991
CN_20_003992
CN_20_003976
CN_20_003977
CN_20_003801
CN_20_003802
CN_20_001800
CN_20_004491
CN_20_004490
CN_20_002540
CN_20_002541
CN_20_003490
CN_20_003491
CN_20_003906
CN_20_003907
CN_20_004518
CN_20_004519
CN_20_001431
CN_20_002297
CN_20_001333
CN_20_002374
CN_20_002114
CN_20_002115
CN_20_001673
CN_20_001674
CN_20_200016
CN_20_002726
CN_20_002727
CN_20_003902
CN_20_003903
CN_20_002100
CN_20_003035
CN_20_003036
CN_20_001639
CN_20_001640
CN_20_001754
CN_20_004768
CN_20_002041
CN_20_002042
CN_20_002781
CN_20_161507
CN_20_150122
CN_20_150121
CN_20_002941
CN_20_002942
CN_20_004213
CN_20_001290
CN_20_002039
CN_20_002040
CN_20_003559
CN_20_003560
CN_20_004690
CN_20_004691
CN_20_003179
CN_20_004287
CN_20_004414
CN_20_004415
CN_20_001274
CN_20_001263
CN_20_002372
CN_20_519675
CN_20_519648
CN_20_000104
CN_20_620005
CN_20_320014
CN_20_002706
CN_20_001458
CN_20_002976
CN_20_001459
CN_20_002975
CN_20_003306
CN_20_003307
CN_20_150077
CN_20_150076
CN_20_166802
CN_20_000473
CN_20_000474
CN_20_004023
CN_20_163117
CN_20_150233
CN_20_150234
CN_20_003982
CN_20_002101
CN_20_002102
CN_20_150090
CN_20_150091
CN_20_161910
CN_20_675131
CN_20_675132
CN_20_004096
CN_20_006062
CN_20_005385
CN_20_150058
CN_20_150057
CN_20_162010
CN_20_002452
CN_20_005773
CN_20_002350
CN_20_003055
CN_20_560005
CN_20_001597
CN_20_001598
CN_20_002363
CN_20_002364
CN_20_005022
CN_20_005023
CN_20_000007
CN_20_501003
CN_20_004297
CN_20_004298
CN_20_004338
CN_20_004339
CN_20_004336
CN_20_004337
CN_20_004312
CN_20_004313
CN_20_001565
CN_20_005509
CN_20_005510
CN_20_511680
CN_20_003178
CN_20_002842
CN_20_002843
CN_20_001363
CN_20_165315
CN_20_150331
CN_20_150332
CN_20_002699
CN_20_002700
CN_20_001494
CN_20_002047
CN_20_002129
CN_20_001611
CN_20_001612
CN_20_003963
CN_20_005154
CN_20_005155
CN_20_050029
CN_20_002294
CN_20_002130
CN_20_002131
CN_20_165705
CN_20_003716
CN_20_167004
CN_20_002607
CN_20_004303
CN_20_004304
CN_20_004310
CN_20_004311
CN_20_003924
CN_20_003925
CN_20_004305
CN_20_004306
CN_20_004308
CN_20_004309
CN_20_004299
CN_20_004300
CN_20_003820
CN_20_003821
CN_20_002677
CN_20_002678
CN_20_166003
CN_20_166004
CN_20_002813
CN_20_002814
CN_20_002433
CN_20_004778
CN_20_004779
CN_20_206013
CN_20_001531
CN_20_002776
CN_20_002777
CN_20_001586
CN_20_001587
CN_20_001590
CN_20_001591
CN_20_003381
CN_20_004036
CN_20_004037
CN_20_165806
CN_20_003148
CN_20_003149
CN_20_001460
CN_20_002973
CN_20_003667
CN_20_001599
CN_20_001600
CN_20_005798
CN_20_002670
CN_20_002671
CN_20_002789
CN_20_002790
CN_20_004508
CN_20_004323
CN_20_003884
CN_20_003885
CN_20_001560
CN_20_001561
CN_20_001554
CN_20_001555
CN_20_320020
CN_20_004115
CN_20_004207
CN_20_004208
CN_20_004619
CN_20_003140
CN_20_003141
CN_20_310378
CN_20_310379
CN_20_164812
CN_20_164822
CN_20_000287
CN_20_000288
CN_20_003211
CN_20_003212
CN_20_004326
