,riskratio,simple_return,unpnl
avg,0.013972159,-0.10%," $(1,551.61)"
weight_avg,0.013972159,-0.96%," $(5,959.71)"
median,0.013972159,0.42%, $15.97 
max,0.013972159,0.23%," $(2,811.01)"
min,0.013972159,0.13%, $64.30 
