,SPBDUB3T Index,SBMMTB3 Index
,PX_LAST,PX_LAST
date,,
2013-06-23,215.796,622.2564
2013-06-24,215.795,622.259
2013-06-25,215.795,622.2599
2013-06-26,215.795,622.2607
2013-06-27,215.798,622.2616
2013-06-28,215.798,622.2642
2013-06-29,215.798,622.2642
2013-06-30,215.798,622.2642
2013-07-01,215.803,622.2649
2013-07-02,215.801,622.2656
2013-07-03,215.8,622.2662
2013-07-04,215.8,622.267
2013-07-05,215.8,622.2676
2013-07-06,215.8,622.2676
2013-07-07,215.8,622.2676
2013-07-08,215.801,622.2697
2013-07-09,215.801,622.2704
2013-07-10,215.801,622.2711
2013-07-11,215.802,622.2718
2013-07-12,215.8,622.2725
2013-07-13,215.8,622.2725
2013-07-14,215.8,622.2725
2013-07-15,215.802,622.2745
2013-07-16,215.803,622.2753
2013-07-17,215.804,622.2759
2013-07-18,215.804,622.2766
2013-07-19,215.805,622.2773
2013-07-20,215.805,622.2773
2013-07-21,215.805,622.2773
2013-07-22,215.806,622.2794
2013-07-23,215.806,622.2801
2013-07-24,215.805,622.2808
2013-07-25,215.806,622.2815
2013-07-26,215.806,622.2822
2013-07-27,215.806,622.2822
2013-07-28,215.806,622.2822
2013-07-29,215.805,622.2842
2013-07-30,215.805,622.2849
2013-07-31,215.804,622.2856
2013-08-01,215.804,622.2863
2013-08-02,215.805,622.2869
2013-08-03,215.805,622.2869
2013-08-04,215.805,622.2869
2013-08-05,215.802,622.2888
2013-08-06,215.802,622.2895
2013-08-07,215.802,622.2901
2013-08-08,215.802,622.2907
2013-08-09,215.803,622.2914
2013-08-10,215.803,622.2914
2013-08-11,215.803,622.2914
2013-08-12,215.802,622.2933
2013-08-13,215.803,622.2939
2013-08-14,215.803,622.2946
2013-08-15,215.803,622.2952
2013-08-16,215.805,622.2958
2013-08-17,215.805,622.2958
2013-08-18,215.805,622.2958
2013-08-19,215.805,622.2978
2013-08-20,215.807,622.2984
2013-08-21,215.809,622.2991
2013-08-22,215.811,622.2997
2013-08-23,215.811,622.3004
2013-08-24,215.811,622.3004
2013-08-25,215.811,622.3004
2013-08-26,215.811,622.3022
2013-08-27,215.811,622.3029
2013-08-28,215.812,622.3035
2013-08-29,215.812,622.3042
2013-08-30,215.813,622.3054
2013-08-31,215.813,622.3054
2013-09-01,215.813,622.3054
2013-09-02,215.813,622.3066
2013-09-03,215.812,622.3072
2013-09-04,215.813,622.3078
2013-09-05,215.813,622.3083
2013-09-06,215.814,622.309
2013-09-07,215.814,622.309
2013-09-08,215.814,622.309
2013-09-09,215.814,622.3107
2013-09-10,215.814,622.3113
2013-09-11,215.813,622.3118
2013-09-12,215.814,622.3124
2013-09-13,215.814,622.313
2013-09-14,215.814,622.313
2013-09-15,215.814,622.313
2013-09-16,215.815,622.3148
2013-09-17,215.815,622.3154
2013-09-18,215.816,622.3159
2013-09-19,215.817,622.3165
2013-09-20,215.815,622.3171
2013-09-21,215.815,622.3171
2013-09-22,215.815,622.3171
2013-09-23,215.814,622.3188
2013-09-24,215.815,622.3194
2013-09-25,215.815,622.32
2013-09-26,215.815,622.3206
2013-09-27,215.814,622.3212
2013-09-28,215.814,622.3212
2013-09-29,215.814,622.3212
2013-09-30,215.814,622.3229
2013-10-01,215.81,622.3234
2013-10-02,215.813,622.3238
2013-10-03,215.808,622.3242
2013-10-04,215.808,622.3246
2013-10-05,215.808,622.3246
2013-10-06,215.808,622.3246
2013-10-07,215.806,622.326
2013-10-08,215.798,622.3264
2013-10-09,215.795,622.3268
2013-10-10,215.789,622.3273
2013-10-11,215.788,622.3277
2013-10-12,215.788,622.3277
2013-10-13,215.788,622.3277
2013-10-14,215.788,622.329
2013-10-15,215.786,622.3295
2013-10-16,215.801,622.3299
2013-10-17,215.819,622.3304
2013-10-18,215.822,622.3308
2013-10-19,215.822,622.3308
2013-10-20,215.822,622.3308
2013-10-21,215.821,622.3321
2013-10-22,215.822,622.3325
2013-10-23,215.823,622.333
2013-10-24,215.822,622.3334
2013-10-25,215.822,622.3339
2013-10-26,215.822,622.3339
2013-10-27,215.822,622.3339
2013-10-28,215.822,622.3351
2013-10-29,215.819,622.3356
2013-10-30,215.82,622.3361
2013-10-31,215.821,622.3365
2013-11-01,215.821,622.3369
2013-11-02,215.821,622.3369
2013-11-03,215.821,622.3369
2013-11-04,215.821,622.3381
2013-11-05,215.82,622.3385
2013-11-06,215.821,622.3389
2013-11-07,215.821,622.3393
2013-11-08,215.822,622.3397
2013-11-09,215.822,622.3397
2013-11-10,215.822,622.3397
2013-11-11,215.822,622.3409
2013-11-12,215.82,622.3413
2013-11-13,215.82,622.3417
2013-11-14,215.82,622.3422
2013-11-15,215.822,622.3425
2013-11-16,215.822,622.3425
2013-11-17,215.822,622.3425
2013-11-18,215.823,622.3438
2013-11-19,215.823,622.3442
2013-11-20,215.825,622.3445
2013-11-21,215.827,622.345
2013-11-22,215.827,622.3453
2013-11-23,215.827,622.3453
2013-11-24,215.827,622.3453
2013-11-25,215.827,622.3466
2013-11-26,215.828,622.347
2013-11-27,215.83,622.3474
2013-11-28,215.83,622.3478
2013-11-29,215.832,622.3486
2013-11-30,215.832,622.3486
2013-12-01,215.832,622.3486
2013-12-02,215.832,622.3498
2013-12-03,215.834,622.3504
2013-12-04,215.834,622.351
2013-12-05,215.834,622.3516
2013-12-06,215.835,622.3522
2013-12-07,215.835,622.3522
2013-12-08,215.835,622.3522
2013-12-09,215.834,622.3541
2013-12-10,215.834,622.3547
2013-12-11,215.835,622.3553
2013-12-12,215.836,622.3559
2013-12-13,215.837,622.3565
2013-12-14,215.837,622.3565
2013-12-15,215.837,622.3565
2013-12-16,215.837,622.3583
2013-12-17,215.837,622.3589
2013-12-18,215.837,622.3596
2013-12-19,215.838,622.3602
2013-12-20,215.838,622.3608
2013-12-21,215.838,622.3608
2013-12-22,215.838,622.3608
2013-12-23,215.838,622.3626
2013-12-24,215.838,622.3632
2013-12-25,215.838,622.3632
2013-12-26,215.838,622.3644
2013-12-27,215.84,622.3651
2013-12-28,215.84,622.3651
2013-12-29,215.84,622.3651
2013-12-30,215.84,622.3669
2013-12-31,215.84,622.3676
2014-01-01,215.84,622.3676
2014-01-02,215.84,622.3694
2014-01-03,215.841,622.3704
2014-01-04,215.841,622.3704
2014-01-05,215.841,622.3704
2014-01-06,215.842,622.3733
2014-01-07,215.842,622.3743
2014-01-08,215.842,622.3752
2014-01-09,215.843,622.3762
2014-01-10,215.844,622.3771
2014-01-11,215.844,622.3771
2014-01-12,215.844,622.3771
2014-01-13,215.845,622.38
2014-01-14,215.845,622.381
2014-01-15,215.845,622.382
2014-01-16,215.846,622.3829
2014-01-17,215.846,622.3839
2014-01-18,215.846,622.3839
2014-01-19,215.846,622.3839
2014-01-20,215.846,622.3868
2014-01-21,215.846,622.3878
2014-01-22,215.847,622.3887
2014-01-23,215.846,622.3896
2014-01-24,215.841,622.3906
2014-01-25,215.841,622.3906
2014-01-26,215.841,622.3906
2014-01-27,215.84,622.3935
2014-01-28,215.84,622.3945
2014-01-29,215.846,622.3954
2014-01-30,215.848,622.3964
2014-01-31,215.846,622.3973
2014-02-01,215.846,622.3973
2014-02-02,215.846,622.3973
2014-02-03,215.843,622.3999
2014-02-04,215.843,622.4008
2014-02-05,215.844,622.4016
2014-02-06,215.842,622.4025
2014-02-07,215.838,622.4033
2014-02-08,215.838,622.4033
2014-02-09,215.838,622.4033
2014-02-10,215.844,622.4058
2014-02-11,215.847,622.4067
2014-02-12,215.85,622.4075
2014-02-13,215.852,622.4084
2014-02-14,215.851,622.4092
2014-02-15,215.851,622.4092
2014-02-16,215.851,622.4092
2014-02-17,215.851,622.4117
2014-02-18,215.85,622.4126
2014-02-19,215.85,622.4135
2014-02-20,215.852,622.4143
2014-02-21,215.853,622.4152
2014-02-22,215.853,622.4152
2014-02-23,215.853,622.4152
2014-02-24,215.852,622.4177
2014-02-25,215.851,622.4185
2014-02-26,215.852,622.4194
2014-02-27,215.853,622.4202
2014-02-28,215.852,622.4211
2014-03-01,215.852,622.4211
2014-03-02,215.852,622.4211
2014-03-03,215.851,622.4235
2014-03-04,215.85,622.4243
2014-03-05,215.851,622.425
2014-03-06,215.851,622.4258
2014-03-07,215.852,622.4266
2014-03-08,215.852,622.4266
2014-03-09,215.852,622.4266
2014-03-10,215.852,622.429
2014-03-11,215.854,622.4297
2014-03-12,215.854,622.4305
2014-03-13,215.854,622.4313
2014-03-14,215.855,622.4321
2014-03-15,215.855,622.4321
2014-03-16,215.855,622.4321
2014-03-17,215.854,622.4345
2014-03-18,215.854,622.4353
2014-03-19,215.854,622.4361
2014-03-20,215.855,622.4369
2014-03-21,215.859,622.4377
2014-03-22,215.859,622.4377
2014-03-23,215.859,622.4377
2014-03-24,215.859,622.4401
2014-03-25,215.86,622.4408
2014-03-26,215.861,622.4416
2014-03-27,215.863,622.4424
2014-03-28,215.863,622.4432
2014-03-29,215.863,622.4432
2014-03-30,215.863,622.4432
2014-03-31,215.863,622.4456
2014-04-01,215.864,622.4462
2014-04-02,215.865,622.4467
2014-04-03,215.864,622.4473
2014-04-04,215.864,622.4479
2014-04-05,215.864,622.4479
2014-04-06,215.864,622.4479
2014-04-07,215.863,622.4496
2014-04-08,215.863,622.4502
2014-04-09,215.863,622.4508
2014-04-10,215.864,622.4514
2014-04-11,215.864,622.452
2014-04-12,215.864,622.452
2014-04-13,215.864,622.452
2014-04-14,215.864,622.4537
2014-04-15,215.865,622.4543
2014-04-16,215.865,622.4549
2014-04-17,215.867,622.4554
2014-04-18,215.867,622.4561
2014-04-19,215.867,622.4561
2014-04-20,215.867,622.4561
2014-04-21,215.867,622.4578
2014-04-22,215.868,622.4584
2014-04-23,215.868,622.4589
2014-04-24,215.869,622.4595
2014-04-25,215.869,622.4601
2014-04-26,215.869,622.4601
2014-04-27,215.869,622.4601
2014-04-28,215.869,622.4619
2014-04-29,215.869,622.4625
2014-04-30,215.868,622.463
2014-05-01,215.868,622.4637
2014-05-02,215.869,622.4643
2014-05-03,215.869,622.4643
2014-05-04,215.869,622.4643
2014-05-05,215.869,622.4662
2014-05-06,215.869,622.4669
2014-05-07,215.869,622.4675
2014-05-08,215.869,622.4681
2014-05-09,215.869,622.4688
2014-05-10,215.869,622.4688
2014-05-11,215.869,622.4688
2014-05-12,215.869,622.4707
2014-05-13,215.869,622.4713
2014-05-14,215.869,622.472
2014-05-15,215.871,622.4727
2014-05-16,215.872,622.4733
2014-05-17,215.872,622.4733
2014-05-18,215.872,622.4733
2014-05-19,215.871,622.4752
2014-05-20,215.87,622.4758
2014-05-21,215.87,622.4764
2014-05-22,215.87,622.4771
2014-05-23,215.87,622.4777
2014-05-24,215.87,622.4777
2014-05-25,215.87,622.4777
2014-05-26,215.87,622.4797
2014-05-27,215.87,622.4803
2014-05-28,215.87,622.481
2014-05-29,215.869,622.4816
2014-05-30,215.87,622.4828
2014-05-31,215.87,622.4828
2014-06-01,215.87,622.4828
2014-06-02,215.87,622.4839
2014-06-03,215.869,622.4845
2014-06-04,215.87,622.485
2014-06-05,215.872,622.4856
2014-06-06,215.872,622.4861
2014-06-07,215.872,622.4861
2014-06-08,215.872,622.4861
2014-06-09,215.872,622.4878
2014-06-10,215.872,622.4883
2014-06-11,215.872,622.4889
2014-06-12,215.872,622.4894
2014-06-13,215.873,622.49
2014-06-14,215.873,622.49
2014-06-15,215.873,622.49
2014-06-16,215.873,622.4916
2014-06-17,215.873,622.4922
2014-06-18,215.875,622.4927
2014-06-19,215.877,622.4933
2014-06-20,215.877,622.4938
2014-06-21,215.877,622.4938
2014-06-22,215.877,622.4938
2014-06-23,215.878,622.4954
2014-06-24,215.878,622.496
2014-06-25,215.879,622.4965
2014-06-26,215.878,622.4971
2014-06-27,215.878,622.4976
2014-06-28,215.878,622.4976
2014-06-29,215.878,622.4976
2014-06-30,215.877,622.4993
2014-07-01,215.878,622.4998
2014-07-02,215.879,622.5003
2014-07-03,215.879,622.5008
2014-07-04,215.879,622.5013
2014-07-05,215.879,622.5013
2014-07-06,215.879,622.5013
2014-07-07,215.878,622.5028
2014-07-08,215.878,622.5034
2014-07-09,215.878,622.5038
2014-07-10,215.879,622.5043
2014-07-11,215.879,622.5049
2014-07-12,215.879,622.5049
2014-07-13,215.879,622.5049
2014-07-14,215.878,622.5064
2014-07-15,215.879,622.5069
2014-07-16,215.88,622.5074
2014-07-17,215.88,622.5079
2014-07-18,215.88,622.5084
2014-07-19,215.88,622.5084
2014-07-20,215.88,622.5084
2014-07-21,215.88,622.5099
2014-07-22,215.879,622.5104
2014-07-23,215.88,622.5109
2014-07-24,215.88,622.5115
2014-07-25,215.879,622.512
2014-07-26,215.879,622.512
2014-07-27,215.879,622.512
2014-07-28,215.879,622.5135
2014-07-29,215.879,622.514
2014-07-30,215.879,622.5145
2014-07-31,215.881,622.515
2014-08-01,215.881,622.5156
2014-08-02,215.881,622.5156
2014-08-03,215.881,622.5156
2014-08-04,215.882,622.5171
2014-08-05,215.882,622.5176
2014-08-06,215.882,622.5182
2014-08-07,215.882,622.5187
2014-08-08,215.883,622.5192
2014-08-09,215.883,622.5192
2014-08-10,215.883,622.5192
2014-08-11,215.882,622.5208
2014-08-12,215.881,622.5213
2014-08-13,215.881,622.5219
2014-08-14,215.881,622.5223
2014-08-15,215.882,622.5229
2014-08-16,215.882,622.5229
2014-08-17,215.882,622.5229
2014-08-18,215.882,622.5245
2014-08-19,215.882,622.525
2014-08-20,215.882,622.5255
2014-08-21,215.885,622.526
2014-08-22,215.885,622.5266
2014-08-23,215.885,622.5266
2014-08-24,215.885,622.5266
2014-08-25,215.884,622.5281
2014-08-26,215.885,622.5286
2014-08-27,215.886,622.5292
2014-08-28,215.886,622.5297
2014-08-29,215.885,622.5313
2014-08-30,215.885,622.5313
2014-08-31,215.885,622.5313
2014-09-01,215.885,622.5317
2014-09-02,215.886,622.5322
2014-09-03,215.886,622.5327
2014-09-04,215.886,622.5331
2014-09-05,215.886,622.5336
2014-09-06,215.886,622.5336
2014-09-07,215.886,622.5336
2014-09-08,215.887,622.535
2014-09-09,215.887,622.5355
2014-09-10,215.887,622.5359
2014-09-11,215.888,622.5364
2014-09-12,215.888,622.5369
2014-09-13,215.888,622.5369
2014-09-14,215.888,622.5369
2014-09-15,215.889,622.5383
2014-09-16,215.889,622.5388
2014-09-17,215.889,622.5392
2014-09-18,215.89,622.5397
2014-09-19,215.89,622.5402
2014-09-20,215.89,622.5402
2014-09-21,215.89,622.5402
2014-09-22,215.89,622.5416
2014-09-23,215.889,622.542
2014-09-24,215.89,622.5425
2014-09-25,215.89,622.543
2014-09-26,215.889,622.5434
2014-09-27,215.889,622.5434
2014-09-28,215.889,622.5434
2014-09-29,215.89,622.5448
2014-09-30,215.887,622.5453
2014-10-01,215.888,622.5457
2014-10-02,215.888,622.5461
2014-10-03,215.887,622.5466
2014-10-04,215.887,622.5466
2014-10-05,215.887,622.5466
2014-10-06,215.888,622.5478
2014-10-07,215.888,622.5482
2014-10-08,215.889,622.5486
2014-10-09,215.888,622.5491
2014-10-10,215.888,622.5495
2014-10-11,215.888,622.5495
2014-10-12,215.888,622.5495
2014-10-13,215.888,622.5507
2014-10-14,215.888,622.5511
2014-10-15,215.888,622.5516
2014-10-16,215.886,622.552
2014-10-17,215.888,622.5524
2014-10-18,215.888,622.5524
2014-10-19,215.888,622.5524
2014-10-20,215.887,622.5537
2014-10-21,215.887,622.5541
2014-10-22,215.887,622.5546
2014-10-23,215.889,622.5549
2014-10-24,215.889,622.5554
2014-10-25,215.889,622.5554
2014-10-26,215.889,622.5554
2014-10-27,215.889,622.5566
2014-10-28,215.889,622.5571
2014-10-29,215.89,622.5575
2014-10-30,215.891,622.5579
2014-10-31,215.891,622.5583
2014-11-01,215.891,622.5583
2014-11-02,215.891,622.5583
2014-11-03,215.889,622.5593
2014-11-04,215.888,622.5596
2014-11-05,215.889,622.5599
2014-11-06,215.889,622.5601
2014-11-07,215.889,622.5605
2014-11-08,215.889,622.5605
2014-11-09,215.889,622.5605
2014-11-10,215.889,622.5614
2014-11-11,215.889,622.5617
2014-11-12,215.889,622.562
2014-11-13,215.89,622.5623
2014-11-14,215.891,622.5626
2014-11-15,215.891,622.5626
2014-11-16,215.891,622.5626
2014-11-17,215.892,622.5635
2014-11-18,215.892,622.5638
2014-11-19,215.893,622.5641
2014-11-20,215.892,622.5645
2014-11-21,215.893,622.5648
2014-11-22,215.893,622.5648
2014-11-23,215.893,622.5648
2014-11-24,215.892,622.5657
2014-11-25,215.892,622.566
2014-11-26,215.893,622.5663
2014-11-27,215.893,622.5666
2014-11-28,215.893,622.5675
2014-11-29,215.893,622.5675
2014-11-30,215.893,622.5675
2014-12-01,215.893,622.5677
2014-12-02,215.892,622.5679
2014-12-03,215.892,622.5682
2014-12-04,215.892,622.5684
2014-12-05,215.894,622.5687
2014-12-06,215.894,622.5687
2014-12-07,215.894,622.5687
2014-12-08,215.893,622.5694
2014-12-09,215.892,622.5696
2014-12-10,215.893,622.5698
2014-12-11,215.893,622.5701
2014-12-12,215.895,622.5703
2014-12-13,215.895,622.5703
2014-12-14,215.895,622.5703
2014-12-15,215.895,622.571
2014-12-16,215.894,622.5713
2014-12-17,215.894,622.5715
2014-12-18,215.892,622.5717
2014-12-19,215.894,622.572
2014-12-20,215.894,622.572
2014-12-21,215.894,622.572
2014-12-22,215.896,622.5727
2014-12-23,215.896,622.5729
2014-12-24,215.897,622.5732
2014-12-25,215.897,622.5732
2014-12-26,215.896,622.5736
2014-12-27,215.896,622.5736
2014-12-28,215.896,622.5736
2014-12-29,215.896,622.5743
2014-12-30,215.897,622.5746
2014-12-31,215.895,622.5748
2015-01-01,215.895,622.5748
2015-01-02,215.895,622.5755
2015-01-03,215.895,622.5755
2015-01-04,215.895,622.5755
2015-01-05,215.896,622.5766
