date,equity,bond
2015-01-01,417.121,456.5313
2015-01-02,415.918,455.936
2015-01-03,415.918,455.936
2015-01-04,415.918,455.936
2015-01-05,408.01,455.639
2015-01-06,404.051,457.3734
2015-01-07,406.058,455.1824
2015-01-08,413.842,454.7009
2015-01-09,411.688,456.3424
2015-01-10,411.688,456.3424
2015-01-11,411.688,456.3424
2015-01-12,409.874,456.9791
2015-01-13,410.394,457.1202
2015-01-14,407.404,459.2567
2015-01-15,406.951,458.1975
2015-01-16,409.62,456.6238
2015-01-17,409.62,456.6238
2015-01-18,409.62,456.6238
2015-01-19,410.872,458.3619
2015-01-20,411.825,457.2412
2015-01-21,414.656,456.9202
2015-01-22,418.52,454.5694
2015-01-23,418.255,454.1833
2015-01-24,418.255,454.1833
2015-01-25,418.255,454.1833
2015-01-26,419.21,453.6292
2015-01-27,417.738,456.0836
2015-01-28,413.918,455.9706
2015-01-29,414.41,454.9329
2015-01-30,410.328,455.8092
2015-01-31,410.328,455.8092
2015-02-01,410.328,455.8092
2015-02-02,414.105,456.7804
2015-02-03,419.243,456.5171
2015-02-04,419.418,455.9785
2015-02-05,422.185,456.3415
2015-02-06,420.502,453.0467
2015-02-07,420.502,453.0467
2015-02-08,420.502,453.0467
2015-02-09,418.861,452.9493
2015-02-10,421.129,451.4557
2015-02-11,419.946,450.3554
2015-02-12,424.691,452.5661
2015-02-13,427.786,452.9675
2015-02-14,427.786,452.9675
2015-02-15,427.786,452.9675
2015-02-16,427.83,452.7181
2015-02-17,428.199,451.3523
2015-02-18,429.212,451.409
2015-02-19,429.602,451.6786
2015-02-20,431.166,451.575
2015-02-21,431.166,451.575
2015-02-22,431.166,451.575
2015-02-23,431.618,452.1333
2015-02-24,432.817,452.7851
2015-02-25,433.463,454.2561
2015-02-26,432.881,452.0495
2015-02-27,432.474,452.1183
2015-02-28,432.474,452.1183
2015-03-01,432.474,452.1183
2015-03-02,433.21,450.2848
2015-03-03,431.351,449.7471
2015-03-04,429.226,448.0189
2015-03-05,429.769,447.6152
2015-03-06,424.861,443.2629
2015-03-07,424.861,443.2629
2015-03-08,424.861,443.2629
2015-03-09,424.286,443.5955
2015-03-10,417.179,442.9397
2015-03-11,416.763,441.7809
2015-03-12,420.91,442.8786
2015-03-13,418.58,441.1022
2015-03-14,418.58,441.1022
2015-03-15,418.58,441.1022
2015-03-16,423.058,442.0288
2015-03-17,422.688,442.2709
2015-03-18,426.855,444.5856
2015-03-19,426.618,445.0231
2015-03-20,431.908,448.3908
2015-03-21,431.908,448.3908
2015-03-22,431.908,448.3908
2015-03-23,432.925,450.3513
2015-03-24,431.833,450.3993
2015-03-25,428.254,451.4327
2015-03-26,425.103,449.6975
2015-03-27,424.888,449.6165
2015-03-28,424.888,449.6165
2015-03-29,424.888,449.6165
2015-03-30,428.107,448.1121
2015-03-31,424.758,447.7604
2015-04-01,424.555,449.0041
2015-04-02,427.453,450.0479
2015-04-03,427.718,450.5219
2015-04-04,427.718,450.5219
2015-04-05,427.718,450.5219
2015-04-06,431.353,450.7975
2015-04-07,431.317,449.9592
2015-04-08,432.469,449.7084
2015-04-09,433.997,447.1469
2015-04-10,435.931,446.6646
2015-04-11,435.931,446.6646
2015-04-12,435.931,446.6646
2015-04-13,434.628,445.9818
2015-04-14,436.113,449.3174
2015-04-15,436.979,448.3932
2015-04-16,438.287,449.9746
2015-04-17,434.011,451.2727
2015-04-18,434.011,451.2727
2015-04-19,434.011,451.2727
2015-04-20,435.818,450.4742
2015-04-21,436.82,449.8053
2015-04-22,438.118,448.6813
2015-04-23,439.614,449.9486
2015-04-24,441.565,451.7679
2015-04-25,441.565,451.7679
2015-04-26,441.565,451.7679
2015-04-27,442.17,451.995
2015-04-28,442.631,453.1484
2015-04-29,440.648,453.501
2015-04-30,436.296,452.5223
2015-05-01,438.183,451.1086
2015-05-02,438.183,451.1086
2015-05-03,438.183,451.1086
2015-05-04,439.032,450.8621
2015-05-05,435.213,448.8439
2015-05-06,434.744,450.0579
2015-05-07,433.257,449.0465
2015-05-08,439.276,450.1226
2015-05-09,439.276,450.1226
2015-05-10,439.276,450.1226
2015-05-11,438.099,448.0756
2015-05-12,436.868,448.2983
2015-05-13,438.193,449.8982
2015-05-14,441.22,450.5915
2015-05-15,442.362,453.1458
2015-05-16,442.362,453.1458
2015-05-17,442.362,453.1458
2015-05-18,442.615,450.7386
2015-05-19,441.517,446.9813
2015-05-20,441.35,446.311
2015-05-21,442.701,447.2028
2015-05-22,441.322,445.3766
2015-05-23,441.322,445.3766
2015-05-24,441.322,445.3766
2015-05-25,441.287,445.3592
2015-05-26,435.927,443.5974
2015-05-27,438.316,443.0056
2015-05-28,437.387,443.1552
2015-05-29,434.515,444.4316
2015-05-30,434.515,444.4316
2015-05-31,434.515,444.4316
2015-06-01,434.232,442.0189
2015-06-02,434.986,443.2151
2015-06-03,436.44,442.4974
2015-06-04,432.925,442.9268
2015-06-05,429.378,438.8867
2015-06-06,429.378,438.8867
2015-06-07,429.378,438.8867
2015-06-08,427.35,440.04
2015-06-09,426.952,440.5017
2015-06-10,432.731,441.561
2015-06-11,433.279,441.6343
2015-06-12,431.379,442.6189
2015-06-13,431.379,442.6189
2015-06-14,431.379,442.6189
2015-06-15,428.111,442.0653
2015-06-16,429.311,442.4678
2015-06-17,429.155,442.2161
2015-06-18,433.573,445.332
2015-06-19,432.181,445.6279
2015-06-20,432.181,445.6279
2015-06-21,432.181,445.6279
2015-06-22,437.401,444.823
2015-06-23,437.527,441.4296
2015-06-24,435.407,441.4628
2015-06-25,434.25,441.641
2015-06-26,432.752,439.7314
2015-06-27,432.752,439.7314
2015-06-28,432.752,439.7314
2015-06-29,423.349,442.1379
2015-06-30,423.509,442.485
2015-07-01,426.015,440.3397
2015-07-02,426.011,440.0089
2015-07-03,425.079,440.6946
2015-07-04,425.079,440.6946
2015-07-05,425.079,440.6946
2015-07-06,420.843,441.423
2015-07-07,419.239,441.1482
2015-07-08,414.109,443.443
2015-07-09,417.124,441.9061
2015-07-10,423.367,440.8993
2015-07-11,423.367,440.8993
2015-07-12,423.367,440.8993
2015-07-13,427.188,438.7611
2015-07-14,429.425,439.2163
2015-07-15,429.013,439.2779
2015-07-16,432.192,438.7952
2015-07-17,431.955,438.8739
2015-07-18,431.955,438.8739
2015-07-19,431.955,438.8739
2015-07-20,431.963,438.6191
2015-07-21,431.222,439.7507
2015-07-22,428.371,439.7815
2015-07-23,427.183,440.9076
2015-07-24,422.802,441.3035
2015-07-25,422.802,441.3035
2015-07-26,422.802,441.3035
2015-07-27,419.379,443.5573
2015-07-28,422.254,442.4552
2015-07-29,425.639,442.1868
2015-07-30,425.156,440.8875
2015-07-31,426.781,443.4764
2015-08-01,426.781,443.4764
2015-08-02,426.781,443.4764
2015-08-03,425.315,443.0376
2015-08-04,424.915,442.4568
2015-08-05,425.709,439.3377
2015-08-06,423.186,440.2211
2015-08-07,422.029,441.7091
2015-08-08,422.029,441.7091
2015-08-09,422.029,441.7091
2015-08-10,426.354,441.4586
2015-08-11,422.214,443.3757
2015-08-12,419.874,445.9009
2015-08-13,419.802,443.8559
2015-08-14,420.293,443.545
2015-08-15,420.293,443.545
2015-08-16,420.293,443.545
2015-08-17,421.002,443.6572
2015-08-18,419.633,442.6917
2015-08-19,415.312,443.5281
2015-08-20,408.567,446.1812
2015-08-21,397.645,448.2398
2015-08-22,397.645,448.2398
2015-08-23,397.645,448.2398
2015-08-24,382.361,453.1948
2015-08-25,381.909,448.1979
2015-08-26,388.964,447.8501
2015-08-27,397.584,444.8871
2015-08-28,399.561,444.7786
2015-08-29,399.561,444.7786
2015-08-30,399.561,444.7786
2015-08-31,396.733,443.9924
2015-09-01,386.167,445.3833
2015-09-02,389.22,444.428
2015-09-03,391.029,443.7037
2015-09-04,384.494,445.2765
2015-09-05,384.494,445.2765
2015-09-06,384.494,445.2765
2015-09-07,384.647,445.5924
2015-09-08,391.423,445.4051
2015-09-09,392.544,444.7601
2015-09-10,391.69,445.1648
2015-09-11,391.957,446.4522
2015-09-12,391.957,446.4522
2015-09-13,391.957,446.4522
2015-09-14,390.737,446.8631
2015-09-15,393.688,444.8695
2015-09-16,398.746,445.0309
2015-09-17,398.767,446.0245
2015-09-18,394.043,449.5957
2015-09-19,394.043,449.5957
2015-09-20,394.043,449.5957
2015-09-21,392.994,445.7496
2015-09-22,386.512,446.3604
2015-09-23,384.851,445.5638
2015-09-24,382.543,448.0724
2015-09-25,384.3,444.796
2015-09-26,384.3,444.796
2015-09-27,384.3,444.796
2015-09-28,376.395,446.3627
2015-09-29,374.058,446.6875
2015-09-30,381.651,446.2552
2015-10-01,383.232,447.5359
2015-10-02,387.706,449.6078
2015-10-03,387.706,449.6078
2015-10-04,387.706,449.6078
2015-10-05,395.123,447.6491
2015-10-06,396.23,448.5671
2015-10-07,399.982,448.697
2015-10-08,402.071,448.7924
2015-10-09,404.805,449.6643
2015-10-10,404.805,449.6643
2015-10-11,404.805,449.6643
2015-10-12,405.214,450.5581
2015-10-13,401.802,450.5264
2015-10-14,399.819,453.1285
2015-10-15,405.492,452.8863
2015-10-16,407.214,452.3971
2015-10-17,407.214,452.3971
2015-10-18,407.214,452.3971
2015-10-19,406.514,451.3406
2015-10-20,405.862,450.5707
2015-10-21,404.598,451.3023
2015-10-22,408.141,449.748
2015-10-23,412.392,447.393
2015-10-24,412.392,447.393
2015-10-25,412.392,447.393
2015-10-26,411.994,448.1727
2015-10-27,409.858,449.1101
2015-10-28,413.644,448.6353
2015-10-29,411.345,445.3036
2015-10-30,411.249,447.1977
2015-10-31,411.249,447.1977
2015-11-01,411.249,447.1977
2015-11-02,413.403,446.4293
2015-11-03,414.378,444.8367
2015-11-04,413.954,443.233
2015-11-05,413.093,442.7575
2015-11-06,411.157,438.4448
2015-11-07,411.157,438.4448
2015-11-08,411.157,438.4448
2015-11-09,407.955,438.0615
2015-11-10,407.243,438.328
2015-11-11,407.54,439.1989
2015-11-12,403.115,439.4896
2015-11-13,398.779,439.881
2015-11-14,398.779,439.881
2015-11-15,398.779,439.881
2015-11-16,401.283,439.8074
2015-11-17,403.668,439.1658
2015-11-18,406.977,439.2563
2015-11-19,409.607,441.64
2015-11-20,410.398,440.8385
2015-11-21,410.398,440.8385
2015-11-22,410.398,440.8385
2015-11-23,409.082,439.7447
2015-11-24,408.597,440.481
2015-11-25,408.967,440.2298
2015-11-26,410.367,440.8312
2015-11-27,409.045,440.4061
2015-11-28,409.045,440.4061
2015-11-29,409.045,440.4061
2015-11-30,407.197,439.7938
2015-12-01,411.151,441.4382
2015-12-02,407.956,440.5021
2015-12-03,403.928,440.7691
2015-12-04,407.183,441.7214
2015-12-05,407.183,441.7214
2015-12-06,407.183,441.7214
2015-12-07,405.186,442.2741
2015-12-08,401.138,442.3315
2015-12-09,399.758,444.1111
2015-12-10,399.35,443.9336
2015-12-11,392.947,445.636
2015-12-12,392.947,445.636
2015-12-13,392.947,445.636
2015-12-14,391.63,444.7047
2015-12-15,395.155,441.8594
2015-12-16,400.467,441.6826
2015-12-17,397.933,440.8028
2015-12-18,392.845,442.5603
2015-12-19,392.845,442.5603
2015-12-20,392.845,442.5603
2015-12-21,394.048,443.5199
2015-12-22,396.645,443.2502
2015-12-23,401.689,441.8495
2015-12-24,402.274,443.5545
2015-12-25,402.134,443.5551
2015-12-26,402.134,443.5551
2015-12-27,402.134,443.5551
2015-12-28,401.31,443.7965
2015-12-29,404.585,442.2482
2015-12-30,402.192,442.2603
2015-12-31,399.362,442.1315
2016-01-01,399.366,442.1315
2016-01-02,399.366,442.1315
2016-01-03,399.366,442.1315
2016-01-04,391.159,442.5053
2016-01-05,391.14,441.7777
2016-01-06,386.277,443.1985
2016-01-07,377.915,444.1226
2016-01-08,374.751,445.4619
2016-01-09,374.751,445.4619
2016-01-10,374.751,445.4619
2016-01-11,373.099,444.6592
2016-01-12,373.979,444.2314
2016-01-13,370.512,444.9954
2016-01-14,371.237,444.0124
2016-01-15,364.472,446.4516
2016-01-16,364.472,446.4516
2016-01-17,364.472,446.4516
2016-01-18,362.683,445.1871
2016-01-19,364.613,444.8395
2016-01-20,357.322,446.0996
2016-01-21,358.449,444.7128
2016-01-22,367.97,444.4301
2016-01-23,367.97,444.4301
2016-01-24,367.97,444.4301
2016-01-25,364.838,444.6298
2016-01-26,367.633,445.5497
2016-01-27,367.052,445.6542
2016-01-28,367.639,447.0129
2016-01-29,375.017,445.963
2016-01-30,375.017,445.963
2016-01-31,375.017,445.963
2016-02-01,375.986,446.6552
2016-02-02,369.307,447.9332
2016-02-03,369.386,451.8201
2016-02-04,371.989,453.9299
2016-02-05,366.57,453.4724
2016-02-06,366.57,453.4724
2016-02-07,366.57,453.4724
2016-02-08,360.807,455.3207
2016-02-09,358.431,458.0113
2016-02-10,358.078,456.927
2016-02-11,353.352,460.882
2016-02-12,357.073,457.227
2016-02-13,357.073,457.227
2016-02-14,357.073,457.227
2016-02-15,361.631,455.0834
2016-02-16,365.32,455.3122
2016-02-17,370.824,454.7666
2016-02-18,371.153,456.254
2016-02-19,369.74,456.7666
2016-02-20,369.74,456.7666
2016-02-21,369.74,456.7666
2016-02-22,374.458,456.2278
2016-02-23,370.474,456.8717
2016-02-24,368.769,457.7168
2016-02-25,372.88,457.6641
2016-02-26,373.232,454.8253
2016-02-27,373.232,454.8253
2016-02-28,373.232,454.8253
2016-02-29,371.662,455.8935
2016-03-01,378.379,454.6309
2016-03-02,381.936,454.0442
2016-03-03,384.683,456.3111
2016-03-04,387.33,456.6786
2016-03-05,387.33,456.6786
2016-03-06,387.33,456.6786
2016-03-07,387.447,456.9777
2016-03-08,384.072,460.2253
2016-03-09,385.096,457.7382
2016-03-10,384.944,458.2869
2016-03-11,391.747,458.8468
2016-03-12,391.747,458.8468
2016-03-13,391.747,458.8468
2016-03-14,392.16,458.9566
2016-03-15,389.728,458.8561
2016-03-16,390.254,458.4457
2016-03-17,396.177,465.4957
2016-03-18,397.214,466.2576
2016-03-19,397.214,466.2576
2016-03-20,397.214,466.2576
2016-03-21,396.916,465.0435
2016-03-22,396.965,464.4123
2016-03-23,393.866,463.4174
2016-03-24,391.507,462.6797
2016-03-25,391.77,462.74
2016-03-26,391.77,462.74
2016-03-27,391.77,462.74
2016-03-28,392.655,462.6506
2016-03-29,394.529,464.1674
2016-03-30,399.152,467.4253
2016-03-31,398.255,468.2131
2016-04-01,396.009,467.4492
2016-04-02,396.009,467.4492
2016-04-03,396.009,467.4492
2016-04-04,396.168,469.345
2016-04-05,390.677,469.9443
2016-04-06,393.714,469.7421
2016-04-07,391.177,472.1345
2016-04-08,393.83,472.1428
2016-04-09,393.83,472.1428
2016-04-10,393.83,472.1428
2016-04-11,394.167,473.423
2016-04-12,397.121,471.367
2016-04-13,402.528,470.4347
2016-04-14,403.849,469.8001
2016-04-15,403.585,471.2235
2016-04-16,403.585,471.2235
2016-04-17,403.585,471.2235
2016-04-18,404.492,471.5339
2016-04-19,408.748,472.1048
2016-04-20,409.052,471.6571
2016-04-21,408.26,469.9721
2016-04-22,406.919,467.6254
2016-04-23,406.919,467.6254
2016-04-24,406.919,467.6254
2016-04-25,405.869,467.7127
2016-04-26,406.681,468.0046
2016-04-27,406.771,468.2286
2016-04-28,404.947,471.4193
2016-04-29,403.34,474.4409
2016-04-30,403.34,474.4409
2016-05-01,403.34,474.4409
2016-05-02,404.165,474.6457
2016-05-03,399.774,476.3753
2016-05-04,396.232,475.0912
2016-05-05,395.416,474.2688
2016-05-06,395.656,474.898
2016-05-07,395.656,474.898
2016-05-08,395.656,474.898
2016-05-09,395.376,473.2772
2016-05-10,399.88,472.8771
2016-05-11,397.994,474.0595
2016-05-12,397.178,473.1778
2016-05-13,393.627,471.7784
2016-05-14,393.627,471.7784
2016-05-15,393.627,471.7784
2016-05-16,396.419,471.8584
2016-05-17,395.136,472.1391
2016-05-18,394.67,469.4317
2016-05-19,391.132,468.199
2016-05-20,393.954,467.9001
2016-05-21,393.954,467.9001
2016-05-22,393.954,467.9001
2016-05-23,393.212,468.4403
2016-05-24,397.232,467.9766
2016-05-25,400.949,468.0531
2016-05-26,401.813,469.857
2016-05-27,402.932,468.8837
2016-05-28,402.932,468.8837
2016-05-29,402.932,468.8837
2016-05-30,403.067,467.7988
2016-05-31,402.574,468.0762
2016-06-01,402.183,469.3842
2016-06-02,402.487,470.5515
2016-06-03,403.869,475.8629
2016-06-04,403.869,475.8629
2016-06-05,403.869,475.8629
2016-06-06,405.914,475.8285
2016-06-07,408.257,476.6699
2016-06-08,409.663,478.0278
2016-06-09,407.096,477.8736
2016-06-10,401.366,477.4577
2016-06-11,401.366,477.4577
2016-06-12,401.366,477.4577
2016-06-13,396.411,477.843
2016-06-14,392.806,476.8624
2016-06-15,393.788,477.9008
2016-06-16,392.14,478.5634
2016-06-17,394.116,478.8214
2016-06-18,394.116,478.8214
2016-06-19,394.116,478.8214
2016-06-20,400.998,480.0727
2016-06-21,402.213,478.8859
2016-06-22,402.223,478.9683
2016-06-23,407.686,478.9164
2016-06-24,388.265,479.3002
2016-06-25,388.265,479.3002
2016-06-26,388.265,479.3002
2016-06-27,379.692,478.9731
2016-06-28,386.143,480.0509
2016-06-29,394.603,481.6349
2016-06-30,399.29,481.7451
2016-07-01,401.069,483.0124
2016-07-02,401.069,483.0124
2016-07-03,401.069,483.0124
2016-07-04,401.412,483.4769
2016-07-05,397.507,484.8606
2016-07-06,395.842,484.5308
2016-07-07,396.923,484.9061
2016-07-08,400.99,485.2697
2016-07-09,400.99,485.2697
2016-07-10,400.99,485.2697
2016-07-11,404.879,483.1448
2016-07-12,408.391,481.073
2016-07-13,409.303,482.8286
2016-07-14,411.696,481.2456
2016-07-15,411.218,478.8678
2016-07-16,411.218,478.8678
2016-07-17,411.218,478.8678
2016-07-18,412.06,479.0524
2016-07-19,410.833,477.9747
2016-07-20,412.824,477.3424
2016-07-21,412.431,477.4692
2016-07-22,412.675,477.0661
2016-07-23,412.675,477.0661
2016-07-24,412.675,477.0661
2016-07-25,412.01,477.3512
2016-07-26,412.536,478.6737
2016-07-27,412.78,479.1191
2016-07-28,413.121,481.1262
2016-07-29,416.088,485.3764
2016-07-30,416.088,485.3764
2016-07-31,416.088,485.3764
2016-08-01,415.653,484.3329
2016-08-02,412.953,485.0106
2016-08-03,411.855,483.9898
2016-08-04,413.17,484.7597
2016-08-05,415.582,482.4602
2016-08-06,415.582,482.4602
2016-08-07,415.582,482.4602
2016-08-08,416.79,481.9862
2016-08-09,418.865,483.9428
2016-08-10,418.802,486.4904
2016-08-11,420.832,485.8817
2016-08-12,421.021,486.8019
2016-08-13,421.021,486.8019
2016-08-14,421.021,486.8019
2016-08-15,422.03,486.2033
2016-08-16,420.182,487.0466
2016-08-17,420.036,487.5543
2016-08-18,421.495,489.384
2016-08-19,420.115,488.158
2016-08-20,420.115,488.158
2016-08-21,420.115,488.158
2016-08-22,419.971,488.8357
2016-08-23,421.371,489.499
2016-08-24,419.285,487.9986
2016-08-25,418.516,488.0774
2016-08-26,418.418,487.7594
2016-08-27,418.418,487.7594
2016-08-28,418.418,487.7594
2016-08-29,418.036,486.6115
2016-08-30,417.767,484.0945
2016-08-31,416.613,483.0188
2016-09-01,417.351,483.8085
2016-09-02,420.17,481.9552
2016-09-03,420.17,481.9552
2016-09-04,420.17,481.9552
2016-09-05,421.278,482.7748
2016-09-06,423.816,486.5722
2016-09-07,424.289,487.6553
2016-09-08,423.696,486.1385
2016-09-09,414.904,482.1501
2016-09-10,414.904,482.1501
2016-09-11,414.904,482.1501
2016-09-12,415.583,482.4663
2016-09-13,410.891,481.3124
2016-09-14,410.35,481.3302
2016-09-15,413.203,481.4378
2016-09-16,411.183,480.5155
2016-09-17,411.183,480.5155
2016-09-18,411.183,480.5155
2016-09-19,413.263,481.2744
2016-09-20,413.354,481.7356
2016-09-21,417.687,482.3622
2016-09-22,422.533,485.6533
2016-09-23,420.017,485.092
2016-09-24,420.017,485.092
2016-09-25,420.017,485.092
2016-09-26,416.202,486.6511
2016-09-27,417.574,486.6034
2016-09-28,418.869,486.3677
2016-09-29,417.665,485.9602
2016-09-30,418.434,485.6783
2016-10-01,418.434,485.6783
2016-10-02,418.434,485.6783
2016-10-03,418.234,484.6308
2016-10-04,417.356,481.8406
2016-10-05,418.055,480.3803
2016-10-06,417.554,478.9593
2016-10-07,416.145,479.0482
2016-10-08,416.145,479.0482
2016-10-09,416.145,479.0482
