,MSEUACWF INDEX,LEGATRUU INDEX
,PX_LAST,PX_LAST
date,,
23/6/2015,437.527,441.4296
24/6/2015,435.407,441.4628
25/6/2015,434.25,441.641
26/6/2015,432.752,439.7314
27/6/2015,432.752,439.7314
28/6/2015,432.752,439.7314
29/6/2015,423.349,442.1379
30/6/2015,423.509,442.485
1/7/2015,426.015,440.3397
2/7/2015,426.011,440.0089
3/7/2015,425.079,440.6946
4/7/2015,425.079,440.6946
5/7/2015,425.079,440.6946
6/7/2015,420.843,441.423
7/7/2015,419.239,441.1482
8/7/2015,414.109,443.443
9/7/2015,417.124,441.9061
10/7/2015,423.367,440.8993
11/7/2015,423.367,440.8993
12/7/2015,423.367,440.8993
13/7/2015,427.188,438.7611
14/7/2015,429.425,439.2163
15/7/2015,429.013,439.2779
16/7/2015,432.192,438.7952
17/7/2015,431.955,438.8739
18/7/2015,431.955,438.8739
19/7/2015,431.955,438.8739
20/7/2015,431.963,438.6191
21/7/2015,431.222,439.7507
22/7/2015,428.371,439.7815
23/7/2015,427.183,440.9076
24/7/2015,422.802,441.3035
25/7/2015,422.802,441.3035
26/7/2015,422.802,441.3035
27/7/2015,419.379,443.5573
28/7/2015,422.254,442.4552
29/7/2015,425.639,442.1868
30/7/2015,425.156,440.8875
31/7/2015,426.781,443.4764
1/8/2015,426.781,443.4764
2/8/2015,426.781,443.4764
3/8/2015,425.315,443.0376
4/8/2015,424.915,442.4568
5/8/2015,425.709,439.3377
6/8/2015,423.186,440.2211
7/8/2015,422.029,441.7091
8/8/2015,422.029,441.7091
9/8/2015,422.029,441.7091
10/8/2015,426.354,441.4586
11/8/2015,422.214,443.3757
12/8/2015,419.874,445.9009
13/8/2015,419.802,443.8559
14/8/2015,420.293,443.545
15/8/2015,420.293,443.545
16/8/2015,420.293,443.545
17/8/2015,421.002,443.6572
18/8/2015,419.633,442.6917
19/8/2015,415.312,443.5281
20/8/2015,408.567,446.1812
21/8/2015,397.645,448.2398
22/8/2015,397.645,448.2398
23/8/2015,397.645,448.2398
24/8/2015,382.361,453.1948
25/8/2015,381.909,448.1979
26/8/2015,388.964,447.8501
27/8/2015,397.584,444.8871
28/8/2015,399.561,444.7786
29/8/2015,399.561,444.7786
30/8/2015,399.561,444.7786
31/8/2015,396.733,443.9924
1/9/2015,386.167,445.3833
2/9/2015,389.22,444.428
3/9/2015,391.029,443.7037
4/9/2015,384.494,445.2765
5/9/2015,384.494,445.2765
6/9/2015,384.494,445.2765
7/9/2015,384.647,445.5924
8/9/2015,391.423,445.4051
9/9/2015,392.544,444.7601
10/9/2015,391.69,445.1648
11/9/2015,391.957,446.4522
12/9/2015,391.957,446.4522
13/9/2015,391.957,446.4522
14/9/2015,390.737,446.8631
15/9/2015,393.688,444.8695
16/9/2015,398.746,445.0309
17/9/2015,398.767,446.0245
18/9/2015,394.043,449.5957
19/9/2015,394.043,449.5957
20/9/2015,394.043,449.5957
21/9/2015,392.994,445.7496
22/9/2015,386.512,446.3604
23/9/2015,384.851,445.5638
24/9/2015,382.543,448.0724
25/9/2015,384.3,444.796
26/9/2015,384.3,444.796
27/9/2015,384.3,444.796
28/9/2015,376.395,446.3627
29/9/2015,374.058,446.6875
30/9/2015,381.651,446.2552
1/10/2015,383.232,447.5359
2/10/2015,387.706,449.6078
3/10/2015,387.706,449.6078
4/10/2015,387.706,449.6078
5/10/2015,395.123,447.6491
6/10/2015,396.23,448.5671
7/10/2015,399.982,448.697
8/10/2015,402.071,448.7924
9/10/2015,404.805,449.6643
10/10/2015,404.805,449.6643
11/10/2015,404.805,449.6643
12/10/2015,405.214,450.5581
13/10/2015,401.802,450.5264
14/10/2015,399.819,453.1285
15/10/2015,405.492,452.8863
16/10/2015,407.214,452.3971
17/10/2015,407.214,452.3971
18/10/2015,407.214,452.3971
19/10/2015,406.514,451.3406
20/10/2015,405.862,450.5707
21/10/2015,404.598,451.3023
22/10/2015,408.141,449.748
23/10/2015,412.392,447.393
24/10/2015,412.392,447.393
25/10/2015,412.392,447.393
26/10/2015,411.994,448.1727
27/10/2015,409.858,449.1101
28/10/2015,413.644,448.6353
29/10/2015,411.345,445.3036
30/10/2015,411.249,447.1977
31/10/2015,411.249,447.1977
1/11/2015,411.249,447.1977
2/11/2015,413.403,446.4293
3/11/2015,414.378,444.8367
4/11/2015,413.954,443.233
5/11/2015,413.093,442.7575
6/11/2015,411.157,438.4448
7/11/2015,411.157,438.4448
8/11/2015,411.157,438.4448
9/11/2015,407.955,438.0615
10/11/2015,407.243,438.328
11/11/2015,407.54,439.1989
12/11/2015,403.115,439.4896
13/11/2015,398.779,439.881
14/11/2015,398.779,439.881
15/11/2015,398.779,439.881
16/11/2015,401.283,439.8074
17/11/2015,403.668,439.1658
18/11/2015,406.977,439.2563
19/11/2015,409.607,441.64
20/11/2015,410.398,440.8385
21/11/2015,410.398,440.8385
22/11/2015,410.398,440.8385
23/11/2015,409.082,439.7447
24/11/2015,408.597,440.481
25/11/2015,408.967,440.2298
26/11/2015,410.367,440.8312
27/11/2015,409.045,440.4061
28/11/2015,409.045,440.4061
29/11/2015,409.045,440.4061
30/11/2015,407.197,439.7938
1/12/2015,411.151,441.4382
2/12/2015,407.956,440.5021
3/12/2015,403.928,440.7691
4/12/2015,407.183,441.7214
5/12/2015,407.183,441.7214
6/12/2015,407.183,441.7214
7/12/2015,405.186,442.2741
8/12/2015,401.138,442.3315
9/12/2015,399.758,444.1111
10/12/2015,399.35,443.9336
11/12/2015,392.947,445.636
12/12/2015,392.947,445.636
13/12/2015,392.947,445.636
14/12/2015,391.63,444.7047
15/12/2015,395.155,441.8594
16/12/2015,400.467,441.6826
17/12/2015,397.933,440.8028
18/12/2015,392.845,442.5603
19/12/2015,392.845,442.5603
20/12/2015,392.845,442.5603
21/12/2015,394.048,443.5199
22/12/2015,396.645,443.2502
23/12/2015,401.689,441.8495
24/12/2015,402.274,443.5545
25/12/2015,402.134,443.5551
26/12/2015,402.134,443.5551
27/12/2015,402.134,443.5551
28/12/2015,401.31,443.7965
29/12/2015,404.585,442.2482
30/12/2015,402.192,442.2603
31/12/2015,399.362,442.1315
1/1/2016,399.366,442.1315
2/1/2016,399.366,442.1315
3/1/2016,399.366,442.1315
4/1/2016,391.159,442.5053
5/1/2016,391.14,441.7777
6/1/2016,386.277,443.1985
7/1/2016,377.915,444.1226
8/1/2016,374.751,445.4619
9/1/2016,374.751,445.4619
10/1/2016,374.751,445.4619
11/1/2016,373.099,444.6592
12/1/2016,373.979,444.2314
13/1/2016,370.512,444.9954
14/1/2016,371.237,444.0124
15/1/2016,364.472,446.4516
16/1/2016,364.472,446.4516
17/1/2016,364.472,446.4516
18/1/2016,362.683,445.1871
19/1/2016,364.613,444.8395
20/1/2016,357.322,446.0996
21/1/2016,358.449,444.7128
22/1/2016,367.97,444.4301
23/1/2016,367.97,444.4301
24/1/2016,367.97,444.4301
25/1/2016,364.838,444.6298
26/1/2016,367.633,445.5497
27/1/2016,367.052,445.6542
28/1/2016,367.639,447.0129
29/1/2016,375.017,445.963
30/1/2016,375.017,445.963
31/1/2016,375.017,445.963
1/2/2016,375.986,446.6552
2/2/2016,369.307,447.9332
3/2/2016,369.386,451.8201
4/2/2016,371.989,453.9299
5/2/2016,366.57,453.4724
6/2/2016,366.57,453.4724
7/2/2016,366.57,453.4724
8/2/2016,360.807,455.3207
9/2/2016,358.431,458.0113
10/2/2016,358.078,456.927
11/2/2016,353.352,460.882
12/2/2016,357.073,457.227
13/2/2016,357.073,457.227
14/2/2016,357.073,457.227
15/2/2016,361.631,455.0834
16/2/2016,365.32,455.3122
17/2/2016,370.824,454.7666
18/2/2016,371.153,456.254
