iuid,weight,currency
HK_10_3101,0.1695,HKD
HK_10_3081,0.038,HKD
HK_10_3115,0.0763,HKD
HK_10_3010,0.0827,HKD
HK_10_3169,0.099,HKD
HK_10_3147,0.0675,HKD
HK_10_2813,0.0561,HKD
HK_10_3141,0.1059,HKD
HK_10_3140,0.305,HKD
HC_10_60000,
