datetime,US_Growth
2009-12-31,0.0
2010-01-01,-0.0030000000000000027
2010-01-02,-0.0030000000000000027
2010-01-03,-0.0030000000000000027
2010-01-04,0.0178189297461131
2010-01-05,0.019766111760652905
2010-01-06,0.02024942161860399
2010-01-07,0.01933134163223227
2010-01-08,0.015972792409373326
2010-01-09,0.015972792409373326
2010-01-10,0.015972792409373326
2010-01-11,0.014512331451925764
2010-01-12,0.000710355089528214
2010-01-13,0.011491550929737304
2010-01-14,0.011659029205027371
2010-01-15,0.0017758480792877673
2010-01-16,0.0017758480792877673
2010-01-17,0.0017758480792877673
2010-01-18,0.0017758480792877673
2010-01-19,0.01535902822632762
2010-01-20,0.007625863449917114
2010-01-21,-0.009080890564549748
2010-01-22,-0.02615709816049261
2010-01-23,-0.02615709816049261
2010-01-24,-0.02615709816049261
2010-01-25,-0.02256235959081898
2010-01-26,-0.026589333908416002
2010-01-27,-0.023647074542257562
2010-01-28,-0.03718810046042087
2010-01-29,-0.05091396805713089
2010-01-30,-0.05091396805713089
2010-01-31,-0.05091396805713089
2010-02-01,-0.037407678323230664
2010-02-02,-0.028256969798406528
2010-02-03,-0.029487447073280326
2010-02-04,-0.06306346606370306
2010-02-05,-0.059927401741838415
2010-02-06,-0.059927401741838415
2010-02-07,-0.059927401741838415
2010-02-08,-0.06479700486549833
2010-02-09,-0.05187150082368619
2010-02-10,-0.049276859544809315
2010-02-11,-0.035125113418701615
2010-02-12,-0.029060257103316722
2010-02-13,-0.029060257103316722
2010-02-14,-0.029060257103316722
2010-02-15,-0.029060257103316722
2010-02-16,-0.0077646355642435605
2010-02-17,-0.0018099798496760133
2010-02-18,0.005091222823011998
2010-02-19,0.0043207906328530665
2010-02-20,0.0043207906328530665
2010-02-21,0.0043207906328530665
2010-02-22,0.0016853343466940451
2010-02-23,-0.00883421980665311
2010-02-24,-0.0038931293315421778
2010-02-25,-0.005530207726503922
2010-02-26,0.006326163064061641
2010-02-27,0.006326163064061641
2010-02-28,0.006326163064061641
2010-03-01,0.024828259928534324
2010-03-02,0.03345813991865376
2010-03-03,0.020929615139261948
2010-03-04,0.029226700454028087
2010-03-05,0.04205585939725709
2010-03-06,0.04205585939725709
2010-03-07,0.04205585939725709
2010-03-08,0.04677087708863259
2010-03-09,0.04691917961617498
2010-03-10,0.05300528554441253
2010-03-11,0.058482090485799665
2010-03-12,0.05746481617105115
2010-03-13,0.05746481617105115
2010-03-14,0.05746481617105115
2010-03-15,0.05702313993374375
2010-03-16,0.06385636860757082
2010-03-17,0.07189077780048625
2010-03-18,0.07045127718067556
2010-03-19,0.06250882590381934
2010-03-20,0.06250882590381934
2010-03-21,0.06250882590381934
2010-03-22,0.07294713123833785
2010-03-23,0.0764739001623369
2010-03-24,0.07113985212181007
2010-03-25,0.05858495384285978
2010-03-26,0.05254958080773808
2010-03-27,0.05254958080773808
2010-03-28,0.05254958080773808
2010-03-29,0.06259392154307952
2010-03-30,0.06145876909296755
2010-03-31,0.05315080744344325
2010-04-01,0.06336391605218994
2010-04-02,0.06336391605218994
2010-04-03,0.06336391605218994
2010-04-04,0.06336391605218994
2010-04-05,0.08156104695906463
2010-04-06,0.08786762626661981
2010-04-07,0.08362755461514726
2010-04-08,0.08337460693257404
2010-04-09,0.09303708912670561
2010-04-10,0.09303708912670561
2010-04-11,0.09303708912670561
2010-04-12,0.09080810440282194
2010-04-13,0.09170809610310449
2010-04-14,0.11329503703200139
2010-04-15,0.11390780653297172
2010-04-16,0.09767673545619315
2010-04-17,0.09767673545619315
2010-04-18,0.09767673545619315
2010-04-19,0.08375516708924602
2010-04-20,0.09579969161148627
2010-04-21,0.09427781004591651
2010-04-22,0.10205969378815682
2010-04-23,0.12135875549190644
2010-04-24,0.12135875549190644
2010-04-25,0.12135875549190644
2010-04-26,0.12113326796501656
2010-04-27,0.09130071635545267
2010-04-28,0.09042554009242121
2010-04-29,0.11097693922455765
2010-04-30,0.09016939764798693
2010-05-01,0.09016939764798693
2010-05-02,0.09016939764798693
2010-05-03,0.1060644539021014
2010-05-04,0.07295777954480953
2010-05-05,0.05895812105599041
2010-05-06,0.008788761314248772
2010-05-07,-0.015632625433613323
2010-05-08,-0.015632625433613323
2010-05-09,-0.015632625433613323
2010-05-10,0.03562626585212092
2010-05-11,0.039319426844701466
2010-05-12,0.06769982740036173
