,000016.SH,000905.SH,CBA00101.CS,CCFI.WI,CCCI.FMM,H11025.CSI,885009.WI
2000-12-31,,,,-0.1263605398523321,,,
2001-12-31,,,,-0.21363095639149887,,,
2002-12-31,,,,0.008115009691827879,,,
2003-12-31,,,0.017019222414242474,0.3197094009424879,,,
2004-12-31,,,0.004358276738706701,0.24987753099099375,,,0.019251099999999965
2005-12-31,-0.05497859333023225,,0.07201776199941579,0.6727827769739083,,0.02361447894491553,0.022729923960837617
2006-12-31,1.2668546803349083,1.0068408184334707,0.023760715863313076,0.33339631929052826,,0.01889150000000006,0.018997358642679707
2007-12-31,1.341285781863986,1.8662714509664884,0.0005796067975043506,-0.043748017948534,,0.033563730779970324,0.03331912412266447
2008-12-31,-0.6723458841721641,-0.6080055331844532,0.10450204638472038,-0.4880804849832028,,0.035558997703233564,0.035668455789698905
2009-12-31,0.844013418883772,1.3126630308961436,0.0014151943242604048,1.1270431701850407,0.17839788976815218,0.014152397155857699,0.014301205623716395
2010-12-31,-0.22571618764194534,0.10065447783905257,0.019594064583605686,0.18406547423641717,0.14750235626767205,0.018188742585918627,0.01742786387139028
2011-12-31,-0.18193546364203705,-0.3382696108101012,0.05074373516937358,-0.2279150545468842,-0.012422997946611947,0.03548760929449446,0.03311777922065873
2012-12-31,0.14840817921220983,0.0027810302209365645,0.03695223927432045,0.025170041720912417,-0.05302006445576457,0.039729578908451524,0.03734631080332118
2013-12-31,-0.1522861849188235,0.16888267508379462,-0.002931559127130834,-0.10700885507985403,-0.06279503787462948,0.03945587119229721,0.036364638567211616
2014-12-31,0.6393181020091048,0.3900706589753824,0.10341770275463458,-0.11082608587574516,-0.1642263090078483,0.045968529054681406,0.04118129629548606
2015-12-31,-0.06227465721400993,0.4311663185359951,0.08177648342720478,-0.1926380754295518,-0.12839943938332166,0.03621011425190024,0.02728590052789115
2016-12-31,-0.05531326658517299,-0.17775251785679358,0.018122768202667228,0.2460119575290034,0.2364079004706645,0.026107901923316357,0.018661306627279606
2017-12-31,0.25079290798401876,-0.0020443271705128385,0.0024418810346082953,0.06330679303092124,0.14779960099153855,0.038362289783308245,0.028559656879222572
2018-11-01,-0.1399347365295287,-0.3122529174449046,0.06369352920754912,0.041046177200651845,0.007582573225312972,0.032681463611626826,0.025605125421825248
