Date,000016.SH,000905.SH,CBA00101.CS,CCFI.WI,CCCI.FMM,H11025.CSI,885009.WI
2000-08-25,,,,481.7268,,,
2000-08-28,,,,482.9422,,,
2000-08-29,,,,484.0528,,,
2000-08-30,,,,493.0127,,,
2000-08-31,,,,491.8787,,,
2000-09-01,,,,493.3629,,,
2000-09-04,,,,493.5519,,,
2000-09-05,,,,497.3002,,,
2000-09-06,,,,495.3301,,,
2000-09-07,,,,493.5733,,,
2000-09-08,,,,493.593,,,
2000-09-11,,,,494.1794,,,
2000-09-12,,,,495.0621,,,
2000-09-13,,,,500.2395,,,
2000-09-14,,,,499.8739,,,
2000-09-15,,,,499.8477,,,
2000-09-18,,,,496.6148,,,
2000-09-19,,,,494.3841,,,
2000-09-20,,,,496.0433,,,
2000-09-21,,,,492.0557,,,
2000-09-22,,,,494.9867,,,
2000-09-25,,,,497.7131,,,
2000-09-26,,,,498.0264,,,
2000-09-27,,,,495.9295,,,
2000-09-28,,,,496.3843,,,
2000-09-29,,,,496.2518,,,
2000-10-09,,,,492.8492,,,
2000-10-10,,,,491.0181,,,
2000-10-11,,,,492.5651,,,
2000-10-12,,,,492.3106,,,
2000-10-13,,,,486.056,,,
2000-10-16,,,,488.0909,,,
2000-10-17,,,,487.4776,,,
2000-10-18,,,,482.8322,,,
2000-10-19,,,,483.3476,,,
2000-10-20,,,,483.8778,,,
2000-10-23,,,,479.4335,,,
2000-10-24,,,,479.5009,,,
2000-10-25,,,,478.7032,,,
2000-10-26,,,,471.2418,,,
2000-10-27,,,,466.6947,,,
2000-10-30,,,,470.4305,,,
2000-10-31,,,,469.1073,,,
2000-11-01,,,,470.4627,,,
2000-11-02,,,,468.9188,,,
2000-11-03,,,,468.695,,,
2000-11-06,,,,468.2791,,,
2000-11-07,,,,462.3894,,,
2000-11-08,,,,463.9391,,,
2000-11-09,,,,467.9563,,,
2000-11-10,,,,467.0707,,,
2000-11-13,,,,465.0165,,,
2000-11-14,,,,460.0785,,,
2000-11-15,,,,461.8284,,,
2000-11-16,,,,460.2756,,,
2000-11-17,,,,459.8636,,,
2000-11-20,,,,459.9459,,,
2000-11-21,,,,459.1466,,,
2000-11-22,,,,462.1785,,,
2000-11-23,,,,459.5414,,,
2000-11-24,,,,461.7979,,,
2000-11-27,,,,466.125,,,
2000-11-28,,,,468.501,,,
2000-11-29,,,,466.6992,,,
2000-11-30,,,,468.2312,,,
2000-12-01,,,,465.8351,,,
2000-12-04,,,,467.8957,,,
2000-12-05,,,,468.0493,,,
2000-12-06,,,,470.1428,,,
2000-12-07,,,,471.8273,,,
2000-12-08,,,,471.1149,,,
2000-12-11,,,,474.3797,,,
2000-12-12,,,,474.0701,,,
2000-12-13,,,,468.7476,,,
2000-12-14,,,,468.746,,,
2000-12-15,,,,469.4705,,,
2000-12-18,,,,463.0272,,,
2000-12-19,,,,462.0169,,,
2000-12-20,,,,458.0215,,,
2000-12-21,,,,459.2737,,,
2000-12-22,,,,458.391,,,
2000-12-25,,,,459.1785,,,
2000-12-26,,,,458.8894,,,
2000-12-27,,,,460.6589,,,
2000-12-28,,,,452.1435,,,
2000-12-29,,,,452.6755,,,
2001-01-02,,,,442.5734,,,
2001-01-03,,,,436.0675,,,
2001-01-04,,,,440.2777,,,
2001-01-05,,,,430.6158,,,
2001-01-08,,,,432.7029,,,
2001-01-09,,,,437.3885,,,
2001-01-10,,,,435.8396,,,
2001-01-11,,,,437.983,,,
2001-01-12,,,,436.2533,,,
2001-01-15,,,,436.9458,,,
2001-01-16,,,,434.5151,,,
2001-01-17,,,,429.0401,,,
2001-01-18,,,,434.4315,,,
2001-01-19,,,,443.0844,,,
2001-02-05,,,,437.2622,,,
2001-02-06,,,,431.5565,,,
2001-02-07,,,,431.0563,,,
2001-02-08,,,,430.3319,,,
2001-02-09,,,,436.025,,,
2001-02-12,,,,429.3957,,,
2001-02-13,,,,430.5103,,,
2001-02-14,,,,433.9143,,,
2001-02-15,,,,433.1316,,,
2001-02-16,,,,437.6931,,,
2001-02-19,,,,437.1605,,,
2001-02-20,,,,434.0229,,,
2001-02-21,,,,431.7392,,,
2001-02-22,,,,427.6733,,,
2001-02-23,,,,427.3268,,,
2001-02-26,,,,425.2111,,,
2001-02-27,,,,428.2416,,,
2001-02-28,,,,425.1944,,,
2001-03-01,,,,428.5018,,,
2001-03-02,,,,431.1598,,,
2001-03-05,,,,431.7626,,,
2001-03-06,,,,436.3472,,,
2001-03-07,,,,436.3157,,,
2001-03-08,,,,434.6372,,,
2001-03-09,,,,430.2741,,,
2001-03-12,,,,429.4271,,,
2001-03-13,,,,427.4343,,,
2001-03-14,,,,429.0997,,,
2001-03-15,,,,424.3726,,,
2001-03-16,,,,422.8845,,,
2001-03-19,,,,416.6418,,,
2001-03-20,,,,419.7003,,,
2001-03-21,,,,415.2575,,,
2001-03-22,,,,416.5069,,,
2001-03-23,,,,414.4738,,,
2001-03-26,,,,418.0486,,,
2001-03-27,,,,413.5906,,,
2001-03-28,,,,417.8244,,,
2001-03-29,,,,412.466,,,
2001-03-30,,,,412.5459,,,
2001-04-02,,,,410.4199,,,
2001-04-03,,,,410.0254,,,
2001-04-04,,,,410.0348,,,
2001-04-05,,,,411.7346,,,
2001-04-06,,,,412.7272,,,
