MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
105774,NDLVAT,MSCI Daily TR Net Value Austria Local,Standard,Value,Net,Local,
105774,NDUVAT,MSCI Daily TR Net Value Austria USD,Standard,Value,Net,USD,
105775,GDLGBE,MSCI Daily TR Gross Growth Belgium Local,Standard,Growth,Gross,Local,
105775,GDUGBE,MSCI Daily TR Gross Growth Belgium USD,Standard,Growth,Gross,USD,
105775,MGLDBE,MSCI Growth Belgium Local,Standard,Growth,Price,Local,
105775,MGUDBE,MSCI Growth Belgium USD,Standard,Growth,Price,USD,
105775,NDUGBE,MSCI Daily TR Net Growth Belgium USD,Standard,Growth,Net,USD,
105775,NLDGBE,MSCI Daily TR Net Growth Belgium Local,Standard,Growth,Net,Local,
105776,GDLVBE,MSCI Daily TR Gross Value Belgium Local,Standard,Value,Gross,Local,
105776,GDUVBE,MSCI Daily TR Gross Value Belgium USD,Standard,Value,Gross,USD,
105776,MVLDBE,MSCI Value Belgium Local,Standard,Value,Price,Local,
105776,MVUDBE,MSCI Value Belgium USD,Standard,Value,Price,USD,
105776,NDLVBE,MSCI Daily TR Net Value Belgium Local,Standard,Value,Net,Local,
105776,NDUVBE,MSCI Daily TR Net Value Belgium USD,Standard,Value,Net,USD,
105777,GDLGCA,MSCI Daily TR Gross Growth Canada Local,Standard,Growth,Gross,Local,
105777,GDUGCA,MSCI Daily TR Gross Growth Canada USD,Standard,Growth,Gross,USD,
105777,MGLDCA,MSCI Growth Canada Local,Standard,Growth,Price,Local,
105777,MGUDCA,MSCI Growth Canada USD,Standard,Growth,Price,USD,
105777,NDUGCA,MSCI Daily TR Net Growth Canada USD,Standard,Growth,Net,USD,
105777,NLDGCA,MSCI Daily TR Net Growth Canada Local,Standard,Growth,Net,Local,
105778,GDLVCA,MSCI Daily TR Gross Value Canada Local,Standard,Value,Gross,Local,
105778,GDUVCA,MSCI Daily TR Gross Value Canada USD,Standard,Value,Gross,USD,
105778,MVLDCA,MSCI Value Canada Local,Standard,Value,Price,Local,
105778,MVUDCA,MSCI Value Canada USD,Standard,Value,Price,USD,
105778,NDLVCA,MSCI Daily TR Net Value Canada Local,Standard,Value,Net,Local,
