,Australia,Austria,Belgium,Brazil,Canada,China_A,Denmark,EAFE,EASEA,Emerging_Markets_Argentina,Emerging_Markets_Chile,Emerging_Markets_China,Emerging_Markets_Colombia,Emerging_Markets_Czech_Republic,Emerging_Markets_Egypt,Emerging_Markets_EM_Asia,Emerging_Markets_Hungary,Emerging_Markets_India,Emerging_Markets_Indonesia,Emerging_Markets_Israel_Domestic,Emerging_Markets_Israel_Foreign,Emerging_Markets_Israel,Emerging_Markets_Jordan,Emerging_Markets_Korea,Emerging_Markets_Mexico,Emerging_Markets_Morocco,Emerging_Markets_Pakistan,Emerging_Markets_Peru,Emerging_Markets_Poland,Emerging_Markets_Russia,Emerging_Markets_South_Africa,Emerging_Markets_Sri_Lanka,Emerging_Markets_Taiwan,Emerging_Markets_Thailand,Emerging_Markets_Turkey,Emerging_Markets_Venezuela,EU,Europe,Finland,France,Germany,Greece,Hong_Kong,Ireland,Italy,Japan,Kokusai,Malaysia,Netherlands,New_Zealand,Norway,Pacific,Portugal,Singapore,Spain,Sweden,Switzerland,UK,USA,World
1990-12-31,-0.16019808030605198,0.06696556861585323,-0.09870810029878596,,-0.1220780611466955,,-0.004256736303246966,-0.23195631774046155,,,,,,,,-0.1751325366160481,,,,,,,,,0.6265074681910383,,,,,,,,,,,,,-0.03369183078662341,-0.31109358013526645,-0.13354277655557034,-0.08878769393423891,0.9039422943257114,0.09174552248018242,-0.16730653801288786,-0.18387770055731967,-0.36017179538861765,-0.036164972979487175,,-0.02016414313107595,-0.36505733252866623,0.011294268172642452,-0.34287324404969766,-0.30154109420639064,-0.11660154693710034,-0.12746189627870153,-0.20378152075645928,-0.05380378496779181,0.10294001788850715,-0.02081869013774207,-0.16517707555776728
1991-12-31,0.3562137515016084,-0.11850689677714576,0.15279486065495185,,0.1202271353266231,,0.17090502929380702,0.12496831902676031,,,,,,,,0.09909095365443155,,,,,,,,,1.2604391638465473,,,,,,,,,,,,,0.13660262124531264,-0.1744522183585403,0.18521180771704393,0.08783322485248957,-0.2072677712366514,0.4952114003431616,0.12175964964774355,-0.007163514774578994,0.09086589124772093,0.23493651600384813,,0.19117844491430613,0.20750562367328818,-0.15075782978462082,0.11536784145974077,-0.048366657279639624,0.2495854996840412,0.17009492549164196,0.15438557164229283,0.16754673739454762,0.16015283330567143,0.31327105106681574,0.18967240444053224
1992-12-31,-0.0976024026769784,-0.10208095400542871,-0.0016097676482469403,,-0.11453736151498262,,-0.2784318144574921,-0.11849344800532957,,,,,,,,0.18911552489692363,,,,,,,,,0.24979624659052635,,,,,,,,,,,,,-0.042455145394584726,-0.12485832698976584,0.0340724759221267,-0.09740449252776429,-0.3024594917277843,0.3228512569608788,-0.21214013348933358,-0.21332935076892734,-0.21292966915884237,0.02090391772679978,,0.03414727219462921,0.0022827156444735763,-0.21900881449124388,-0.18197593075607232,-0.1585263002145445,0.06282800719331405,-0.20844131746957384,-0.1353888757556314,0.18133960274016325,-0.03654356102334044,0.0736220592884167,-0.04659863377482332
1993-12-31,0.3654952346440845,0.2855996009157795,0.2490349737318338,,0.1840814040677976,,0.3329428152199094,0.32944911425606294,,,,0.33692999999999973,,,,0.9975912049809545,,0.3463900000000002,,,,,,,0.493507587968939,,,,,,,,,,,,,0.2979409231749961,0.831619437893842,0.21561360197164192,0.36316629003189305,0.4099587253770467,1.1669676078926607,0.4240437663027168,0.29457110511190465,0.2570069815961207,0.22212733289990338,,0.3655049986366614,0.6997081113627142,0.4263085055214644,0.35968682053838363,0.34267025373213045,0.6796534927105646,0.3117256133381556,0.3760253105226157,0.46718573759540916,0.2443868322606233,0.10070609958340682,0.23128864986072895
1994-12-31,0.06481254846995976,-0.06053471483417361,0.09426156788055784,,-0.024307675983442856,,0.04248228849623459,0.08061348877197871,,,,-0.4641828667170307,,,,-0.143823670540129,,0.09928772495339389,,,,,,,-0.4055212119366517,,,,,,,,,,,,,0.026626249627362153,0.5247422354021336,-0.04700623113907443,0.05112706840640535,0.005428109630472244,-0.2889964307341214,0.14495361289869413,0.121324726414612,0.21617901190646438,0.005534675500908248,,0.12655759247208076,0.10270607442089696,0.2406856116008902,0.13028289886104294,0.11971083958668927,0.06681953977263944,-0.03925187017867371,0.18797368645150292,0.04182446502810144,-0.016292061855358697,0.01998443286977114,0.05581793723185324
1995-12-31,0.12463266651745464,-0.04423426099619965,0.27324196609206575,,0.19060714355956287,,0.19413876587873857,0.11551133765149735,,,,-0.21115376561736598,,,0.15747000000000022,-0.05726733773401449,,-0.3093907720580783,,,,,,,-0.20372002555248192,,,,,,,,,,,,,0.22130342531524771,0.04959856035437449,0.14769160521504587,0.17002773335747112,0.10938357038626445,0.22566690052981353,0.22383199622463423,0.01658875813480254,0.008601419300799273,0.29331484149425235,,0.28874187016624653,0.22406123204346606,0.06507709105254822,0.02992051566673304,0.006339181286549644,0.06454741617757165,0.3115038362317015,0.3407345680671665,0.45035317200472424,0.2126651185905788,0.3818703886850461,0.21316594988333581
1996-12-31,0.17834252384405036,0.04870096790626599,0.13138920033854173,,0.2927844588344126,,0.22377993158887954,0.06360800429146529,,,,0.3746305898175515,,,0.588637286495546,0.029313317256370652,,-0.02172870909357727,,,,,,,0.18703957208526112,,,,,,,,,,,,,0.2156874284656971,0.34721654379278055,0.2181373609500301,0.14119552691453263,0.06665381374247104,0.3307615480305619,0.32003239116184035,0.1343378001657063,-0.15379847062625296,0.23071963096322112,,0.28517475396125525,0.18746897767533666,0.29248916832377025,-0.08402812424978057,0.36424071964854376,-0.06864478287713527,0.41271930738577023,0.3799705941321929,0.02844308271486362,0.27421261595562973,0.2405475496912548,0.1399603344083733
1997-12-31,-0.09520014314850012,0.019556216344259303,0.14472278223153334,,0.13333308278588718,,0.35014350039551334,0.020579618941382716,,,,-0.2525392963349168,,,0.3122960626495541,-0.48203550711900156,,0.1126967618057082,,,,,,,0.5392160925769482,,,,,,,,,,,,,0.24198006504015912,0.17791972589329408,0.12406306527961619,0.25047806908109993,0.3621458681950429,-0.23286084089312709,0.15842593566328955,0.3638274317867787,-0.23547565063827458,0.2502413032252009,,0.24501362563702478,-0.13014567398239607,0.06740069983629238,-0.2533720285920097,0.47350530745770203,-0.3004926576443694,0.26190169845725175,0.13477492311790207,0.44840160190430267,0.22620646206700568,0.34086334009938346,0.16227109671390716
1998-12-31,0.07058815220056358,0.007723834893660797,0.6872831496896314,,-0.0569481943667931,,0.09377600927732499,0.20333187156307764,,,,-0.423667803382591,,,-0.2699653964899196,-0.11044800721388093,,-0.21240664012295185,,,,,,,-0.3352708722964032,,,,,,,,,,,,,0.2890758183960713,1.226346255334533,0.4205721534811331,0.29883918097392237,0.7810639363418843,-0.029152805643280266,0.3532581696956556,0.5320038450388318,0.05247194060157745,0.2745823631436435,,0.23934397793511808,-0.21479939021695904,-0.2966705342787871,0.026929223909496258,0.27896717795135406,-0.12875581763772892,0.5057994394091716,0.14540744471094347,0.2405156645235913,0.17799143642595716,0.30768330449005554,0.24795253245473936
1999-12-31,0.18669690098261538,-0.08656712770636821,-0.13749568410431778,0.6947723585442176,0.5438766138140654,,0.12470167622148454,0.2729826432941822,0.18172352543088421,0.3438155300728538,0.39617042109653133,0.13334130233392094,-0.14267953511502407,0.05671042585158004,0.8840265439001824,0.6959403118477059,0.11979100500662887,0.8768230058199245,0.9336437316778754,0.561391584880697,0.47539166920448017,0.6029269775425545,0.06062183289468526,0.9265406737880031,0.8006857755323642,-0.11858410310708689,0.4943257450984817,0.19657110354080243,0.31523010424612274,2.4705749819754863,0.5763333400495658,-0.06468520533893751,0.5291133631094682,0.4713820236132489,2.5462498365585775,0.0896404939171338,,0.16230030619595648,1.5333446566424271,0.296930953298743,0.20530908144404103,0.4964305240959148,0.5952337980333973,-0.1263314226936293,0.0019022767563692256,0.6177070124582824,0.21260962941795136,1.1432913438394912,0.07434867350799501,0.14295260940214827,0.32429716311389445,0.5795985473992304,-0.08454256963844975,0.9868303165952446,0.05274178439392818,0.8095000341549143,-0.06590759880499475,0.12450227889992727,0.223728887978222,0.2533984649092609
