,Australia,Austria,Belgium,Brazil,Canada,China_A,Denmark,EAFE,EASEA,Emerging_Markets_Argentina,Emerging_Markets_Chile,Emerging_Markets_China,Emerging_Markets_Colombia,Emerging_Markets_Czech_Republic,Emerging_Markets_Egypt,Emerging_Markets_EM_Asia,Emerging_Markets_EM,Emerging_Markets_Hungary,Emerging_Markets_India,Emerging_Markets_Indonesia,Emerging_Markets_Israel_Domestic,Emerging_Markets_Israel_Foreign,Emerging_Markets_Israel,Emerging_Markets_Jordan,Emerging_Markets_Korea,Emerging_Markets_Mexico,Emerging_Markets_Morocco,Emerging_Markets_Pakistan,Emerging_Markets_Peru,Emerging_Markets_Phil,Emerging_Markets_Poland,Emerging_Markets_Russia,Emerging_Markets_South_Africa,Emerging_Markets_Sri_Lanka,Emerging_Markets_Taiwan,Emerging_Markets_Thailand,Emerging_Markets_Turkey,Emerging_Markets_Venezuela,EU,Europe,Finland,France,Germany,Greece,Hong_Kong,Ireland,Italy,Japan,Kokusai,Malaysia,Netherlands,New_Zealand,Norway,Pacific,Portugal,Singapore,Spain,Sweden,Switzerland,UK,USA,World
1990-12-31,-0.1407753773761794,-0.055852145407480625,-0.2158285173239748,,-0.12048415391538181,,-0.1253181377340855,-0.29601789303471315,,,,,,,,,0.40671143000327903,,,,,,,,,,,,,,,,,,-0.5347171548815655,,,,,-0.1644937548611427,-0.38222981471399875,-0.23527486185969626,-0.19261391929452876,,0.09097650559155035,-0.2713739892468565,-0.27244531522937876,-0.3954868721424065,-0.0930704059307218,,-0.1327183025895461,-0.3572207579750978,-0.09681269874516818,-0.3754596614132001,-0.3739512136111087,-0.19169111370388459,-0.23767967353001718,-0.27575732525476504,-0.21497756418766423,-0.07749130342618193,-0.02081869013774207,-0.20956194084066393
1991-12-31,0.37789160435184854,-0.10515066201394563,0.1662040293548006,,0.11598046436674792,,0.19723897314901406,0.0905970392759623,,,,,,,,,1.1814131697316008,,,,,,,,,,,,,,,,,,0.07031828703703691,,,,,0.1662652792791015,-0.05831408775981528,0.2077540579264503,0.10380077284848266,,0.49223885328910466,0.1429691982540109,0.013056803265856676,0.0027360691783722135,0.24930844477058467,,0.20845186714205277,0.3137928596677271,-0.13778275266397255,0.034639096199041486,-0.04834925191851158,0.1644095763470832,0.1837981446377701,0.13594888264718064,0.24425443833012572,0.1983694900422026,0.31327105106681574,0.16933670079787388
1992-12-31,-0.0051698870890583,-0.046002542054823015,0.05945214865039228,,-0.02702987028231385,,-0.23570022411700198,-0.05826862322477788,,,,,,,,,0.6479852910432959,,,,,,,,,,,,,,,,,,-0.246897826992014,,,,,0.09928284143912514,0.10690890315918544,0.09873412431861861,-0.03892995452753756,,0.31562683931724544,-0.15339450474036054,0.008509632958000113,-0.2138121387651477,0.07694849227651601,,0.09780189747393897,0.0533803999225122,-0.0942834678038652,-0.17613666253408589,-0.07695543082568268,0.07627757693660353,-0.06191020923000545,0.10083911427045922,0.2719446558660432,0.18731149138172265,0.0736220592884167,-0.0072918388548495194
1993-12-31,0.3866195040731164,0.38041976041686465,0.359088956665091,,0.23462234913712177,,0.4468383631685491,0.2955819263950503,,,,,,,,,1.8486003293036677,,,,,,0.22815000000000007,,,,,,,,,,,,0.9351482909388527,,,,,0.3766883104124896,1.0281324704098886,0.2996996087518442,0.462097732375488,,1.1630493861316977,0.6413098955205958,0.5000390435652522,0.12419544965259122,0.2511305055841082,,0.45766461470814557,0.5619035942704185,0.5467876688463817,0.23514421207523561,0.614081674339676,0.6474021281074149,0.6359376527272165,0.6245711786216435,0.48518666532741483,0.27424502989088806,0.10070609958340682,0.21563453187270754
1994-12-31,-0.06821112792171635,-0.15954808341217375,-0.03657120862609453,,0.03369177940125834,,-0.06635476100872773,-0.017782571063735597,,,,,,,,,0.2768150628099202,,,,,,-0.31696454016203235,,,,,,,,,,,,0.1924716462430578,,,,,-0.061420975525306454,0.2478402736851184,-0.13864164354075925,-0.06176427634651627,,-0.2881224089915365,0.044751343317708914,0.06254076140337084,0.0872109256449165,-0.031352901521249255,,0.006494914359510995,-0.036474005076009286,0.11583888891009986,0.020710296584471433,0.008819664151861861,-0.03329872580563009,-0.11517832486041002,0.059535699672870646,-0.08189618578522573,-0.06973729404426676,0.01998443286977114,-0.0034362359609166893
1995-12-31,0.17271070880322292,-0.11757038680440446,0.17723854440894193,,0.1576726777208708,,0.08748932013895616,0.09830559141692374,,,,,,,,,0.007673123736423593,,,,,,0.27700358816026305,,,,,,,,,,,,-0.26635865845311424,,,,,0.15568644147354416,-0.03839951158263355,0.051722782044337556,0.08042646709798329,,0.22490657882580822,0.17920345266807036,-0.005846769347953362,0.042820933686173346,0.2664775950996765,,0.19052472448163305,0.1985947046843175,-0.005143152377987126,0.05710039512784015,-0.05566867057154701,0.03278668069690949,0.20877942650281356,0.19525376301422104,0.27524493016884555,0.22199928297919125,0.3818703886850461,0.2001154216211638
1996-12-31,0.10356989420643314,0.1287750329630144,0.22113528144635408,,0.2992300433317283,,0.30259064648524325,0.11634167168902176,,,,,,,,,0.13523746075059484,,,,,,0.005899705014749346,,,,,,,,,,,,0.4139486953313516,,,,,0.23315346072196563,0.43001407564912686,0.29491728808773776,0.22874052138785705,,0.33124368984711006,0.25003526328683523,0.08718335907404118,-0.047853716512837985,0.2357404701153809,,0.3867511973900368,0.09873522398373313,0.30626711967002485,-0.00032465698273520527,0.41776174613230865,-0.0789822466355593,0.514668893933242,0.4217418763298775,0.2001398625463342,0.15600896631277505,0.2405475496912548,0.17149263059531683
1997-12-31,0.10296554381997414,0.1899634636971903,0.33523685016513727,,0.18327450560696534,,0.5672370095987338,0.13820813104845198,,,,,,,,,0.04814394975830294,,,,,,0.3457255280448419,,,,,,,,,,,,0.11318791070694822,,,,,0.3841038159043484,0.3917394072411078,0.3007676277912952,0.4589713853201316,,-0.23152198715904893,0.3755916641426291,0.5858700411894304,-0.14355817699796747,0.3124163956666701,,0.45914372476390697,0.058458128205788995,0.23238994798867973,-0.1573166326286083,0.7449565750117122,-0.1573707047117301,0.4786775176379259,0.31868532604971267,0.5733675643957352,0.27535620245341796,0.34086334009938346,0.22940919014531347
1998-12-31,0.1372646049572781,-0.06657718948777847,0.5644516602403964,,0.012179386641157919,,0.014128430465054409,0.12544893987515904,,,,,,,,,-0.19705633732783057,,,,,,0.08697331218536664,,,,,,,,,,,,-0.21785331314426737,,,,,0.2265512826528493,1.064735535324656,0.3190820793671705,0.2031630189676108,,-0.029309402448170263,0.29362953240927636,0.42559795065390316,-0.08695309640537618,0.25365381470227577,,0.1467176628361604,-0.136914647510045,-0.2744938495270557,-0.07528023598820055,0.18770445758847432,-0.14685282026741076,0.39984985980628984,0.1707928188433907,0.1681397036569372,0.16496364333962887,0.3076877211553115,0.21106173624905988
1999-12-31,0.11234139623816608,0.07008053085648913,0.010421418573760999,1.5318155359125476,0.4588155386235362,,0.31360189981677355,0.33884945729413607,0.3106905132472422,0.3448845794468822,0.5630024806775307,0.13560089334218617,0.03441459329201901,0.26364875857881054,0.8987484740967222,0.6488904907624649,0.7785694822888283,0.32120870768050835,0.9213229269261647,0.7147419837886282,0.5612728422193456,,0.6032850744185454,0.057642116428701096,0.8148669500013535,0.7222870820881029,-0.0408662045877336,0.5812356979405033,0.3103435562259089,0.07431101569837661,0.5512978383204936,2.4705926549257677,0.6499610635220825,-0.02681743954177318,0.48794006200482265,0.5216040605868748,5.098549029060184,0.2522637163860466,0.33271210921120065,0.3028848413438363,1.9755021426697374,0.5195273903081898,0.41282081126695,0.7630550758386374,0.6006390345340549,0.02350693343568011,0.17431542152859092,0.46791079521043777,0.2626730742582353,0.49991335920467783,0.2588740757168304,0.15774802074339922,0.39582216785199575,0.448603424265819,0.07245746797056474,1.0133337207974282,0.23328353039391692,0.9060043879255955,0.08860693900566341,0.16081831658810408,0.22372897670789782,0.2809259936502746
