,MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
12,105653,GDLESRUS,MSCI Daily TR Gross Emerging Markets Russia Local,Standard,,Gross,Local,
18,105765,GDLESMO,MSCI Daily TR Gross Emerging Markets Morocco Local,Standard,,Gross,Local,
24,105766,GDLESEG,MSCI Daily TR Gross Emerging Markets Egypt Local,Standard,,Gross,Local,
30,105767,GDLESINF,MSCI Daily TR Gross Emerging Markets Indonesia Local,Standard,,Gross,Local,
36,105768,GDDLMAF,MSCI Daily TR Gross Malaysia Local,Standard,,Gross,Local,
45,105769,GDLESTHF,MSCI Daily TR Gross Emerging Markets Thailand Local,Standard,,Gross,Local,
1216,106330,GDDLWXEM,MSCI Daily TR Gross World Ex EMU Local,Standard,,Gross,Local,
1230,106331,GDDLEXEU,MSCI Daily TR Gross Europe Ex EMU Local,Standard,,Gross,Local,
1239,106332,GDDLWXEU,MSCI Daily TR Gross World Ex Europe Local,Standard,,Gross,Local,
1266,106400,GDDLEMU,MSCI Daily TR Gross EMU Local,Standard,,Gross,Local,
1281,106490,GDDLXKXS,MSCI Daily TR Gross EMU Ex UK Ex Switzerland Local,Standard,,Gross,Local,
1290,106491,GDLEAX18,MSCI Daily TR Gross AC World Ex Europe Local,Standard,,Gross,Local,
1294,106492,GDLEACXE,MSCI Daily TR Gross AC WORLD INDEX ex EMU Local,Standard,,Gross,Local,
1307,106506,GDLEAWXG,MSCI AC World Daily TR Gross Ex UK Local,Standard,,Gross,Local,
1313,106507,GDDLEMXG,MSCI Daily TR Gross EMU Ex Germany Local,Standard,,Gross,Local,
1324,106569,GDDLEURO,MSCI Daily TR Gross Euro Local,Standard,,Gross,Local,
1334,106570,GDDLPEUR,MSCI Daily TR Gross Pan Euro Local,Standard,,Gross,Local,
1344,106574,GDD3EMXS,MSCI Daily TR Gross EMU Ex Spain Local,Standard,,Gross,Local,
1354,106589,GDD3EMXA,MSCI Daily TR Gross EMU Ex Austria Local,Standard,,Gross,Local,
1360,106590,GDD3EMXB,MSCI Daily TR Gross EMU Ex Belgium Local,Standard,,Gross,Local,
1366,106591,GDD3EMXF,MSCI Daily TR Gross EMU Ex Finland Local,Standard,,Gross,Local,
1372,106592,GDD3EMFR,MSCI Daily TR Gross EMU Ex France Local,Standard,,Gross,Local,
1378,106593,GDD3EMIR,MSCI Daily TR Gross EMU Ex Ireland Local,Standard,,Gross,Local,
1384,106594,GDD3EMIT,MSCI Daily TR Gross EMU Ex Italy Local,Standard,,Gross,Local,
1390,106595,GDD3EMXN,MSCI Daily TR Gross EMU Ex Netherlands Local,Standard,,Gross,Local,
1396,106596,GDD3EMXP,MSCI Daily TR Gross EMU Ex Portugal Local,Standard,,Gross,Local,
1402,106597,GDD3EUXP,MSCI Daily TR Gross Europe Ex Portugal Local,Standard,,Gross,Local,
1407,106643,GDRLENR,MSCI Daily TR Europe Gross Energy Local a,Standard,,Gross,Local,
1413,106644,GDRLMAT,MSCI Daily TR Europe Gross Materials Local a,Standard,,Gross,Local,
1419,106645,GDRLIND,MSCI Daily TR Europe Gross Industrial Local,Standard,,Gross,Local,
1425,106646,GDRLCDIS,MSCI Daily TR Europe Gross Consumer Discretionary Local,Standard,,Gross,Local,
1431,106647,GDRLCSTA,MSCI Daily TR Europe Gross Consumer Staples Local,Standard,,Gross,Local,
1437,106648,GDRLHC,MSCI Daily TR Europe Gross Health Care Local,Standard,,Gross,Local,
1443,106649,GDRLFNCL,MSCI Daily TR Europe Gross Financials Local,Standard,,Gross,Local,
1452,106650,GDRLIT,MSCI Daily TR Europe Gross Information Technology Local,Standard,,Gross,Local,
1458,106651,GDRLTEL,MSCI Daily TR Europe Gross Telecommunication Services Sector Local a,Standard,,Gross,Local,
1464,106652,GDRLUTI,MSCI Daily TR Europe Gross Utilities Sector Local a,Standard,,Gross,Local,
1470,106653,GDRLENRG,MSCI Daily TR Europe Gross Energy Local b,Standard,,Gross,Local,
1476,106654,GDRLMATL,MSCI Daily TR Europe Gross Materials Local b,Standard,,Gross,Local,
1482,106656,GDRLCAP,MSCI Daily TR Europe Gross Capital Goods Local,Standard,,Gross,Local,
1488,106657,GDRLTRAN,MSCI Daily TR Europe Gross Transport Local,Standard,,Gross,Local,
1494,106658,GDRLSERV,MSCI Daily TR Europe Gross Commercial Services & Supplies Local,Standard,,Gross,Local,
1500,106659,GDRLAUTO,MSCI Daily TR Europe Gross Automobiles & Components Local,Standard,,Gross,Local,
1506,106660,GDRLHRL,MSCI Daily TR Europe Gross Household & Personal Products Local,Standard,,Gross,Local,
1512,106661,GDRLHPP,MSCI Daily TR Europe Gross Household Local,Standard,,Gross,Local,
1518,106662,GDRLRET,MSCI Daily TR Europe Gross Retail Local,Standard,,Gross,Local,
1524,106663,GDRLMED,MSCI Daily TR Europe Gross Media Local,Standard,,Gross,Local,
1530,106664,GDRLFB&T,MSCI Daily TR Europe Gross Food Beverage & Tobacco Local,Standard,,Gross,Local,
1536,106666,GDRLPHA,MSCI Daily TR Europe Gross Pharmaceuticals Biotechnology & Life Sciences Local,Standard,,Gross,Local,
1542,106667,GDRLHCE,MSCI Daily TR Europe Gross Health Care Equipment & Services Local,Standard,,Gross,Local,
1548,106668,GDRLBANK,MSCI Daily TR Europe Gross Banks Local,Standard,,Gross,Local,
1554,106669,GDRLINS,MSCI Daily TR Europe Gross Insurance Local,Standard,,Gross,Local,
1560,106670,GDRLDF,MSCI Daily TR Europe Gross Diversified Financials Industry Group Local,Standard,,Gross,Local,
1566,106671,GDRLRE,MSCI Daily TR Europe Gross Real Estate Local,Standard,,Gross,Local,
1572,106672,GDRLTECH,MSCI Daily TR Europe Gross Technology Hardware & Equipment Local,Standard,,Gross,Local,
1578,106673,GDRLSOFT,MSCI Daily TR Europe Gross Software & Services Local,Standard,,Gross,Local,
1584,106674,GDRLTELE,MSCI Daily TR Europe Gross Telecommunication Services Industry Group Local b,Standard,,Gross,Local,
1590,106675,GDRLUTIL,MSCI Daily TR Europe Gross Utilities Local b,Standard,,Gross,Local,
1597,106676,GTLROGAS,MSCI Daily TR Europe Gross Oil Gas & Consumable Fuels Local,Standard,,Gross,Local,
1603,106677,GTLRAEDE,MSCI Daily TR Europe Gross Aerospace & Defense Local,Standard,,Gross,Local,
1609,106678,GTLRCHEM,MSCI Daily TR Europe Gross Chemicals Local,Standard,,Gross,Local,
1615,106679,GTLRPFOR,MSCI Daily TR Europe Gross Paper & Forest Products Local,Standard,,Gross,Local,
1621,106680,GTLRMMIN,MSCI Daily TR Europe Gross Metals & Mining Local,Standard,,Gross,Local,
1627,106681,GTLRAIR,MSCI Daily TR Europe Gross Airlines Local,Standard,,Gross,Local,
1633,106682,GTLRMAR,MSCI Daily TR Europe Gross Marine Local,Standard,,Gross,Local,
1639,106683,GTLRTEXT,MSCI Daily TR Europe Gross Textiles Local,Standard,,Gross,Local,
1645,106684,GTLRAUTO,MSCI Daily TR Europe Gross Automobiles Local,Standard,,Gross,Local,
1651,106685,GTLRF&DR,MSCI Daily TR Europe Gross Food & Drug Retailing Local,Standard,,Gross,Local,
1657,106686,GTLRBTEC,MSCI Daily TR Europe Gross Biotechnology Local,Standard,,Gross,Local,
1663,106687,GTLRPHA,MSCI Daily TR Europe Gross Pharmaceuticals Local,Standard,,Gross,Local,
1669,106688,GTLRCEQU,MSCI Daily TR Europe Gross Communications Equipment Local,Standard,,Gross,Local,
1675,106689,GTLRSOFT,MSCI Daily TR Europe Gross Software Local,Standard,,Gross,Local,
1681,106690,GTLRISOF,MSCI Daily TR Europe Gross Internet Software & Services Local,Standard,,Gross,Local,
1687,106691,GTLRWUTI,MSCI Daily TR Europe Gross Water Utilities Local,Standard,,Gross,Local,
1693,106692,GTLRGUTI,MSCI Daily TR Europe Gross Gas Utilities Local,Standard,,Gross,Local,
1699,106693,GTLREUTI,MSCI Daily TR Europe Gross Electric Utilities Local,Standard,,Gross,Local,
1704,106694,GDLUENR,MSCI Daily TR EMU Gross Energy Local,Standard,,Gross,Local,
1710,106695,GDLUMAT,MSCI Daily TR EMU Gross Materials Local,Standard,,Gross,Local,
1716,106696,GDLUIND,MSCI Daily TR EMU Gross Industrial Local,Standard,,Gross,Local,
1722,106697,GDLUCDIS,MSCI Daily TR EMU Gross Consumer Discretionary Local,Standard,,Gross,Local,
1728,106698,GDLUCSTA,MSCI Daily TR EMU Gross Consumer Staples Local,Standard,,Gross,Local,
1734,106699,GDLUHC,MSCI Daily TR EMU Gross Health Care Local,Standard,,Gross,Local,
1740,106700,GDLUFNCL,MSCI Daily TR EMU Gross Financials Local,Standard,,Gross,Local,
1746,106701,GDLUIT,MSCI Daily TR EMU Gross Information Technology Local,Standard,,Gross,Local,
1752,106702,GDLUTEL,MSCI Daily TR EMU Gross Telecommunication Services Sector Local,Standard,,Gross,Local,
1758,106703,GDLUUTI,MSCI Daily TR EMU Gross Utilities Sector Local,Standard,,Gross,Local,
1764,106704,GDLUENRG,MSCI Daily TR EMU Gross Energy Local,Standard,,Gross,Local,
1770,106705,GDLUMATL,MSCI Daily TR EMU Gross Materials Local,Standard,,Gross,Local,
1776,106707,GDLUCAP,MSCI Daily TR EMU Gross Capital Goods Local,Standard,,Gross,Local,
1782,106708,GDLUTRAN,MSCI Daily TR EMU Gross Transport Local,Standard,,Gross,Local,
1788,106709,GDLUSERV,MSCI Daily TR EMU Gross Commercial Services & Supplies Local,Standard,,Gross,Local,
1794,106710,GDLUAUTO,MSCI Daily TR EMU Gross Automobiles & Components Local,Standard,,Gross,Local,
1800,106711,GDLUHRL,MSCI Daily TR EMU Gross Household & Personal Products Local,Standard,,Gross,Local,
1806,106712,GDLUHPP,MSCI Daily TR EMU Gross Household Local,Standard,,Gross,Local,
1812,106713,GDLURET,MSCI Daily TR EMU Gross Retail Local,Standard,,Gross,Local,
1818,106714,GDLUMED,MSCI Daily TR EMU Gross Media Local,Standard,,Gross,Local,
1824,106715,GDLUFB&T,MSCI Daily TR EMU Gross Food Beverage & Tobacco Local,Standard,,Gross,Local,
1830,106717,GDLUPHA,MSCI Daily TR EMU Gross Pharmaceuticals Biotechnology & Life Sciences Local,Standard,,Gross,Local,
1836,106718,GDLUHCE,MSCI Daily TR EMU Gross Health Care Equipment & Services Local,Standard,,Gross,Local,
1842,106719,GDLMBANK,MSCI Daily TR EMU Gross Banks Local,Standard,,Gross,Local,
1848,106720,GDLUINS,MSCI Daily TR EMU Gross Insurance Local,Standard,,Gross,Local,
