,MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
12,105653,GDLESRUS,MSCI Daily TR Gross Emerging Markets Russia Local,Standard,,Gross,Local,
18,105765,GDLESMO,MSCI Daily TR Gross Emerging Markets Morocco Local,Standard,,Gross,Local,
24,105766,GDLESEG,MSCI Daily TR Gross Emerging Markets Egypt Local,Standard,,Gross,Local,
30,105767,GDLESINF,MSCI Daily TR Gross Emerging Markets Indonesia Local,Standard,,Gross,Local,
36,105768,GDDLMAF,MSCI Daily TR Gross Malaysia Local,Standard,,Gross,Local,
45,105769,GDLESTHF,MSCI Daily TR Gross Emerging Markets Thailand Local,Standard,,Gross,Local,
4807,133333,MSCHAGL,MSCI Daily TR Gross China A Local,Standard,,Gross,Local,
5141,300300,GDLESISN,MSCI Daily TR Gross Emerging Markets Israel Foreign Local,Standard,,Gross,Local,
5147,300400,GDLESIS,MSCI Daily TR Gross Emerging Markets Israel Local,Standard,,Gross,Local,
5185,302400,GDLETCF,MSCI Daily TR Gross Emerging Markets China Local,Standard,,Gross,Local,
14585,848400,GDLETMXF,MSCI Daily TR Gross Emerging Markets Mexico Local,Standard,,Gross,Local,
14591,860800,GDLESPHF,MSCI Daily TR Gross Emerging Markets Phil Local,Standard,,Gross,Local,
14608,886200,GDLESVZF,MSCI Daily TR Gross Emerging Markets Venezuela Local,Standard,,Gross,Local,
14665,891800,GDLEEGF,MSCI Daily TR Gross Emerging Markets EM Local,Standard,,Gross,Local,
14717,899700,GDLEEGFA,MSCI Daily TR Gross Emerging Markets EM Asia Local,Standard,,Gross,Local,
14753,903200,GDLESAG,MSCI Daily TR Gross Emerging Markets Argentina Local,Standard,,Gross,Local,
14759,903600,GDDLAS,MSCI Daily TR Gross Australia Local,Standard,,Gross,Local,
14776,904000,GDDLAT,MSCI Daily TR Gross Austria Local,Standard,,Gross,Local,
14791,905600,GDDLBE,MSCI Daily TR Gross Belgium Local,Standard,,Gross,Local,
14806,907600,GDLEBRAF,MSCI Daily TR Gross Brazil Local,Standard,,Gross,Local,
14812,912400,GDDLCA,MSCI Daily TR Gross Canada Local,Standard,,Gross,Local,
14827,914400,GDLESSL,MSCI Daily TR Gross Emerging Markets Sri Lanka Local,Standard,,Gross,Local,
14833,915200,GDLESCH,MSCI Daily TR Gross Emerging Markets Chile Local,Standard,,Gross,Local,
14839,915800,GDLESTW,MSCI Daily TR Gross Emerging Markets Taiwan Local,Standard,,Gross,Local,
14845,917000,GDLESCO,MSCI Daily TR Gross Emerging Markets Colombia Local,Standard,,Gross,Local,
14851,920000,GDLESCZ,MSCI Daily TR Gross Emerging Markets Czech Republic Local,Standard,,Gross,Local,
14857,920800,GDDLDE,MSCI Daily TR Gross Denmark Local,Standard,,Gross,Local,
14872,924600,GDDLFI,MSCI Daily TR Gross Finland Local,Standard,,Gross,Local,
14887,925000,GDDLFR,MSCI Daily TR Gross France Local,Standard,,Gross,Local,
14902,928000,GDDLGR,MSCI Daily TR Gross Germany Local,Standard,,Gross,Local,
14917,930000,GDLESGE,MSCI Daily TR Gross Greece Local,Standard,,Gross,Local,
14932,934400,GDDLHK,MSCI Daily TR Gross Hong Kong Local,Standard,,Gross,Local,
14949,934800,GDLESHG,MSCI Daily TR Gross Emerging Markets Hungary Local,Standard,,Gross,Local,
14955,935600,GDLESIA,MSCI Daily TR Gross Emerging Markets India Local,Standard,,Gross,Local,
14964,937200,GDDLIE,MSCI Daily TR Gross Ireland Local,Standard,,Gross,Local,
14979,937600,GDLESISD,MSCI Daily TR Gross Emerging Markets Israel Domestic Local,Standard,,Gross,Local,
14985,938000,GDDLIT,MSCI Daily TR Gross Italy Local,Standard,,Gross,Local,
15000,939200,GDDLJN,MSCI Daily TR Gross Japan Local,Standard,,Gross,Local,
15017,940000,GDLESJO,MSCI Daily TR Gross Emerging Markets Jordan Local,Standard,,Gross,Local,
15023,941000,GDLESKO,MSCI Daily TR Gross Emerging Markets Korea Local,Standard,,Gross,Local,
15029,952800,GDDLNE,MSCI Daily TR Gross Netherlands Local,Standard,,Gross,Local,
15044,955400,GDDLNZ,MSCI Daily TR Gross New Zealand Local,Standard,,Gross,Local,
15061,957800,GDDLNO,MSCI Daily TR Gross Norway Local,Standard,,Gross,Local,
15076,958600,GDLESPF,MSCI Daily TR Gross Emerging Markets Pakistan Local,Standard,,Gross,Local,
15082,960400,GDLESPR,MSCI Daily TR Gross Emerging Markets Peru Local,Standard,,Gross,Local,
15088,961600,GDLESPO,MSCI Daily TR Gross Emerging Markets Poland Local,Standard,,Gross,Local,
15094,962000,GDDLPT,MSCI Daily TR Gross Portugal Local,Standard,,Gross,Local,
15109,971000,GDLESSA,MSCI Daily TR Gross Emerging Markets South Africa Local,Standard,,Gross,Local,
15115,972400,GDDLSP,MSCI Daily TR Gross Spain Local,Standard,,Gross,Local,
15130,975200,GDDLSW,MSCI Daily TR Gross Sweden Local,Standard,,Gross,Local,
15145,975600,GDDLSZ,MSCI Daily TR Gross Switzerland Local,Standard,,Gross,Local,
15160,979200,GDLESTK,MSCI Daily TR Gross Emerging Markets Turkey Local,Standard,,Gross,Local,
15166,982600,GDDLUK,MSCI Daily TR Gross UK Local,Standard,,Gross,Local,
15181,984000,GDDLUS,MSCI Daily TR Gross USA Local,Standard,,Gross,Local,
15196,990100,GDDLWI,MSCI Daily TR Gross World Local,Standard,,Gross,Local,
15228,990300,GDDLEAFE,MSCI Daily TR Gross EAFE Local,Standard,,Gross,Local,
15250,990500,GDDLE15,MSCI Daily TR Gross Europe Local,Standard,,Gross,Local,
15265,990600,GDLEEU,MSCI Daily TR Gross EU Local,Standard,,Gross,Local,
15286,990800,GDDLP,MSCI Daily TR Gross Pacific Local,Standard,,Gross,Local,
15348,991200,GDDLKOK,MSCI Daily TR Gross Kokusai Local,Standard,,Gross,Local,
15362,991300,GDDLEASE,MSCI Daily TR Gross EASEA Local,Standard,,Gross,Local,
15519,998100,GDDLSG,MSCI Daily TR Gross Singapore Local,Standard,,Gross,Local,
