datetime,CN_Quality2
2015-12-31,0.0
2016-01-01,-0.0030000000000000027
2016-01-02,-0.0030000000000000027
2016-01-03,-0.0030000000000000027
2016-01-04,-0.07601118423474928
2016-01-05,-0.07642141528228286
2016-01-06,-0.06311411113208643
2016-01-07,-0.13059458988083628
2016-01-08,-0.11149977621797136
2016-01-09,-0.11149977621797136
2016-01-10,-0.11149977621797136
2016-01-11,-0.14949877168460557
2016-01-12,-0.14414771436234441
2016-01-13,-0.1579109949140598
2016-01-14,-0.12808930246060468
2016-01-15,-0.15489914128968119
2016-01-16,-0.15489914128968119
2016-01-17,-0.15489914128968119
2016-01-18,-0.15151638474420137
2016-01-19,-0.12806761686246404
2016-01-20,-0.1525996446888792
2016-01-21,-0.1845623629019587
2016-01-22,-0.17508465840252319
2016-01-23,-0.17508465840252319
2016-01-24,-0.17508465840252319
2016-01-25,-0.16692484873558855
2016-01-26,-0.2155417921760261
2016-01-27,-0.20416121483599203
2016-01-28,-0.22684160185682223
2016-01-29,-0.19596898144458308
2016-01-30,-0.19596898144458308
2016-01-31,-0.19596898144458308
2016-02-01,-0.1984700484085562
2016-02-02,-0.17630912188260406
2016-02-03,-0.16881990126009305
2016-02-04,-0.1594273953311005
2016-02-05,-0.16397858659460962
2016-02-06,-0.16397858659460962
2016-02-07,-0.16397858659460962
2016-02-08,-0.16397858659460962
2016-02-09,-0.16397858659460962
2016-02-10,-0.16397858659460962
2016-02-11,-0.16397858659460962
2016-02-12,-0.16397858659460962
2016-02-13,-0.16397858659460962
2016-02-14,-0.16397858659460962
2016-02-15,-0.16175859075973198
2016-02-16,-0.1388991550037202
2016-02-17,-0.1386924897902232
2016-02-18,-0.14767597438610736
2016-02-19,-0.14860930750872325
2016-02-20,-0.14860930750872325
2016-02-21,-0.14860930750872325
2016-02-22,-0.12811417112597379
2016-02-23,-0.1297324401730865
2016-02-24,-0.1247073582162459
2016-02-25,-0.1723376615113208
2016-02-26,-0.15909187694259808
2016-02-27,-0.15909187694259808
2016-02-28,-0.15909187694259808
2016-02-29,-0.18317058659324637
2016-03-01,-0.1645949217024213
2016-03-02,-0.13199681635145444
2016-03-03,-0.13232543397768726
2016-03-04,-0.13151424153297286
2016-03-05,-0.13151424153297286
2016-03-06,-0.13151424153297286
2016-03-07,-0.12355347480491652
2016-03-08,-0.11984173227891937
2016-03-09,-0.13324273183956115
2016-03-10,-0.14155661346414183
2016-03-11,-0.14274227671975037
2016-03-12,-0.14274227671975037
2016-03-13,-0.14274227671975037
2016-03-14,-0.1244927647502041
2016-03-15,-0.11709915994464337
2016-03-16,-0.12507843597050305
2016-03-17,-0.10510204667927425
2016-03-18,-0.0886060249953825
2016-03-19,-0.0886060249953825
2016-03-20,-0.0886060249953825
2016-03-21,-0.06943891134581248
2016-03-22,-0.07263166868634663
2016-03-23,-0.06294232117491028
2016-03-24,-0.06988502197494806
2016-03-25,-0.066625477024018
2016-03-26,-0.066625477024018
2016-03-27,-0.066625477024018
2016-03-28,-0.0657478756936245
2016-03-29,-0.07947805662035767
2016-03-30,-0.05346863529066437
2016-03-31,-0.05198002287142922
2016-04-01,-0.04534004343103837
2016-04-02,-0.04534004343103837
2016-04-03,-0.04534004343103837
2016-04-04,-0.04534004343103837
2016-04-05,-0.025765863690617286
2016-04-06,-0.024310499976781696
2016-04-07,-0.03950665318411217
2016-04-08,-0.05076690744131995
2016-04-09,-0.05076690744131995
2016-04-10,-0.05076690744131995
2016-04-11,-0.03754643202344077
2016-04-12,-0.03767590146728772
2016-04-13,-0.024354136226339196
2016-04-14,-0.016063278326248986
2016-04-15,-0.018713630005799953
2016-04-16,-0.018713630005799953
2016-04-17,-0.018713630005799953
2016-04-18,-0.02372212555146047
2016-04-19,-0.0285264974006324
2016-04-20,-0.06627562850481528
2016-04-21,-0.06572564350182086
2016-04-22,-0.04557466552570577
2016-04-23,-0.04557466552570577
2016-04-24,-0.04557466552570577
2016-04-25,-0.050509624331806946
2016-04-26,-0.046617410115812
2016-04-27,-0.045448304745781765
2016-04-28,-0.04150594278396913
2016-04-29,-0.03335822376356534
2016-04-30,-0.03335822376356534
2016-05-01,-0.03335822376356534
2016-05-02,-0.03335822376356534
2016-05-03,-0.004886768797055296
2016-05-04,-0.01139883899666061
2016-05-05,-0.004377543258984762
2016-05-06,-0.040839960531285024
2016-05-07,-0.040839960531285024
2016-05-08,-0.040839960531285024
2016-05-09,-0.06314874104552615
2016-05-10,-0.05301580810884565
2016-05-11,-0.0501093090758431
2016-05-12,-0.0449810323786497
2016-05-13,-0.05152944888690725
2016-05-14,-0.05152944888690725
2016-05-15,-0.05152944888690725
2016-05-16,-0.04182115517884655
2016-05-17,-0.042307762660794834
2016-05-18,-0.061432322415256646
2016-05-19,-0.06063030401692726
2016-05-20,-0.05382478474569519
2016-05-21,-0.05382478474569519
2016-05-22,-0.05382478474569519
2016-05-23,-0.04636227088928968
2016-05-24,-0.055380420980995715
2016-05-25,-0.061446360380770226
2016-05-26,-0.05870804380402084
2016-05-27,-0.06233449795008006
2016-05-28,-0.06233449795008006
2016-05-29,-0.06233449795008006
2016-05-30,-0.06251112519893398
2016-05-31,-0.028616496821324056
2016-06-01,-0.029307680143117576
2016-06-02,-0.02704006063254183
2016-06-03,-0.0011821260476598816
2016-06-04,-0.0011821260476598816
2016-06-05,-0.0011821260476598816
2016-06-06,-0.006209046791010642
2016-06-07,-0.006906807768782164
2016-06-08,-0.00524756674379534
2016-06-09,-0.00524756674379534
2016-06-10,-0.00524756674379534
2016-06-11,-0.00524756674379534
