date,MXWD Index,LBUSTRUU Index,LBEATRUH Index,JPEIJACC Index,LEGATRUU Index,SPX Index
2019-03-14,3968.62323,2078.05,287.0485,1756.42,484.6479,22046.568
2019-03-15,3993.42232,2081.88,287.1635,1757.72,485.4767,22156.18575
2019-03-18,4014.11466,2082.52,287.7477,1762.46,486.0477,22238.29571
2019-03-19,4018.9502,2081.83,287.4878,1763.65,486.2579,22235.39124
2019-03-20,4003.88072,2089.18,287.6061,1763.46,487.066,22170.2055
2019-03-21,4029.74025,2090.56,288.4345,1772.36,488.1873,22403.95629
2019-03-22,3969.94075,2099.93,289.3062,1775.09,490.1083,21978.8518
2019-03-25,3950.94916,2104.72,289.173,1775.73,490.9115,21956.2124
2019-03-26,3979.73749,2105.84,289.2471,1780.48,490.0747,22122.65623
2019-03-27,3962.49726,2110.19,290.306,1786.35,490.6091,22019.62967
2019-03-28,3965.3291,2108.81,289.8954,1786.12,489.9807,22100.92246
2019-03-29,3992.05487,2106.83,289.825,1783.92,489.4602,22249.75656
2019-04-01,4037.50617,2098.95,289.2087,1782.93,487.91643,22506.86806
2019-04-02,4037.83507,2100.71,289.6246,1781.51,487.6044,22507.26055
2019-04-03,4060.3706,2097.33,288.9775,1779.5,487.4283,22554.46596
2019-04-04,4060.11973,2098.59,289.351,1780.79,487.1913,22600.33211
2019-04-05,4074.35391,2100.6,289.4654,1779.63,487.1041,22707.43045
2019-04-08,4079.01007,2099.4,289.5894,1779.74,487.8832,22720.501
2019-04-09,4062.9701,2101.68,289.856,1779.31,488.6029,22571.42004
2019-04-10,4069.63422,2104.22,290.4258,1779.67,489.2303,22636.05705
2019-04-11,4068.44002,2102.25,290.3992,1782.21,488.724,22654.82675
2019-04-12,4088.40694,2098.12,289.5148,1779.24,487.8968,22802.23515
2019-04-15,4088.18827,2099.2,289.4359,1778.02,487.7588,22777.42274
2019-04-16,4097.1239,2095.64,289.3477,1780.05,487.0945,22802.68793
2019-04-17,4095.00699,2096.13,289.0836,1779.75,486.8261,22751.99993
2019-04-18,4093.05575,2099.43,290.0032,1783.35,487.0692,22793.44639
2019-04-19,4092.3772,2099.43,290.0032,1783.35,486.9908,22793.44639
2019-04-22,4093.12757,2096.41,290.0032,1782.86,486.6255,22812.73385
2019-04-23,4114.0187,2098.91,289.6519,1781.74,486.0967,23009.73234
2019-04-24,4101.95218,2104.27,290.6044,1784.93,487.2149,22956.95813
2019-04-25,4093.5785,2103.51,290.3127,1784.84,486.3026,22953.1701
2019-04-26,4108.08454,2107.33,290.8456,1786.09,487.29455,23059.53676
2019-04-29,4113.1407,2104.12,290.8787,1788.39,486.7951,23083.95011
2019-04-30,4117.60955,2107.37,290.899,1788.98,488.0109,23111.21468
2019-05-01,4103.46558,2107.92,290.9384,1790.75,488.8044,22936.36948
2019-05-02,4087.21368,2103.15,291.0166,1790.14,487.08679,22883.85987
2019-05-03,4117.50466,2106.01,291.1174,1788.38,487.7703,23108.84036
2019-05-06,4090.02327,2109.0,291.1174,1789.33,488.3299,23005.5204
2019-05-07,4037.09054,2113.35,291.6559,1792.57,489.4497,22634.60121
2019-05-08,4028.83079,2110.15,291.6471,1793.12,489.42001,22600.85552
2019-05-09,3997.64422,2111.74,291.2917,1792.27,490.0792,22531.70714
2019-05-10,4011.54435,2112.58,291.2729,1793.02,490.34189,22615.24418
2019-05-13,3937.71673,2117.4,291.4929,1794.46,491.1038,22071.21119
2019-05-14,3957.53597,2116.58,291.5995,1792.24,490.257,22248.98474
2019-05-15,3977.79788,2120.83,291.9388,1795.39,490.8703,22379.7509
2019-05-16,4001.68605,2118.41,292.1722,1797.52,490.0736,22577.96147
2019-05-17,3979.22644,2119.58,292.3827,1798.77,489.7952,22446.45264
2019-05-20,3958.27443,2117.52,292.1363,1797.98,489.4526,22294.38539
2019-05-21,3982.30195,2116.17,291.9843,1796.21,488.942,22484.36669
2019-05-22,3972.14988,2119.15,292.1885,1796.8,489.2172,22421.43387
2019-05-23,3925.28994,2128.75,292.4268,1800.1,490.9514,22152.32621
2019-05-24,3938.60392,2125.2,292.7966,1801.19,491.9008,22181.46233
2019-05-27,3942.31091,2125.2,292.7966,1801.19,491.7674,22181.46233
2019-05-28,3922.05475,2131.17,293.1054,1803.89,492.2292,21997.08007
2019-05-29,3887.86112,2133.62,293.615,1805.81,492.5004,21844.75889
2019-05-30,3894.37302,2135.92,293.5208,1804.66,492.0876,21886.97328
2019-05-31,3858.57764,2144.78,294.0075,1808.57,494.6193,21578.35205
2019-06-03,3859.04495,2151.48,294.4329,1811.3,496.5221,21505.78464
2019-06-04,3914.99196,2147.08,294.9263,1813.79,496.8845,21984.36465
2019-06-05,3943.9999,2146.85,295.4185,1816.06,498.1817,22158.99431
2019-06-06,3956.63946,2146.82,295.8766,1820.07,498.5106,22292.9616
2019-06-07,3997.35284,2152.48,296.9398,1818.36,500.5582,22531.87028
2019-06-10,4019.17725,2147.64,296.221,1822.22,499.0456,22641.20074
2019-06-11,4027.54088,2148.33,296.684,1818.65,499.2062,22615.38764
2019-06-12,4009.61339,2149.63,296.5539,1818.62,499.4354,22532.73211
2019-06-13,4013.98118,2153.77,296.7524,1821.21,499.2968,22636.62541
2019-06-14,3999.93264,2152.94,297.398,1824.41,498.8569,22595.23767
2019-06-17,4001.11895,2154.11,297.2841,1823.14,498.5076,22634.49614
2019-06-18,4039.56377,2158.22,299.5023,1828.44,499.7216,22850.06735
2019-06-19,4059.77844,2163.72,298.9682,1828.21,500.7899,22895.15981
2019-06-20,4097.09277,2169.03,299.7938,1835.13,504.2545,23078.94041
2019-06-21,4087.54707,2162.42,299.0625,1834.83,503.2036,23046.04306
2019-06-24,4086.54343,2168.38,299.7315,1835.17,505.2392,23000.82722
2019-06-25,4060.35016,2170.18,300.198,1836.79,505.9553,22789.40561
2019-06-26,4050.60751,2164.67,299.9788,1834.71,504.3838,22749.33735
2019-06-27,4070.99632,2170.54,300.0848,1835.64,504.7363,22857.95731
2019-06-28,4088.60546,2171.71,300.4465,1837.76,505.5858,22978.08736
2019-07-01,4117.19368,2169.07,301.4895,1840.18,504.3752,23162.08889
2019-07-02,4120.78386,2175.11,301.7549,1839.81,504.9447,23192.45101
2019-07-03,4141.61414,2178.51,303.1642,1843.4,506.4321,23360.20603
2019-07-04,4140.84287,2178.51,303.3569,1843.4,506.5629,23360.20603
2019-07-05,4127.94003,2168.5,302.4311,1844.91,503.5131,23312.63828
2019-07-08,4105.23178,2170.6,302.5508,1841.42,503.4332,23209.13645
2019-07-09,4107.7437,2167.83,302.1989,1841.71,502.6107,23270.9103
2019-07-10,4126.9086,2168.14,301.6723,1840.58,502.9167,23397.4268
2019-07-11,4139.36431,2162.29,300.9616,1847.57,502.3385,23465.896
2019-07-12,4150.89834,2163.87,300.4834,1844.46,502.4014,23582.1475
2019-07-15,4157.85611,2165.98,301.5538,1846.06,503.2827,23592.02181
2019-07-16,4143.86976,2163.14,301.9513,1846.04,502.3201,23484.3831
2019-07-17,4122.47999,2170.0,302.6046,1844.77,503.5834,23319.36255
2019-07-18,4123.42844,2172.79,303.0145,1847.95,504.4382,23412.17585
2019-07-19,4114.84411,2172.01,303.0714,1847.29,504.6519,23239.58491
2019-07-22,4119.80558,2173.6,303.2866,1848.03,504.8808,23314.27831
2019-07-23,4140.39906,2170.96,303.5617,1848.58,503.5711,23474.52398
2019-07-24,4155.81587,2174.09,304.408,1850.24,504.463,23595.74771
2019-07-25,4137.76819,2171.49,304.1745,1853.87,503.826,23473.68105
2019-07-26,4152.02953,2171.34,304.2758,1853.03,503.0467,23660.1071
2019-07-29,4146.48627,2174.32,304.6573,1854.84,503.1125,23628.21476
2019-07-30,4131.80118,2173.33,304.6969,1856.01,503.0906,23576.32559
2019-07-31,4104.77145,2176.49,305.5227,1857.13,504.1809,23331.30875
2019-08-01,4074.67243,2190.6,305.8931,1854.98,504.794,23118.40019
2019-08-02,4026.41743,2192.69,306.489,1863.46,507.1935,22948.56894
2019-08-05,3932.01298,2203.56,306.881,1866.7,510.0874,22305.32187
2019-08-06,3950.54826,2204.15,307.3768,1866.64,510.1251,22589.61868
2019-08-07,3960.77177,2210.01,308.8856,1873.88,512.4631,22619.34354
2019-08-08,4019.29295,2206.93,307.7929,1872.72,511.1306,23035.50703
2019-08-09,3999.87896,2205.23,306.9951,1874.01,511.3659,22890.09636
2019-08-12,3969.1517,2215.71,307.6455,1876.19,513.1366,22626.47517
2019-08-13,3994.39808,2210.75,308.4262,1878.98,511.7882,22959.06626
2019-08-14,3912.4948,2220.21,309.5587,1881.29,513.5523,22288.7679
2019-08-15,3903.44977,2226.25,311.3464,1884.87,514.7637,22326.89256
2019-08-16,3950.24957,2226.25,310.6538,1887.26,514.0519,22655.05064
2019-08-19,3994.24768,2219.53,309.7726,1885.47,512.4882,22939.835
2019-08-20,3973.1239,2224.23,310.6563,1887.38,513.466,22747.53973
2019-08-21,4001.07575,2222.94,310.4342,1887.17,513.2792,22935.42716
2019-08-22,3990.1214,2219.02,309.6301,1887.81,512.2655,22917.38947
2019-08-23,3929.16054,2228.11,310.1199,1885.35,514.1447,22331.30728
2019-08-26,3941.948,2225.51,310.1199,1891.99,514.1783,22582.90597
2019-08-27,3943.82145,2232.35,311.5378,1893.62,515.463,22514.87235
2019-08-28,3954.53639,2235.1,312.5396,1896.98,515.8996,22654.44533
2019-08-29,3992.89463,2230.85,312.2268,1897.7,514.8742,22948.00943
2019-08-30,4005.99169,2232.89,312.0743,1895.44,514.4333,22947.54344
2019-09-02,4003.5828,2232.89,311.8909,1895.44,513.5329,22947.54344
2019-09-03,3982.3313,2236.96,312.644,1899.38,514.7697,22793.58498
2019-09-04,4026.44475,2238.57,311.9166,1900.39,515.3751,23029.5512
2019-09-05,4072.3872,2226.31,310.0015,1901.05,512.5956,23326.7808
2019-09-06,4082.44095,2229.46,311.0541,1894.85,513.6817,23348.32046
2019-09-09,4082.96762,2222.15,309.6094,1895.86,511.977,23346.7214
2019-09-10,4084.27971,2212.05,309.0555,1892.74,509.9557,23358.71554
2019-09-11,4112.9005,2210.06,309.4476,1886.48,508.7889,23525.19055
2019-09-12,4120.36051,2204.27,309.6724,1885.85,508.6406,23551.39004
2019-09-13,4128.39991,2192.49,307.9185,1880.97,506.6721,23531.02232
2019-09-16,4109.06098,2199.62,308.8427,1875.4,506.8869,23439.25046
2019-09-17,4116.76821,2202.35,308.4379,1878.22,507.5328,23509.98426
2019-09-18,4121.41738,2205.95,309.323,1885.49,508.7137,23545.10128
2019-09-19,4125.26487,2208.97,309.1732,1884.04,509.3803,23545.87181
2019-09-20,4119.13371,2211.7,309.3664,1887.15,509.2255,23450.34863
2019-09-23,4110.78885,2217.19,311.0198,1893.44,510.7319,23452.56342
2019-09-24,4090.83679,2224.1,311.3865,1892.82,511.886,23262.00058
2019-09-25,4090.89525,2212.67,311.139,1894.11,509.6049,23397.50047
2019-09-26,4090.08075,2218.49,311.1379,1889.07,509.9129,23336.50123
2019-09-27,4074.82321,2219.97,311.0204,1889.09,509.7306,23221.02596
2019-09-30,4081.43447,2221.0,311.169,1889.59,509.2007,23334.96253
2019-10-01,4046.35888,2224.72,310.9484,1888.65,509.0897,23059.20465
2019-10-02,3980.86759,2228.21,310.3691,1895.33,510.175,22647.52523
2019-10-03,3998.3449,2235.38,311.2164,1898.23,512.7702,22826.03365
2019-10-04,4038.48183,2238.05,311.225,1903.56,513.0557,23155.56644
2019-10-07,4033.4623,2233.87,311.0198,1903.97,512.623,23048.63609
2019-10-08,3988.242,2235.18,311.3844,1903.69,512.0402,22694.31986
2019-10-09,4010.75467,2230.05,310.6797,1900.62,511.1154,22904.44464
2019-10-10,4031.03085,2222.815,309.3806,1899.52,509.751,23039.05258
2019-10-11,4087.78529,2215.03,308.9423,1893.9,508.7718,23298.79788
2019-10-14,4084.15371,2215.03,309.3579,1893.9,508.9269,23268.26029
2019-10-15,4120.15821,2214.49,308.6915,1896.72,508.6062,23498.71306
2019-10-16,4120.70239,2216.89,308.5004,1893.82,508.8316,23453.81908
2019-10-17,4133.29816,2216.121,308.6649,1892.66,509.8869,23516.81918
2019-10-18,4119.4017,2217.23,308.3198,1892.6,510.319,23419.87074
2019-10-21,4145.3429,2213.543,307.5422,1891.98,509.6642,23583.80966
2019-10-22,4139.10515,2216.81,308.3629,1893.12,510.1345,23496.95037
2019-10-23,4143.62691,2217.36,308.7748,1896.28,510.213,23560.24403
2019-10-24,4156.68082,2217.15,309.0038,1894.27,510.3962,23593.14788
2019-10-25,4168.09688,2213.861,308.3728,1893.92,509.4625,23691.35141
2019-10-28,4186.50711,2209.6,307.6342,1891.33,508.0721,23827.83703
2019-10-29,4188.70714,2211.87,308.0448,1892.06,508.7274,23808.61022
2019-10-30,4195.67495,2215.86,308.0289,1891.75,509.3415,23885.76277
2019-10-31,4188.71499,2227.69,309.0227,1896.31,512.5915,23808.39528
2019-11-01,4222.16534,2224.32,308.4148,1899.03,512.4097,24034.76029
2019-11-04,4244.79783,2219.05,308.0685,1897.13,511.0126,24123.17068
2019-11-05,4242.56317,2210.56,307.7707,1892.04,508.1035,24084.72831
2019-11-06,4241.38205,2216.57,307.9063,1889.68,508.5848,24081.3417
2019-11-07,4252.28335,2205.26,306.4747,1888.46,506.042,24146.46979
2019-11-08,4251.13088,2204.91,306.4565,1884.54,505.4205,24204.89754
2019-11-11,4241.83014,2204.91,306.0637,1884.54,505.5027,24159.55766
2019-11-12,4250.1181,2208.51,306.1399,1884.38,505.3063,24202.30515
2019-11-13,4243.3846,2212.41,306.8412,1888.26,506.4411,24229.11784
2019-11-14,4236.48231,2218.29,307.1077,1890.54,507.5225,24242.89694
2019-11-15,4267.1025,2216.741,307.1821,1890.79,508.0055,24421.34405
2019-11-18,4274.42812,2219.53,307.3611,1891.38,509.0492,24438.62643
2019-11-19,4275.55834,2221.914,307.2727,1893.66,509.3162,24425.70509
2019-11-20,4255.0773,2226.22,307.4797,1896.88,509.6183,24324.63204
2019-11-21,4241.73108,2222.83,307.1128,1895.82,509.2571,24272.78634
2019-11-22,4251.10268,2223.16,307.6229,1896.36,508.5878,24335.21999
