date,MXWD Index,LBUSTRUU Index,LBEATRUH Index,JPEIJACC Index,LEGATRUU Index,SPX Index
2018-12-31,3568.83729,2046.6,280.6477,1687.08,478.9153,19634.15057
2019-01-01,3569.26902,2046.6,280.6477,1687.08,478.9153,19634.15057
2019-01-02,3561.40668,2049.21,281.4794,1690.5,478.89603,19667.59107
2019-01-03,3509.8092,2060.54,281.0055,1691.05,481.80358,19168.93701
2019-01-04,3603.4927,2050.97,280.314,1695.22,480.90027,19836.99032
2019-01-07,3635.66529,2050.39,280.0837,1695.89,481.24266,19978.60593
2019-01-08,3662.73635,2047.83,279.7614,1696.23,480.13809,20179.77023
2019-01-09,3695.66039,2047.91,280.1866,1697.97,481.53188,20258.33152
2019-01-10,3709.20966,2046.72,280.4337,1700.78,481.75535,20352.46432
2019-01-11,3710.2512,2050.23,280.7535,1700.97,481.7176,20354.15915
2019-01-14,3692.78856,2049.06,281.1947,1703.38,481.9055,20254.11893
2019-01-15,3724.44042,2049.11,281.4965,1703.78,481.43012,20473.36599
2019-01-16,3731.05287,2048.46,281.6226,1704.66,480.77376,20518.33391
2019-01-17,3746.15232,2048.01,281.512,1707.63,480.29658,20674.36147
2019-01-18,3792.20731,2046.35,281.5682,1707.56,479.50766,20947.17974
2019-01-21,3793.14829,2046.35,281.6176,1707.56,479.49324,20947.17974
2019-01-22,3753.3633,2051.87,282.0128,1710.49,480.39819,20656.41695
2019-01-23,3756.30391,2050.4,282.1694,1712.94,480.68976,20703.76794
2019-01-24,3764.73024,2055.37,283.094,1717.73,481.51195,20731.19271
2019-01-25,3801.25908,2052.4,283.1523,1720.98,482.06252,20905.57515
2019-01-28,3778.65773,2053.77,283.0854,1719.48,482.9563,20744.17587
2019-01-29,3780.04306,2057.54,283.2644,1718.07,483.1108,20713.704
2019-01-30,3818.30431,2060.17,283.44,1720.06,483.3393,21033.10536
2019-01-31,3854.35098,2068.34,284.0934,1729.88,486.2068,21218.80229
2019-02-01,3856.38167,2063.18,283.6267,1733.62,484.99,21238.68222
2019-02-04,3868.88226,2060.87,283.5222,1730.08,483.5224,21380.96494
2019-02-05,3893.17478,2064.7,283.6116,1728.78,483.7814,21480.81551
2019-02-06,3884.56817,2064.98,283.6347,1731.25,483.5089,21433.03154
2019-02-07,3848.5529,2069.0,283.8824,1733.08,483.7439,21235.72738
2019-02-08,3835.33187,2071.09,283.9614,1733.33,483.8571,21250.62988
2019-02-11,3836.88595,2068.68,283.965,1733.75,482.2422,21265.96844
2019-02-12,3879.59359,2067.15,283.9308,1732.95,482.13,21542.28788
2019-02-13,3892.30847,2065.1,284.1951,1735.7,481.6461,21607.70656
2019-02-14,3881.70458,2069.25,284.503,1736.84,482.0007,21546.29246
2019-02-15,3910.07845,2069.13,284.43,1737.33,482.1927,21782.35368
2019-02-18,3922.74842,2069.13,284.6243,1737.33,482.8953,21782.35368
2019-02-19,3928.80684,2072.02,284.769,1739.51,483.801,21816.94636
2019-02-20,3947.50711,2071.32,284.7895,1741.89,484.0151,21857.66724
2019-02-21,3936.71126,2067.2,284.5002,1741.22,483.4003,21774.20587
2019-02-22,3956.87169,2071.35,284.856,1740.16,483.9318,21918.54976
2019-02-25,3968.90875,2070.41,285.0845,1742.58,483.9493,21945.26934
2019-02-26,3967.65003,2073.92,285.1843,1743.03,484.7054,21928.76232
2019-02-27,3967.04987,2068.47,284.6092,1744.72,484.0352,21918.50757
2019-02-28,3952.22201,2067.14,284.5477,1744.55,483.40822000000003,21857.6896
2019-03-01,3969.49572,2063.07,284.447,1743.15,482.215,22005.3217
2019-03-04,3960.66292,2066.92,284.9005,1743.32,481.8395,21921.04497
2019-03-05,3956.83691,2067.21,285.0068,1744.3,481.5663,21898.19457
2019-03-06,3942.35246,2070.01,285.7404,1745.91,482.662,21755.32821
2019-03-07,3908.10535,2075.77,286.9396,1748.72,483.1097,21578.55071
2019-03-08,3885.00814,2077.11,286.9554,1749.9,483.40359,21532.82519
2019-03-11,3929.22977,2076.04,286.9594,1750.84,483.3979,21848.62667
2019-03-12,3948.41021,2081.23,286.9609,1752.25,484.4679,21913.15285
2019-03-13,3968.52589,2080.62,286.9148,1755.46,485.1911,22065.722
