,history_date,history_value
0,2012-12-30,1.0000
1,2012-12-31,1.0000
2,2013-01-31,1.0067
3,2013-02-28,1.0023
4,2013-03-31,0.9986
5,2013-04-30,1.0081
6,2013-05-31,1.0026
7,2013-06-30,0.9525
8,2013-07-31,0.9851
9,2013-08-31,0.9786
10,2013-09-30,1.0082
11,2013-10-31,1.0331
12,2013-11-30,1.0399
13,2013-12-31,1.0353
14,2014-01-31,1.0185
15,2014-02-28,1.0502
16,2014-03-31,1.0471
17,2014-04-30,1.0554
18,2014-05-31,1.0758
19,2014-06-30,1.0850
20,2014-07-31,1.0975
21,2014-08-31,1.1072
22,2014-09-30,1.0835
23,2014-10-31,1.0931
24,2014-11-30,1.1120
25,2014-12-31,1.1364
26,2015-01-31,1.1461
27,2015-02-28,1.1649
28,2015-03-31,1.1694
29,2015-04-30,1.2109
30,2015-05-31,1.2056
31,2015-06-30,1.1782
32,2015-07-31,1.1561
33,2015-08-31,1.1078
34,2015-09-30,1.0889
35,2015-10-31,1.1460
36,2015-11-30,1.1348
37,2015-12-31,1.1307
38,2016-01-31,1.0870
39,2016-02-29,1.0985
40,2016-03-31,1.1488
41,2016-04-30,1.1601
42,2016-05-31,1.1585
43,2016-06-30,1.1553
44,2016-07-31,1.1923
45,2016-08-31,1.2043
46,2016-09-30,1.2033
47,2016-10-31,1.1919
48,2016-11-30,1.1795
49,2016-12-31,1.1733
50,2017-01-31,1.2104
51,2017-02-28,1.2300
52,2017-03-31,1.2410
53,2017-04-30,1.2607
54,2017-05-31,1.2886
55,2017-06-30,1.2993
56,2017-07-31,1.3284
57,2017-08-31,1.3432
58,2017-09-30,1.3462
59,2017-10-31,1.3657
60,2017-11-30,1.3785
61,2017-12-31,1.4002
62,2018-01-31,1.4497
63,2018-02-28,1.4061
64,2018-03-31,1.3884
65,2018-04-04,1.3803
66,2018-04-06,1.3898
67,2018-04-09,1.3936
68,2018-04-10,1.4009
69,2018-04-11,1.4030
70,2018-04-12,1.3990
71,2018-04-13,1.4023
72,2018-04-16,1.3980
73,2018-04-17,1.3994
74,2018-04-18,1.4083
75,2018-04-19,1.4104
76,2018-04-20,1.4016
77,2018-04-23,1.3914
78,2018-04-24,1.3955
79,2018-04-25,1.3885
80,2018-04-26,1.3818
81,2018-04-27,1.3915
82,2018-04-30,1.3928
83,2018-05-02,1.3910
84,2018-05-03,1.3870
85,2018-05-04,1.3846
86,2018-05-07,1.3895
87,2018-05-08,1.3901
88,2018-05-09,1.3923
89,2018-05-10,1.4000
90,2018-05-11,1.4042
91,2018-05-14,1.4082
92,2018-05-15,1.4035
93,2018-05-16,1.3993
94,2018-05-17,1.3989
95,2018-05-18,1.3998
96,2018-05-21,1.3987
97,2018-05-23,1.3927
98,2018-05-24,1.3979
99,2018-05-25,1.3967
100,2018-05-28,1.3976
101,2018-05-29,1.3892
102,2018-05-30,1.3865
103,2018-05-31,1.3946
104,2018-06-01,1.3921
105,2018-06-04,1.3997
106,2018-06-05,1.4004
107,2018-06-06,1.4041
108,2018-06-07,1.4095
109,2018-06-08,1.4006
110,2018-06-11,1.4043
111,2018-06-12,1.4088
112,2018-06-13,1.4048
113,2018-06-14,1.4008
114,2018-06-15,1.3980
115,2018-06-19,1.3854
116,2018-06-20,1.3898
117,2018-06-21,1.3807
118,2018-06-22,1.3811
119,2018-06-25,1.3714
120,2018-06-26,1.3670
121,2018-06-27,1.3603
122,2018-06-28,1.3606
123,2018-06-29,1.3705
124,2018-07-03,1.3610
125,2018-07-04,1.3586
126,2018-07-05,1.3603
127,2018-07-06,1.3623
128,2018-07-09,1.3743
129,2018-07-10,1.3773
130,2018-07-11,1.3677
131,2018-07-12,1.3695
132,2018-07-13,1.3758
133,2018-07-16,1.3751
134,2018-07-17,1.3720
135,2018-07-18,1.3711
136,2018-07-19,1.3703
137,2018-07-20,1.3695
138,2018-07-23,1.3680
139,2018-07-24,1.3708
140,2018-07-25,1.3757
141,2018-07-26,1.3782
142,2018-07-27,1.3790
143,2018-07-30,1.3727
144,2018-07-31,1.3721
145,2018-08-01,1.3694
146,2018-08-02,1.3587
147,2018-08-03,1.3601
148,2018-08-06,1.3627
149,2018-08-07,1.3729
150,2018-08-08,1.3713
151,2018-08-09,1.3740
152,2018-08-10,1.3654
153,2018-08-13,1.3582
154,2018-08-14,1.3567
155,2018-08-15,1.3519
156,2018-08-16,1.3481
