date,SPX Index,CSIN0301 Index,HSI Index,MXWD Index
2018/9/21,2929.67,5045.74,3579.20359,527.86
2018/9/22,2929.67,5045.74,3579.20359,527.86
2018/9/23,2929.67,5045.74,3579.20359,527.86
2018/9/24,2919.37,5045.74,3520.91341,525.87
2018/9/25,2915.56,4981.2,3520.91341,526.09
2018/9/26,2905.97,5026.7,3562.47455,525.28
2018/9/27,2914,5008.1,3547.06093,525.44
2018/9/28,2913.98,5052.5,3551.02166,524.25
