,history_date,history_value
227,2018-11-28,1.4160
228,2018-11-29,1.4217
229,2018-11-30,1.4255
230,2018-12-03,1.4508
231,2018-12-04,1.4415
232,2018-12-05,1.4283
233,2018-12-06,1.4142
234,2018-12-07,1.4128
235,2018-12-10,1.3985
236,2018-12-11,1.4029
237,2018-12-12,1.4091
238,2018-12-13,1.4169
239,2018-12-14,1.4040
240,2018-12-17,1.3940
241,2018-12-18,1.3878
242,2018-12-19,1.3840
243,2018-12-20,1.3769
244,2018-12-21,1.3759
245,2018-12-24,1.3690
246,2018-12-27,1.3712
247,2018-12-28,1.3778
248,2018-12-31,1.3862
249,2019-01-02,1.3722
250,2019-01-03,1.3689
251,2019-01-04,1.3766
252,2019-01-07,1.3913
253,2019-01-08,1.3930
254,2019-01-09,1.4035
255,2019-01-10,1.4090
256,2019-01-11,1.4153
257,2019-01-14,1.4084
258,2019-01-15,1.4193
259,2019-01-16,1.4197
260,2019-01-17,1.4170
261,2019-01-18,1.4255
262,2019-01-21,1.4303
263,2019-01-22,1.4252
264,2019-01-23,1.4249
265,2019-01-24,1.4253
266,2019-01-25,1.4312
267,2019-01-28,1.4354
268,2019-01-29,1.4313
269,2019-01-30,1.4306
270,2019-01-31,1.4472
271,2019-02-01,1.4550
272,2019-02-04,1.4549
273,2019-02-05,1.4549
274,2019-02-06,1.4549
275,2019-02-07,1.4549
276,2019-02-08,1.4503
277,2019-02-11,1.4559
278,2019-02-12,1.4601
279,2019-02-13,1.4712
280,2019-02-14,1.4704
281,2019-02-15,1.4608
282,2019-02-18,1.4795
283,2019-02-19,1.4807
284,2019-02-20,1.4807
