,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown
SmartGlobal Max-Growth,0.299820588,0.09134267332047963,0.07979207847241125,0.8470311165518536,-0.13312732253112558
Benchmark-Growth,0.223343785,0.06950505102429361,0.06441594776386034,0.7102084594330893,-0.13659775984935785
