symbol,weight
600971.SH,0.054566760821330274
000541.SZ,0.02959227305422548
000100.SZ,0.03609814644425395
600743.SH,0.029134711332394172
002002.SZ,0.02980262957491929
600393.SH,0.09053091675794309
002503.SZ,0.01152333787960704
000587.SZ,0.010979948329287332
000848.SZ,0.011350201878216696
601225.SH,0.020989038584430766
000338.SZ,0.02001032854283625
300039.SZ,0.01085353364228792
600565.SH,0.011024939114216927
000581.SZ,0.013071808445209429
601000.SH,0.012141356065450876
000060.SZ,0.08811759755301923
000425.SZ,0.014212218762590012
600366.SH,0.010826530563728344
002004.SZ,0.011534095877040504
002191.SZ,0.01160642414579279
603328.SH,0.011566885416593174
000006.SZ,0.01111681351283975
002128.SZ,0.011966923886341314
000778.SZ,0.012726033035087023
000718.SZ,0.011522081087275962
601678.SH,0.08509566530357734
002344.SZ,0.0108877556991752
000667.SZ,0.010799037273268116
600068.SH,0.015237165574765812
000656.SZ,0.013837344743623841
002839.SZ,0.08572643409818016
600578.SH,0.013287489956793292
601128.SH,0.01182642936009741
600611.SH,0.011377509169047773
600348.SH,0.01218361194582594
600694.SH,0.011289075318323748
600409.SH,0.08832437475187183
600312.SH,0.010994019969062218
600816.SH,0.01592879094946143
600598.SH,0.01233976158000848
