,Total Return,Return p.a.,Volatility,Sharpe Ratio,Max Drawdown,Max Daily Drop,Calmar Ratio,99% VaR,Total Return_1825,Return p.a._1825,Volatility_1825,Sharpe Ratio_1825,Max Drawdown_1825,Max Daily Drop_1825,Calmar Ratio_1825,99% VaR_1825,Total Return_1095,Return p.a._1095,Volatility_1095,Sharpe Ratio_1095,Max Drawdown_1095,Max Daily Drop_1095,Calmar Ratio_1095,99% VaR_1095,Total Return_365,Return p.a._365,Volatility_365,Sharpe Ratio_365,Max Drawdown_365,Max Daily Drop_365,Calmar Ratio_365,99% VaR_365,Total Return_YTD,Return p.a._YTD,Volatility_YTD,Sharpe Ratio_YTD,Max Drawdown_YTD,Max Daily Drop_YTD,Calmar Ratio_YTD,99% VaR_YTD,Total Return_180,Return p.a._180,Volatility_180,Sharpe Ratio_180,Max Drawdown_180,Max Daily Drop_180,Calmar Ratio_180,99% VaR_180,Total Return_90,Return p.a._90,Volatility_90,Sharpe Ratio_90,Max Drawdown_90,Max Daily Drop_90,Calmar Ratio_90,99% VaR_90,Total Return_30,Return p.a._30,Volatility_30,Sharpe Ratio_30,Max Drawdown_30,Max Daily Drop_30,Calmar Ratio_30,99% VaR_30,Total Return2016,Return p.a.2016,Volatility2016,Sharpe Ratio2016,Max Drawdown2016,Max Daily Drop2016,Calmar Ratio2016,99% VaR2016,Total Return2017,Return p.a.2017,Volatility2017,Sharpe Ratio2017,Max Drawdown2017,Max Daily Drop2017,Calmar Ratio2017,99% VaR2017,Total Return2018,Return p.a.2018,Volatility2018,Sharpe Ratio2018,Max Drawdown2018,Max Daily Drop2018,Calmar Ratio2018,99% VaR2018,Total Return2019,Return p.a.2019,Volatility2019,Sharpe Ratio2019,Max Drawdown2019,Max Daily Drop2019,Calmar Ratio2019,99% VaR2019
MARKET_CAP',1.198811688,0.151475885,0.234608323,0.645654353,-0.366062936,-0.061347563,0.413797384,-0.033609346,1.0170269,0.150647606,0.236509849,0.636961234,-0.366062936,-0.061347563,0.411534714,-0.033889023,0.534149343,0.153336083,0.257763446,0.594871326,-0.366062936,-0.061347563,0.418879018,-0.036967116,0.335554414,0.335554414,0.279707204,1.19966311,-0.233861469,-0.061347563,1.434842669,-0.039565149,0.229308292,0.424439843,0.333390613,1.27310076,-0.233861469,-0.061347563,1.81491994,-0.047089108,0.267015548,0.6159166,0.345747724,1.781404643,-0.215641088,-0.061347563,2.856211707,-0.048413748,0.252189849,1.489469654,0.334223758,4.45650442,-0.07930005,-0.061347563,18.78270768,-0.045107521,0.075397142,1.421519744,0.417023738,3.408726202,-0.07930005,-0.061347563,17.92583671,-0.057309033,0.129774978,0.129774978,0.216747046,0.598739315,-0.161974656,-0.061347563,0.801205455,-0.031087891,0.619550303,0.621696954,0.152081702,4.087914243,-0.086588012,-0.061347563,7.179942555,-0.020242175,-0.229693171,-0.230245237,0.280912808,-0.819632394,-0.366062936,-0.061347563,-0.628977191,-0.041946202,0.316228431,0.31722238,0.200739389,1.580269725,-0.112090303,-0.061347563,2.830060874,-0.028149136
NIexACConNI',0.103569243,0.01779784,0.289854492,0.061402673,-0.561937666,-0.109865159,0.031672268,-0.042123826,-0.110138259,-0.023067614,0.261029441,-0.088371694,-0.46047617,-0.109865159,-0.050095131,-0.038107138,-0.047276579,-0.016013937,0.266778201,-0.060027157,-0.46047617,-0.109865159,-0.034776907,-0.038911971,0.021330747,0.021330747,0.315396715,0.06763148,-0.349310506,-0.109865159,0.061065288,-0.045812813,0.079300197,0.139706613,0.369114462,0.378491301,-0.349310506,-0.109865159,0.399949645,-0.05315629,0.124301642,0.26817475,0.378468891,0.708578053,-0.322176911,-0.109865159,0.832383516,-0.054106625,0.072123644,0.326354962,0.318758665,1.023830873,-0.118154206,-0.109865159,2.762110403,-0.04531542,0.086666168,1.748968581,0.449276475,3.892855909,-0.118154206,-0.109865159,14.80242335,-0.061493171,-0.198351295,-0.198351295,0.242478786,-0.818015045,-0.241550302,-0.109865159,-0.821159376,-0.036219306,0.303848965,0.304799691,0.162754761,1.872754379,-0.14082578,-0.109865159,2.164374239,-0.022663427,-0.069651747,-0.069836255,0.22107433,-0.315894909,-0.183085382,-0.109865159,-0.381440913,-0.032502337,-0.081944985,-0.082160596,0.271824136,-0.302256443,-0.287836831,-0.109865159,-0.285441568,-0.039924327
NIexACConNI_TTM',0.607985291,0.0887456,0.279277433,0.317768606,-0.445375636,-0.1267415,0.199260115,-0.04031857,0.640340717,0.104045096,0.244835818,0.42495864,-0.333346769,-0.1267415,0.312122707,-0.035264359,-0.023727009,-0.007972393,0.248760137,-0.032048516,-0.333346769,-0.1267415,-0.023916215,-0.03626459,0.083496136,0.083496136,0.276255448,0.302242495,-0.293467215,-0.1267415,0.28451606,-0.039902788,0.082066159,0.144716261,0.314090015,0.460747728,-0.293467215,-0.1267415,0.493125818,-0.045171026,0.182584834,0.405036899,0.307404033,1.317604378,-0.24588587,-0.1267415,1.64725569,-0.043418276,0.058997375,0.261718827,0.263071326,0.994858814,-0.073150031,-0.1267415,3.577836191,-0.03742923,0.058570492,0.998744889,0.312379965,3.197211735,-0.073150031,-0.1267415,13.65337623,-0.042877848,0.120017557,0.120017557,0.232658529,0.515852813,-0.221912997,-0.1267415,0.540831579,-0.033434216,0.274925947,0.275776957,0.184636445,1.49362146,-0.132727885,-0.1267415,2.077762001,-0.025936645,-0.174667202,-0.175102356,0.229138725,-0.76417618,-0.268818279,-0.1267415,-0.65137816,-0.034154822,0.056834119,0.056994624,0.237494265,0.23998316,-0.263041802,-0.1267415,0.216675158,-0.034374339
NIexACConASSET',0.376023358,0.058803361,0.274569773,0.214165456,-0.498587212,-0.138455347,0.117939969,-0.039746981,0.415418536,0.07195604,0.263768377,0.272800102,-0.498587212,-0.138455347,0.144319867,-0.03812988,0.066077092,0.021557626,0.288158773,0.074811626,-0.498587212,-0.138455347,0.043237424,-0.041862695,0.156955317,0.156955317,0.304283687,0.515819033,-0.282348312,-0.138455347,0.555892529,-0.043703026,0.216948164,0.399985433,0.347022041,1.152622559,-0.282348312,-0.138455347,1.416638303,-0.049132152,0.234408293,0.532703624,0.34623712,1.538551453,-0.240286078,-0.138455347,2.216955837,-0.048691893,0.203224494,1.117631362,0.299835685,3.72747948,-0.094607459,-0.138455347,11.8133536,-0.04074936,0.046513272,0.738712103,0.355069205,2.080473587,-0.094607459,-0.138455347,7.808180392,-0.049583636,-0.007841823,-0.007841823,0.245070204,-0.031998273,-0.179212078,-0.138455347,-0.043757225,-0.035725334,0.545711224,0.547561597,0.184818397,2.96270071,-0.107858158,-0.138455347,5.076682251,-0.025192603,-0.377501979,-0.378312092,0.288187058,-1.312731023,-0.449796307,-0.138455347,-0.841074252,-0.043854166,0.133031309,0.133420144,0.271747322,0.490971331,-0.311331472,-0.138455347,0.428546923,-0.039064904
NIexACConASSET_TTM',0.525814133,0.078570412,0.269668154,0.291359624,-0.42046908,-0.120490692,0.18686371,-0.038961378,0.505232642,0.085227338,0.269430456,0.316324068,-0.42046908,-0.120490692,0.202695851,-0.038902377,0.269329808,0.082741608,0.289287244,0.28601886,-0.42046908,-0.120490692,0.196784049,-0.041793954,0.220238306,0.220238306,0.298117233,0.738764088,-0.332856536,-0.120490692,0.661661352,-0.042599089,0.106603193,0.18955688,0.339451928,0.558420396,-0.332856536,-0.120490692,0.569485227,-0.048692253,0.17576726,0.388660546,0.334569247,1.161674452,-0.257756974,-0.120490692,1.507856567,-0.047399266,0.11751237,0.569242431,0.268103068,2.123222366,-0.076968166,-0.120490692,7.39581654,-0.037329926,-0.001184517,-0.014316691,0.319412245,-0.044821986,-0.076968166,-0.120490692,-0.186007955,-0.046538576,0.057867145,0.057867145,0.25275372,0.228946759,-0.175356243,-0.120490692,0.329997633,-0.036581323,0.515278244,0.517009309,0.195613799,2.643010427,-0.135064433,-0.120490692,3.82787162,-0.026835437,-0.339842273,-0.340594998,0.299438274,-1.137446438,-0.42046908,-0.120490692,-0.810035777,-0.045251867,0.453963235,0.455459082,0.259430025,1.755614375,-0.205166139,-0.120490692,2.219952492,-0.036271075
ASSETGROWTH',0.539842993,0.080338939,0.344578404,0.233151406,-0.547448688,-0.126762071,0.146751542,-0.049817313,0.250373075,0.045701961,0.283857162,0.161003376,-0.422162641,-0.126762071,0.108256764,-0.04114442,0.320458242,0.097088234,0.307277307,0.315962915,-0.422162641,-0.126762071,0.229978269,-0.044348658,0.147730431,0.147730431,0.302492614,0.488376986,-0.292417443,-0.126762071,0.505203894,-0.043477285,0.094180688,0.16676549,0.354454052,0.470485495,-0.272239437,-0.126762071,0.612569184,-0.050940534,0.151859248,0.332000434,0.356220091,0.93200929,-0.243163284,-0.126762071,1.365339486,-0.050695149,0.151982795,0.774997058,0.281907723,2.749116092,-0.080199941,-0.126762071,9.663312049,-0.038864326,0.051720671,0.846949343,0.326263461,2.595906204,-0.067709522,-0.126762071,12.50857073,-0.045184213,-0.049178665,-0.049178665,0.212264941,-0.231685294,-0.225582839,-0.126762071,-0.218007122,-0.031137156,0.447102151,0.448572116,0.153607888,2.920241416,-0.077195634,-0.126762071,5.810848225,-0.020917424,-0.277485289,-0.278130138,0.352923082,-0.788075793,-0.388566216,-0.126762071,-0.715785691,-0.052636375,0.286589363,0.287480369,0.27306949,1.052773668,-0.205391705,-0.126762071,1.399668839,-0.038744017
BVGROWTH',1.072184094,0.139314489,0.32525561,0.428323095,-0.564877437,-0.105313451,0.246627818,-0.046802218,0.697671063,0.11165675,0.278714731,0.400613018,-0.499803573,-0.105313451,0.223401263,-0.04015222,0.753591489,0.20589495,0.302604981,0.680408329,-0.499803573,-0.105313451,0.411951736,-0.043292362,0.577442719,0.577442719,0.306441475,1.884349102,-0.220861508,-0.105313451,2.614501391,-0.04278105,0.411491065,0.805056075,0.354565401,2.270543242,-0.220861508,-0.105313451,3.645071901,-0.049221582,0.431152547,1.068694999,0.360555081,2.964027012,-0.220861508,-0.105313451,4.838756245,-0.049609414,0.297660869,1.876945062,0.330829415,5.673452768,-0.074421805,-0.105313451,25.22036483,-0.044117443,0.108357202,2.496259001,0.40634015,6.143274296,-0.074415907,-0.105313451,33.54469626,-0.054381892,0.021495491,0.021495491,0.225787472,0.09520232,-0.243137647,-0.105313451,0.088408732,-0.032810247,0.408708712,0.41003551,0.158094575,2.593608982,-0.072234478,-0.105313451,5.676451462,-0.021673005,-0.357509216,-0.35828962,0.323339207,-1.108092097,-0.477215592,-0.105313451,-0.750791941,-0.048822347,0.485488548,0.487104462,0.290550194,1.676489885,-0.176768337,-0.105313451,2.755609233,-0.040699244
WORKING_CAPITAL',0.766544297,0.107229362,0.222067494,0.482868338,-0.332726874,-0.057797031,0.322274424,-0.031946116,0.48920774,0.082906741,0.216541292,0.382868042,-0.332726874,-0.057797031,0.249173562,-0.031233067,0.170354543,0.053834669,0.236598824,0.227535656,-0.332726874,-0.057797031,0.161798378,-0.034256764,0.044630572,0.044630572,0.273002485,0.16348046,-0.262703096,-0.057797031,0.169889783,-0.039576438,0.015050967,0.025929874,0.315478988,0.08219208,-0.262703096,-0.057797031,0.098704106,-0.045807285,0.097315207,0.207210801,0.323006091,0.64150741,-0.232613383,-0.057797031,0.890794838,-0.046268077,0.125785139,0.616890784,0.317109742,1.945354252,-0.079382699,-0.057797031,7.77109865,-0.044323138,0.096910188,2.081399592,0.382347009,5.443744933,-0.079382699,-0.057797031,26.21981389,-0.051389026,-0.040706658,-0.040706658,0.185874964,-0.219000223,-0.164389917,-0.057797031,-0.247622599,-0.027265495,0.684660775,0.687076403,0.139329778,4.931296194,-0.071882594,-0.057797031,9.558314023,-0.01822737,-0.17218045,-0.172610077,0.24647317,-0.700319947,-0.323717427,-0.057797031,-0.533212187,-0.036659507,0.134559045,0.134952606,0.194914022,0.692369921,-0.22279894,-0.057797031,0.605714758,-0.027901609
CURRENT_RATIO',-0.178455346,-0.034575792,0.261827907,-0.132055411,-0.609717172,-0.091640008,-0.056707919,-0.038271682,-0.363392802,-0.086361675,0.22981047,-0.375795214,-0.51336385,-0.091640008,-0.168227028,-0.033844395,-0.341667629,-0.13007515,0.234591607,-0.554474867,-0.51336385,-0.091640008,-0.253378087,-0.03473335,-0.22861395,-0.22861395,0.28705489,-0.796411968,-0.409932402,-0.091640008,-0.557686948,-0.042822303,-0.279423006,-0.4296795,0.34964171,-1.228913738,-0.408714307,-0.091640008,-1.051295472,-0.05308427,-0.184309656,-0.338403785,0.366996168,-0.922090787,-0.378444477,-0.091640008,-0.894196653,-0.054972376,0.007348778,0.030139676,0.300205558,0.100396797,-0.11993978,-0.091640008,0.251290075,-0.043584476,-0.00451097,-0.053522077,0.285213334,-0.187656294,-0.101611995,-0.091640008,-0.526729915,-0.041734406,-0.163459828,-0.163459828,0.208325572,-0.784636404,-0.204351827,-0.091640008,-0.799894134,-0.031085183,0.290887587,0.291793406,0.155132817,1.880926373,-0.111998873,-0.091640008,2.605324485,-0.021594422,-0.228732494,-0.229282609,0.225600712,-1.016320416,-0.305943765,-0.091640008,-0.7494273,-0.03391239,0.147944436,0.148379643,0.175084475,0.847474586,-0.185152166,-0.091640008,0.801392961,-0.024970757
QUICK_RATIO',0.192585138,0.032029981,0.340124851,0.094171247,-0.637111702,-0.126916204,0.050273729,-0.049356528,-0.044949297,-0.009155996,0.270542954,-0.033843039,-0.421198279,-0.126916204,-0.021737971,-0.039430057,0.125459932,0.040183625,0.279858389,0.143585565,-0.376244276,-0.126916204,0.106801957,-0.04058658,0.113884778,0.113884778,0.281960477,0.40390334,-0.264971779,-0.126916204,0.429799652,-0.040617432,0.132456603,0.237576834,0.335632059,0.70784905,-0.264971779,-0.126916204,0.89661184,-0.047974762,0.164810724,0.36254592,0.336318582,1.077983614,-0.214799604,-0.126916204,1.687833277,-0.047715388,0.234218754,1.347717873,0.36362531,3.706336811,-0.124099877,-0.126916204,10.85994532,-0.049587337,0.081840787,1.604078698,0.494517296,3.24372618,-0.124099877,-0.126916204,12.92570745,-0.068218724,-0.15184273,-0.15184273,0.243459957,-0.623686668,-0.247206225,-0.126916204,-0.614235057,-0.036132776,0.041131952,0.041247251,0.170282137,0.242228878,-0.227901077,-0.126916204,0.180987521,-0.024666928,-0.170189053,-0.170614239,0.326088563,-0.523214422,-0.376244276,-0.126916204,-0.453466669,-0.048195767,0.33639889,0.337463949,0.219765869,1.535561234,-0.142783083,-0.126916204,2.363472919,-0.030852152
