,datetime,timestamp,1093 HK Equity_pv,1169 HK Equity_pv,1177 HK Equity_pv,1347 HK Equity_pv,1349 HK Equity_pv,1789 HK Equity_pv,1810 HK Equity_pv,2018 HK Equity_pv,2020 HK Equity_pv,2238 HK Equity_pv,2331 HK Equity_pv,2382 HK Equity_pv,241 HK Equity_pv,268 HK Equity_pv,285 HK Equity_pv,3690 HK Equity_pv,3888 HK Equity_pv,522 HK Equity_pv,700 HK Equity_pv,777 HK Equity_pv,9618 HK Equity_pv,981 HK Equity_pv,992 HK Equity_pv,9988 HK Equity_pv,9999 HK Equity_pv,pv,1093 HK Equity_cost,1169 HK Equity_cost,1177 HK Equity_cost,1347 HK Equity_cost,1349 HK Equity_cost,1789 HK Equity_cost,1810 HK Equity_cost,2018 HK Equity_cost,2020 HK Equity_cost,2238 HK Equity_cost,2331 HK Equity_cost,2382 HK Equity_cost,241 HK Equity_cost,268 HK Equity_cost,285 HK Equity_cost,3690 HK Equity_cost,3888 HK Equity_cost,522 HK Equity_cost,700 HK Equity_cost,777 HK Equity_cost,9618 HK Equity_cost,981 HK Equity_cost,992 HK Equity_cost,9988 HK Equity_cost,9999 HK Equity_cost,1093 HK Equity_position,1169 HK Equity_position,1177 HK Equity_position,1347 HK Equity_position,1349 HK Equity_position,1789 HK Equity_position,1810 HK Equity_position,2018 HK Equity_position,2020 HK Equity_position,2238 HK Equity_position,2331 HK Equity_position,2382 HK Equity_position,241 HK Equity_position,268 HK Equity_position,285 HK Equity_position,3690 HK Equity_position,3888 HK Equity_position,522 HK Equity_position,700 HK Equity_position,777 HK Equity_position,9618 HK Equity_position,981 HK Equity_position,992 HK Equity_position,9988 HK Equity_position,9999 HK Equity_position
0,2014-12-31 23:59:59,1420070399,0.0,-79.29302564807585,-57.82314071554356,0.0,0.0,0.0,0.0,-80.08664322942786,-58.75006660785948,0.0,0.0,-37.51403158841458,0.0,0.0,-39.47547489947283,0.0,-72.6000427537474,0.0,-149.99999980636494,-37.5017162868935,0.0,0.0,-136.9558584642,0.0,0.0,-750.0,0.0,79.29302564807446,57.82314071554284,0.0,0.0,0.0,0.0,80.08664322942879,58.7500666078596,0.0,0.0,37.51403158841515,0.0,0.0,39.47547489947288,0.0,72.60004275374564,0.0,149.99999980636684,37.50171628689425,0.0,0.0,136.95585846419965,0.0,0.0,0.0,1541.1275850185398,9713.62270333368,0.0,0.0,0.0,0.0,707.4447565902883,1658.1340309727896,0.0,0.0,980.6978879886566,0.0,0.0,1870.9309366526984,0.0,1617.9640712307396,0.0,451.3023165714793,992.0456249318506,0.0,0.0,5995.313206775017,0.0,0.0
1,2015-01-02 23:59:59,1420243199,0.0,121.15974319027373,-140.06692119328,0.0,0.0,0.0,0.0,-304.96993741764527,-316.0557749947402,0.0,0.0,-205.7394539080633,0.0,0.0,504.4044597738339,0.0,84.55484979386165,0.0,-16.649999978501,-183.92091724302372,0.0,0.0,-47.43237898142252,0.0,0.0,-504.71633095870675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.1275850185398,9713.62270333368,0.0,0.0,0.0,0.0,707.4447565902883,1658.1340309727896,0.0,0.0,980.6978879886566,0.0,0.0,1870.9309366526984,0.0,1617.9640712307396,0.0,451.3023165714793,992.0456249318506,0.0,0.0,5995.313206775017,0.0,0.0
2,2015-01-05 23:59:59,1420502399,0.0,1237.950073568838,-194.8988550538961,0.0,0.0,0.0,0.0,-208.5902481590092,-487.5937932642264,0.0,0.0,-93.58877083228072,0.0,0.0,855.2947908828482,0.0,964.5550137900718,0.0,294.47756971984927,-293.7369823237932,0.0,0.0,-763.5609319480573,0.0,0.0,1310.3078663803444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.1275850185398,9713.62270333368,0.0,0.0,0.0,0.0,707.4447565902883,1658.1340309727896,0.0,0.0,980.6978879886566,0.0,0.0,1870.9309366526984,0.0,1617.9640712307396,0.0,451.3023165714793,992.0456249318506,0.0,0.0,5995.313206775017,0.0,0.0
3,2015-01-06 23:59:59,1420588799,0.0,751.134746646243,-140.07047759212946,0.0,0.0,0.0,0.0,-15.846342936263682,-144.53648675972363,0.0,0.0,-224.4360312566987,0.0,0.0,486.86042367834307,0.0,1058.8410783239851,0.0,3183.382351952685,-257.1264152033018,0.0,0.0,-674.0505406251832,0.0,0.0,4024.1523062279557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.1275850185398,9713.62270333368,0.0,0.0,0.0,0.0,707.4447565902883,1658.1340309727896,0.0,0.0,980.6978879886566,0.0,0.0,1870.9309366526984,0.0,1617.9640712307396,0.0,451.3023165714793,992.0456249318506,0.0,0.0,5995.313206775017,0.0,0.0
4,2015-01-07 23:59:59,1420675199,0.0,550.6814053731323,572.7829147733974,0.0,0.0,0.0,0.0,-272.8473473054182,-344.6595361643049,0.0,0.0,-785.1895188208036,0.0,0.0,1223.733646952167,0.0,1561.6957989200346,0.0,5138.957480277968,749.5060000632311,0.0,0.0,847.6736244113563,0.0,0.0,9242.33446848076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.1275850185398,9713.62270333368,0.0,0.0,0.0,0.0,707.4447565902883,1658.1340309727896,0.0,0.0,980.6978879886566,0.0,0.0,1870.9309366526984,0.0,1617.9640712307396,0.0,451.3023165714793,992.0456249318506,0.0,0.0,5995.313206775017,0.0,0.0
5,2015-01-08 23:59:59,1420761599,0.0,722.4915863155511,1148.554548313732,0.0,0.0,0.0,0.0,1526.1353341194153,-258.9016858452378,0.0,0.0,-1570.2397939295806,0.0,0.0,2258.8656403437144,0.0,1121.6858294173835,0.0,6427.853655549043,255.34090685564115,0.0,0.0,2727.4543473497833,0.0,0.0,14359.240368489445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.1275850185398,9713.62270333368,0.0,0.0,0.0,0.0,707.4447565902883,1658.1340309727896,0.0,0.0,980.6978879886566,0.0,0.0,1870.9309366526984,0.0,1617.9640712307396,0.0,451.3023165714793,992.0456249318506,0.0,0.0,5995.313206775017,0.0,0.0
6,2015-01-09 23:59:59,1420847999,0.0,1839.2812010681955,2711.3387819749405,0.0,0.0,0.0,0.0,2554.1122139071085,-516.1943346357293,0.0,0.0,-2018.8390002518154,0.0,0.0,2065.8716266471783,0.0,1058.8349366119146,0.0,6383.383462626662,182.13698783481414,0.0,0.0,2369.403588208923,0.0,0.0,16629.32946399219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.1275850185398,9713.62270333368,0.0,0.0,0.0,0.0,707.4447565902883,1658.1340309727896,0.0,0.0,980.6978879886566,0.0,0.0,1870.9309366526984,0.0,1617.9640712307396,0.0,451.3023165714793,992.0456249318506,0.0,0.0,5995.313206775017,0.0,0.0
7,2015-01-12 23:59:59,1421107199,0.0,2340.416775800848,2354.9167487704217,0.0,0.0,0.0,0.0,2072.2538070111186,-630.5481581066524,0.0,0.0,-1944.0705826756039,0.0,0.0,1714.97123797506,0.0,838.8313000440285,0.0,6338.948223275933,-293.72609818394994,0.0,0.0,2369.403588208923,0.0,0.0,15161.396842120126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.1275850185398,9713.62270333368,0.0,0.0,0.0,0.0,707.4447565902883,1658.1340309727896,0.0,0.0,980.6978879886566,0.0,0.0,1870.9309366526984,0.0,1617.9640712307396,0.0,451.3023165714793,992.0456249318506,0.0,0.0,5995.313206775017,0.0,0.0
8,2015-01-13 23:59:59,1421193599,0.0,3485.8479957646123,2601.6728015868175,0.0,0.0,0.0,0.0,3614.2311267238547,-87.3689503611422,0.0,0.0,-2411.362918157205,0.0,0.0,1960.6022454725571,0.0,713.1234034002373,0.0,6650.032860785002,-257.1154985198791,0.0,0.0,1921.8202339894779,0.0,0.0,18191.483300684333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.1275850185398,9713.62270333368,0.0,0.0,0.0,0.0,707.4447565902883,1658.1340309727896,0.0,0.0,980.6978879886566,0.0,0.0,1870.9309366526984,0.0,1617.9640712307396,0.0,451.3023165714793,992.0456249318506,0.0,0.0,5995.313206775017,0.0,0.0
9,2015-01-14 23:59:59,1421279999,0.0,3342.67637386332,2601.6728015868175,0.0,0.0,0.0,0.0,3068.1252434535127,-344.670175230789,0.0,0.0,-2149.6836229210203,0.0,0.0,1802.6954285168376,0.0,1184.554302274828,0.0,5850.004398852667,-293.7250352521187,0.0,0.0,2279.889254487949,0.0,0.0,17341.538969632005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.1275850185398,9713.62270333368,0.0,0.0,0.0,0.0,707.4447565902883,1658.1340309727896,0.0,0.0,980.6978879886566,0.0,0.0,1870.9309366526984,0.0,1617.9640712307396,0.0,451.3023165714793,992.0456249318506,0.0,0.0,5995.313206775017,0.0,0.0
