datetime,HK_HSTECH
2014-12-31,0.0
2015-01-01,-0.0030000000000000027
2015-01-02,-0.002018865323834773
2015-01-03,-0.002018865323834773
2015-01-04,-0.002018865323834773
2015-01-05,0.005241231465521468
2015-01-06,0.01609660922491174
2015-01-07,0.03696933787392309
2015-01-08,0.057436961473957826
2015-01-09,0.06651731785596882
2015-01-10,0.06651731785596882
2015-01-11,0.06651731785596882
2015-01-12,0.06064558736848036
2015-01-13,0.07276593320273728
2015-01-14,0.06936615587852812
2015-01-15,0.06403367024079021
2015-01-16,0.04720512658594456
2015-01-17,0.04720512658594456
2015-01-18,0.04720512658594456
2015-01-19,0.03688318006033908
2015-01-20,0.04982588987613612
2015-01-21,0.0704640844633766
2015-01-22,0.06698283212185174
2015-01-23,0.07794012955100982
2015-01-24,0.07794012955100982
2015-01-25,0.07794012955100982
2015-01-26,0.09692965399515452
2015-01-27,0.09461351930506523
2015-01-28,0.09892358349284835
2015-01-29,0.09426496565244169
2015-01-30,0.09014873637906229
2015-01-31,0.08988726287583759
2015-02-01,0.08988726287583759
2015-02-02,0.0908928674811802
2015-02-03,0.11525462019782684
2015-02-04,0.12073884009918068
2015-02-05,0.11033786632619269
2015-02-06,0.10838023223314797
2015-02-07,0.10838023223314797
2015-02-08,0.10838023223314797
2015-02-09,0.10955467900889415
2015-02-10,0.10273823390106673
2015-02-11,0.11232732997689099
2015-02-12,0.12408440531341447
2015-02-13,0.12497861183577941
2015-02-14,0.12497861183577941
2015-02-15,0.12497861183577941
2015-02-16,0.12105029110781751
2015-02-17,0.12211246313869295
2015-02-18,0.1184251839620214
2015-02-19,0.1184251839620214
2015-02-20,0.1184251839620214
2015-02-21,0.1184251839620214
2015-02-22,0.1184251839620214
2015-02-23,0.13599825798485576
2015-02-24,0.13884071631057116
2015-02-25,0.14466858228928037
2015-02-26,0.15517856024165488
2015-02-27,0.14575375723786932
2015-02-28,0.14467346909812595
2015-03-01,0.14467346909812595
2015-03-02,0.14799091656271268
2015-03-03,0.14546382793457058
2015-03-04,0.14344778080942766
2015-03-05,0.1398122467166818
2015-03-06,0.15615115222802523
2015-03-07,0.15615115222802523
2015-03-08,0.15615115222802523
2015-03-09,0.15170469385503527
2015-03-10,0.1307679115391922
2015-03-11,0.127318027894614
2015-03-12,0.13800332855327802
2015-03-13,0.12558252369368206
2015-03-14,0.12558252369368206
2015-03-15,0.12558252369368206
2015-03-16,0.13571612147724776
2015-03-17,0.13055103408000468
2015-03-18,0.13576668859413
2015-03-19,0.15541646681070276
2015-03-20,0.15152985877479752
2015-03-21,0.15152985877479752
2015-03-22,0.15152985877479752
2015-03-23,0.1676086898796727
2015-03-24,0.17503435317578897
2015-03-25,0.16582045617472319
2015-03-26,0.1451392546688104
2015-03-27,0.14371294580986715
2015-03-28,0.14371294580986715
2015-03-29,0.14371294580986715
2015-03-30,0.16942939892066544
2015-03-31,0.1807392461396693
2015-04-01,0.19308090506471576
2015-04-02,0.21489011931214375
2015-04-03,0.21489011931214375
2015-04-04,0.21489011931214375
2015-04-05,0.21489011931214375
2015-04-06,0.21489011931214397
2015-04-07,0.21489011931214397
2015-04-08,0.30126151253542477
2015-04-09,0.33835516889040584
2015-04-10,0.34622790157626193
2015-04-11,0.34622790157626193
2015-04-12,0.34622790157626193
2015-04-13,0.4015693481854883
2015-04-14,0.3615271247364318
2015-04-15,0.3580944529220331
2015-04-16,0.35675961320652827
2015-04-17,0.34312631913873926
2015-04-18,0.34312631913873926
2015-04-19,0.34312631913873926
2015-04-20,0.30022584646041484
2015-04-21,0.33623895346966237
2015-04-22,0.35811849330064227
2015-04-23,0.35105250266185806
2015-04-24,0.34119647779546214
2015-04-25,0.34119647779546214
2015-04-26,0.34119647779546214
2015-04-27,0.3523499384397608
2015-04-28,0.35459195338902805
2015-04-29,0.3532001819468973
2015-04-30,0.33708535893345215
2015-05-01,0.33708535893345215
2015-05-02,0.33708535893345215
2015-05-03,0.33708535893345215
2015-05-04,0.3340436920770633
2015-05-05,0.33237281774887806
2015-05-06,0.3181483945435235
2015-05-07,0.2878814808971677
2015-05-08,0.32952539479305365
2015-05-09,0.32952539479305365
2015-05-10,0.32952539479305365
2015-05-11,0.35881016395944587
2015-05-12,0.34789019265658183
2015-05-13,0.35482933921991133
2015-05-14,0.35907815687896494
2015-05-15,0.3581275157965036
2015-05-16,0.3581275157965036
2015-05-17,0.3581275157965036
2015-05-18,0.3732343009193546
2015-05-19,0.3877877527562841
2015-05-20,0.383456281097974
2015-05-21,0.37224053110409505
2015-05-22,0.3722496043253811
2015-05-23,0.3722496043253811
2015-05-24,0.3722496043253811
2015-05-25,0.3722496043253811
2015-05-26,0.3754050354629488
2015-05-27,0.3694862454155867
2015-05-28,0.3378704431465418
2015-05-29,0.3406724861699908
2015-05-30,0.3406724861699908
2015-05-31,0.34033334483855615
2015-06-01,0.3645528406275198
2015-06-02,0.3487897712203998
2015-06-03,0.34044953610800444
2015-06-04,0.33429367793654174
2015-06-05,0.3277938791114263
2015-06-06,0.3277938791114263
2015-06-07,0.3277938791114263
2015-06-08,0.3073792660512418
2015-06-09,0.2786702955923954
2015-06-10,0.2665750143706729
2015-06-11,0.2800469204279734
2015-06-12,0.29504486548091835
2015-06-13,0.29504486548091835
2015-06-14,0.29504486548091835
2015-06-15,0.27391204127962054
2015-06-16,0.26434245218921326
2015-06-17,0.27548449690990084
2015-06-18,0.2898018236660729
2015-06-19,0.28348982327692807
2015-06-20,0.28348982327692807
2015-06-21,0.28348982327692807
2015-06-22,0.2925120488516866
