,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
600011,0,0,0,0,0,0,0,0,0,0,1
600015,0,0,0,0,1,0,0,0,0,0,0
600016,0,0,0,0,1,0,0,0,0,0,0
600018,0,0,0,0,0,0,1,0,0,0,0
600019,0,0,0,0,0,0,0,0,1,0,0
600021,0,0,0,0,0,0,0,0,0,0,1
600023,0,0,0,0,0,0,0,0,0,0,1
600028,0,0,0,1,0,0,0,0,0,0,0
600029,0,0,0,0,0,0,1,0,0,0,0
600030,0,0,0,0,1,0,0,0,0,0,0
600031,0,0,0,0,0,0,1,0,0,0,0
600036,0,0,0,0,1,0,0,0,0,0,0
600038,0,0,0,0,0,0,1,0,0,0,0
600048,0,0,0,0,0,0,0,0,0,1,0
600050,1,0,0,0,0,0,0,0,0,0,0
600061,0,0,0,0,1,0,0,0,0,0,0
600066,0,0,0,0,0,0,1,0,0,0,0
600068,0,0,0,0,0,0,1,0,0,0,0
600074,0,0,0,0,0,0,0,1,0,0,0
600085,0,0,0,0,0,1,0,0,0,0,0
600089,0,0,0,0,0,0,1,0,0,0,0
600100,0,0,0,0,0,0,0,1,0,0,0
600104,0,1,0,0,0,0,0,0,0,0,0
600109,0,0,0,0,1,0,0,0,0,0,0
600111,0,0,0,0,0,0,0,0,1,0,0
600115,0,0,0,0,0,0,1,0,0,0,0
600118,0,0,0,0,0,0,1,0,0,0,0
600153,0,0,0,0,0,0,1,0,0,0,0
600157,0,0,0,1,0,0,0,0,0,0,0
600170,0,0,0,0,0,0,1,0,0,0,0
600177,0,0,0,0,0,0,0,0,0,1,0
600188,0,0,0,1,0,0,0,0,0,0,0
600196,0,0,0,0,0,1,0,0,0,0,0
600208,0,0,0,0,0,0,0,0,0,1,0
600219,0,0,0,0,0,0,0,0,1,0,0
600221,0,0,0,0,0,0,1,0,0,0,0
600233,0,0,0,0,0,0,1,0,0,0,0
600271,0,0,0,0,0,0,0,1,0,0,0
600276,0,0,0,0,0,1,0,0,0,0,0
600297,0,1,0,0,0,0,0,0,0,0,0
600309,0,0,0,0,0,0,0,0,1,0,0
600332,0,0,0,0,0,1,0,0,0,0,0
600340,0,0,0,0,0,0,0,0,0,1,0
600352,0,0,0,0,0,0,0,0,1,0,0
600362,0,0,0,0,0,0,0,0,1,0,0
600369,0,0,0,0,1,0,0,0,0,0,0
600372,0,0,0,0,0,0,1,0,0,0,0
600373,1,0,0,0,0,0,0,0,0,0,0
600376,0,0,0,0,0,0,0,0,0,1,0
600383,0,0,0,0,0,0,0,0,0,1,0
600390,0,0,0,0,1,0,0,0,0,0,0
600406,0,0,0,0,0,0,1,0,0,0,0
600415,0,0,0,0,0,0,0,0,0,1,0
600436,0,0,0,0,0,1,0,0,0,0,0
600482,0,1,0,0,0,0,0,0,0,0,0
600485,0,0,0,0,0,0,0,1,0,0,0
600489,0,0,0,0,0,0,0,0,1,0,0
600498,0,0,0,0,0,0,0,1,0,0,0
600518,0,0,0,0,0,1,0,0,0,0,0
600519,0,0,1,0,0,0,0,0,0,0,0
600522,0,0,0,0,0,0,1,0,0,0,0
600535,0,0,0,0,0,1,0,0,0,0,0
600547,0,0,0,0,0,0,0,0,1,0,0
600549,0,0,0,0,0,0,0,0,1,0,0
600570,0,0,0,0,0,0,0,1,0,0,0
600583,0,0,0,1,0,0,0,0,0,0,0
600585,0,0,0,0,0,0,0,0,1,0,0
600588,0,0,0,0,0,0,0,1,0,0,0
600606,0,0,0,0,0,0,0,0,0,1,0
600637,1,0,0,0,0,0,0,0,0,0,0
600649,0,0,0,0,0,0,0,0,0,1,0
600660,0,1,0,0,0,0,0,0,0,0,0
600663,0,0,0,0,0,0,0,0,0,1,0
600674,0,0,0,0,0,0,0,0,0,0,1
600682,0,1,0,0,0,0,0,0,0,0,0
600685,0,0,0,0,0,0,1,0,0,0,0
600688,0,0,0,0,0,0,0,0,1,0,0
600690,0,1,0,0,0,0,0,0,0,0,0
600703,0,0,0,0,0,0,0,1,0,0,0
600704,0,1,0,0,0,0,0,0,0,0,0
600705,0,0,0,0,1,0,0,0,0,0,0
600739,0,1,0,0,0,0,0,0,0,0,0
600741,0,1,0,0,0,0,0,0,0,0,0
600795,0,0,0,0,0,0,0,0,0,0,1
600804,1,0,0,0,0,0,0,0,0,0,0
600816,0,0,0,0,1,0,0,0,0,0,0
600820,0,0,0,0,0,0,1,0,0,0,0
600827,0,0,1,0,0,0,0,0,0,0,0
600837,0,0,0,0,1,0,0,0,0,0,0
600871,0,0,0,1,0,0,0,0,0,0,0
600886,0,0,0,0,0,0,0,0,0,0,1
600887,0,0,1,0,0,0,0,0,0,0,0
600893,0,0,0,0,0,0,1,0,0,0,0
600895,0,0,0,0,0,0,0,0,0,1,0
600900,0,0,0,0,0,0,0,0,0,0,1
600909,0,0,0,0,1,0,0,0,0,0,0
600919,0,0,0,0,1,0,0,0,0,0,0
600926,0,0,0,0,1,0,0,0,0,0,0
600958,0,0,0,0,1,0,0,0,0,0,0
600959,1,0,0,0,0,0,0,0,0,0,0
600977,1,0,0,0,0,0,0,0,0,0,0
600999,0,0,0,0,1,0,0,0,0,0,0
601006,0,0,0,0,0,0,1,0,0,0,0
601009,0,0,0,0,1,0,0,0,0,0,0
601012,0,0,0,0,0,0,0,1,0,0,0
601018,0,0,0,0,0,0,1,0,0,0,0
601021,0,0,0,0,0,0,1,0,0,0,0
601088,0,0,0,1,0,0,0,0,0,0,0
601099,0,0,0,0,1,0,0,0,0,0,0
601111,0,0,0,0,0,0,1,0,0,0,0
601117,0,0,0,0,0,0,1,0,0,0,0
601118,0,0,0,0,0,0,0,0,1,0,0
601155,0,0,0,0,0,0,0,0,0,1,0
601163,0,1,0,0,0,0,0,0,0,0,0
601166,0,0,0,0,1,0,0,0,0,0,0
601169,0,0,0,0,1,0,0,0,0,0,0
601186,0,0,0,0,0,0,1,0,0,0,0
601198,0,0,0,0,1,0,0,0,0,0,0
601211,0,0,0,0,1,0,0,0,0,0,0
601212,0,0,0,0,0,0,0,0,1,0,0
601216,0,0,0,0,0,0,0,0,1,0,0
601225,0,0,0,1,0,0,0,0,0,0,0
601228,0,0,0,0,0,0,1,0,0,0,0
601229,0,0,0,0,1,0,0,0,0,0,0
601288,0,0,0,0,1,0,0,0,0,0,0
601318,0,0,0,0,1,0,0,0,0,0,0
601328,0,0,0,0,1,0,0,0,0,0,0
601333,0,0,0,0,0,0,1,0,0,0,0
601336,0,0,0,0,1,0,0,0,0,0,0
601375,0,0,0,0,1,0,0,0,0,0,0
601377,0,0,0,0,1,0,0,0,0,0,0
601390,0,0,0,0,0,0,1,0,0,0,0
601398,0,0,0,0,1,0,0,0,0,0,0
601555,0,0,0,0,1,0,0,0,0,0,0
601600,0,0,0,0,0,0,0,0,1,0,0
601601,0,0,0,0,1,0,0,0,0,0,0
601607,0,0,0,0,0,1,0,0,0,0,0
601608,0,0,0,0,0,0,1,0,0,0,0
601611,0,0,0,0,0,0,1,0,0,0,0
601618,0,0,0,0,0,0,1,0,0,0,0
601628,0,0,0,0,1,0,0,0,0,0,0
601633,0,1,0,0,0,0,0,0,0,0,0
601668,0,0,0,0,0,0,1,0,0,0,0
601669,0,0,0,0,0,0,1,0,0,0,0
601688,0,0,0,0,1,0,0,0,0,0,0
601718,0,0,0,0,0,0,1,0,0,0,0
601727,0,0,0,0,0,0,1,0,0,0,0
601766,0,0,0,0,0,0,1,0,0,0,0
601788,0,0,0,0,1,0,0,0,0,0,0
601800,0,0,0,0,0,0,1,0,0,0,0
601818,0,0,0,0,1,0,0,0,0,0,0
601857,0,0,0,1,0,0,0,0,0,0,0
601866,0,0,0,0,0,0,1,0,0,0,0
601872,0,0,0,1,0,0,0,0,0,0,0
601877,0,0,0,0,0,0,1,0,0,0,0
601878,0,0,0,0,1,0,0,0,0,0,0
601881,0,0,0,0,1,0,0,0,0,0,0
601888,0,1,0,0,0,0,0,0,0,0,0
