date,sp500
2010-07-17,-0.04503632
2010-07-18,-0.04503632
2010-07-19,-0.039323827
2010-07-20,-0.028356201
2010-07-21,-0.040812483
2010-07-22,-0.019218007
2010-07-23,-0.01115595
2010-07-24,-0.01115595
2010-07-25,-0.01115595
2010-07-26,-8.07103e-05
2010-07-27,-0.001129944
2010-07-28,-0.008044121999999999
2010-07-29,-0.012169312
2010-07-30,-0.012106538
2010-07-31,-0.012106538
2010-08-01,-0.012106538
2010-08-02,0.009649359
2010-08-03,0.004806744
2010-08-04,0.010886916000000002
2010-08-05,0.00960452
2010-08-06,0.005864945
2010-08-07,0.005864945
2010-08-08,0.005864945
2010-08-09,0.011380145
2010-08-10,0.005344811999999999
2010-08-11,-0.022984486000000002
2010-08-12,-0.02823962
2010-08-13,-0.032149582999999995
2010-08-14,-0.032149582999999995
2010-08-15,-0.032149582999999995
2010-08-16,-0.032033002000000005
2010-08-17,-0.020231369
2010-08-18,-0.018778585
2010-08-19,-0.035395929
2010-08-20,-0.038929244
2010-08-21,-0.038929244
2010-08-22,-0.038929244
2010-08-23,-0.042812304
2010-08-24,-0.056703435
2010-08-25,-0.053600574000000005
2010-08-26,-0.060873464
2010-08-27,-0.045296385999999994
2010-08-28,-0.045296385999999994
2010-08-29,-0.045296385999999994
2010-08-30,-0.059348937000000004
2010-08-31,-0.058981257
2010-09-01,-0.031216931
2010-09-02,-0.022419513999999998
2010-09-03,-0.009496906
2010-09-04,-0.009496906
2010-09-05,-0.009496906
2010-09-06,-0.009496906
2010-09-07,-0.020859116
2010-09-08,-0.014554748000000001
2010-09-09,-0.009792844
2010-09-10,-0.004977132
2010-09-11,-0.004977132
2010-09-12,-0.004977132
2010-09-13,0.0060981080000000005
2010-09-14,0.005380683000000001
2010-09-15,0.008940901999999999
2010-09-16,0.008573222
2010-09-17,0.009407228
2010-09-18,0.009407228
2010-09-19,0.009407228
2010-09-20,0.024760111
2010-09-21,0.022132544
2010-09-22,0.017200251
2010-09-23,0.008725675
2010-09-24,0.030104923
2010-09-25,0.030104923
2010-09-26,0.030104923
2010-09-27,0.024266882000000004
2010-09-28,0.029235046
2010-09-29,0.026571607999999997
2010-09-30,0.023405972999999997
2010-10-01,0.027925747
2010-10-02,0.027925747
2010-10-03,0.027925747
2010-10-04,0.019666398
2010-10-05,0.040938032
2010-10-06,0.040238544
2010-10-07,0.038525693
2010-10-08,0.044883867
2010-10-09,0.044883867
2010-10-10,0.044883867
2010-10-11,0.04503632
2010-10-12,0.049026993
2010-10-13,0.056497175
2010-10-14,0.052649987
2010-10-15,0.054784324
2010-10-16,0.054784324
2010-10-17,0.054784324
2010-10-18,0.062424895
2010-10-19,0.045556452000000004
2010-10-20,0.05655995
2010-10-21,0.058434220999999995
2010-10-22,0.060963142000000005
2010-10-23,0.060963142000000005
2010-10-24,0.060963142000000005
2010-10-25,0.063240965
2010-10-26,0.06325890099999999
2010-10-27,0.060398170999999994
2010-10-28,0.061590889
2010-10-29,0.061124563
2010-10-30,0.061124563
2010-10-31,0.061124563
2010-11-01,0.062128957
2010-11-02,0.07037037
2010-11-03,0.074307237
2010-11-04,0.09502286800000001
2010-11-05,0.09931844699999999
2010-11-06,0.09931844699999999
2010-11-07,0.09931844699999999
2010-11-08,0.09698681699999999
2010-11-09,0.08815352900000001
2010-11-10,0.092915434
2010-11-11,0.08827907800000001
2010-11-12,0.075428213
2010-11-13,0.075428213
2010-11-14,0.075428213
2010-11-15,0.074118913
2010-11-16,0.056712402
2010-11-17,0.056936598
2010-11-18,0.07316832599999999
2010-11-19,0.075894539
2010-11-20,0.075894539
2010-11-21,0.075894539
2010-11-22,0.07419962299999999
2010-11-23,0.058855708
2010-11-24,0.074656981
2010-11-25,0.074656981
2010-11-26,0.066630795
2010-11-27,0.066630795
2010-11-28,0.066630795
2010-11-29,0.065160075
2010-11-30,0.058694288
2010-12-01,0.081580127
2010-12-02,0.095444355
2010-12-03,0.09829611699999999
2010-12-04,0.09829611699999999
2010-12-05,0.09829611699999999
2010-12-06,0.096870236
2010-12-07,0.09743520800000001
2010-12-08,0.10149762400000001
2010-12-09,0.105730428
2010-12-10,0.11236660400000001
2010-12-11,0.11236660400000001
2010-12-12,0.11236660400000001
2010-12-13,0.112420411
2010-12-14,0.113433773
2010-12-15,0.107730248
2010-12-16,0.11458165199999999
2010-12-17,0.115514304
2010-12-18,0.115514304
2010-12-19,0.115514304
2010-12-20,0.11835709800000001
2010-12-21,0.12510088800000002
2010-12-22,0.128903237
2010-12-23,0.127046902
2010-12-24,0.127046902
2010-12-25,0.127046902
2010-12-26,0.127046902
2010-12-27,0.12773742300000002
2010-12-28,0.1286073
2010-12-29,0.129746211
2010-12-30,0.128042328
2010-12-31,0.127827101
2011-01-01,0.127827101
2011-01-02,0.127827101
2011-01-03,0.140588288
2011-01-04,0.139090665
2011-01-05,0.14479418900000002
2011-01-06,0.142363914
2011-01-07,0.14025647900000002
2011-01-08,0.14025647900000002
2011-01-09,0.14025647900000002
2011-01-10,0.138687113
2011-01-11,0.142928885
2011-01-12,0.15322392599999998
2011-01-13,0.151251009
2011-01-14,0.159752489
2011-01-15,0.159752489
2011-01-16,0.159752489
2011-01-17,0.159752489
2011-01-18,0.161348758
2011-01-19,0.14960093300000002
2011-01-20,0.148112277
2011-01-21,0.150883329
2011-01-22,0.150883329
2011-01-23,0.150883329
2011-01-24,0.157600215
2011-01-25,0.157905121
2011-01-26,0.162792575
2011-01-27,0.165402206
2011-01-28,0.144596897
2011-01-29,0.144596897
2011-01-30,0.144596897
2011-01-31,0.153367411
2011-02-01,0.17262129
2011-02-02,0.16942875100000002
2011-02-03,0.172181867
2011-02-04,0.17556273
2011-02-05,0.17556273
2011-02-06,0.17556273
2011-02-07,0.182898395
2011-02-08,0.18784862300000002
2011-02-09,0.184539503
2011-02-10,0.185427316
2011-02-11,0.191955878
2011-02-12,0.191955878
2011-02-13,0.191955878
2011-02-14,0.194798673
2011-02-15,0.19093354899999998
2011-02-16,0.198385795
2011-02-17,0.202071563
2011-02-18,0.204385257
2011-02-19,0.204385257
2011-02-20,0.204385257
2011-02-21,0.204385257
2011-02-22,0.179661017
2011-02-23,0.17245090100000002
2011-02-24,0.171285087
2011-02-25,0.183642723
2011-02-26,0.183642723
2011-02-27,0.183642723
2011-02-28,0.19022509199999998
2011-03-01,0.17149134600000002
2011-03-02,0.173383553
2011-03-03,0.19358801899999997
2011-03-04,0.18478163399999997
2011-03-05,0.18478163399999997
2011-03-06,0.18478163399999997
2011-03-07,0.174899112
2011-03-08,0.185382477
2011-03-09,0.18376827199999998
2011-03-10,0.16142946800000002
2011-03-11,0.16965294600000003
