datetime,US_Tech
2009-12-31,0.0
2010-01-01,-0.0030000000000000027
2010-01-02,-0.0030000000000000027
2010-01-03,-0.0030000000000000027
2010-01-04,0.017132004504310405
2010-01-05,0.020801043562654886
2010-01-06,0.017668876123189348
2010-01-07,0.010256533234531906
2010-01-08,0.01587757398744416
2010-01-09,0.01587757398744416
2010-01-10,0.01587757398744416
2010-01-11,0.012483583168104273
2010-01-12,0.016546148089928936
2010-01-13,0.02601546450411263
2010-01-14,0.0322684109400424
2010-01-15,0.018920687030569372
2010-01-16,0.018920687030569372
2010-01-17,0.018920687030569372
2010-01-18,0.018920687030569372
2010-01-19,0.021149052862229123
2010-01-20,0.004206075539379572
2010-01-21,-0.007636593020880822
2010-01-22,-0.04750519720519164
2010-01-23,-0.04750519720519164
2010-01-24,-0.04750519720519164
2010-01-25,-0.0441087832572471
2010-01-26,-0.05001255274460681
2010-01-27,-0.041011706239591716
2010-01-28,-0.05561964138045383
2010-01-29,-0.06847497086794341
2010-01-30,-0.06847497086794341
2010-01-31,-0.06847497086794341
2010-02-01,-0.049733438741409675
2010-02-02,-0.040438651646802715
2010-02-03,-0.0398025382862115
2010-02-04,-0.0803673076544208
2010-02-05,-0.06762287662260802
2010-02-06,-0.06762287662260802
2010-02-07,-0.06762287662260802
2010-02-08,-0.06881591139831322
2010-02-09,-0.05840184789530212
2010-02-10,-0.05602091717301305
2010-02-11,-0.04314105545223812
2010-02-12,-0.04245163459300627
2010-02-13,-0.04245163459300627
2010-02-14,-0.04245163459300627
2010-02-15,-0.04245163459300627
2010-02-16,-0.018470490301165987
2010-02-17,-0.015353578081977903
2010-02-18,-0.007779370838875033
2010-02-19,-0.00978272837702332
2010-02-20,-0.00978272837702332
2010-02-21,-0.00978272837702332
2010-02-22,-0.016036086118740966
2010-02-23,-0.03661368777720764
2010-02-24,-0.03437701584347164
2010-02-25,-0.039471174574848056
2010-02-26,-0.030266807729014578
2010-02-27,-0.030266807729014578
2010-02-28,-0.030266807729014578
2010-03-01,-0.015721086115982552
2010-03-02,-0.019497372438070815
2010-03-03,-0.021257627939500368
2010-03-04,-0.015079780788553765
2010-03-05,-0.0029177837899260206
2010-03-06,-0.0029177837899260206
2010-03-07,-0.0029177837899260206
2010-03-08,0.0072952651422384385
2010-03-09,0.0036625194380666137
2010-03-10,0.007989128156266512
2010-03-11,0.0246063033135
2010-03-12,0.021706093236293578
2010-03-13,0.021706093236293578
2010-03-14,0.021706093236293578
2010-03-15,0.01615079113973472
2010-03-16,0.03304155047072688
2010-03-17,0.041053313400151836
2010-03-18,0.04297583984121833
2010-03-19,0.024658864815735537
2010-03-20,0.024658864815735537
2010-03-21,0.024658864815735537
2010-03-22,0.04391158096122294
2010-03-23,0.06312166559754284
2010-03-24,0.04549041897093531
2010-03-25,0.0425563366512407
2010-03-26,0.03311306076690568
2010-03-27,0.03311306076690568
2010-03-28,0.03311306076690568
2010-03-29,0.031122915287312702
2010-03-30,0.031290846441133224
2010-03-31,0.021594756399277992
2010-04-01,0.014531346157740321
2010-04-02,0.014531346157740321
2010-04-03,0.014531346157740321
2010-04-04,0.014531346157740321
2010-04-05,0.02517539648964484
2010-04-06,0.03280548988247478
2010-04-07,0.03674768749290891
2010-04-08,0.03296829119162625
2010-04-09,0.037692730269086594
2010-04-10,0.037692730269086594
2010-04-11,0.037692730269086594
2010-04-12,0.03640064870193016
2010-04-13,0.03471791612543851
2010-04-14,0.06025445284829911
2010-04-15,0.06051494681793179
2010-04-16,0.04240409469921658
2010-04-17,0.04240409469921658
2010-04-18,0.04240409469921658
2010-04-19,0.03279218494434999
2010-04-20,0.04744852056792492
2010-04-21,0.04441561092059487
2010-04-22,0.0459412123351175
2010-04-23,0.06159545613926487
2010-04-24,0.06159545613926487
2010-04-25,0.06159545613926487
2010-04-26,0.07055966918809609
2010-04-27,0.04391563467775006
2010-04-28,0.04614924583734381
2010-04-29,0.048372806273801805
2010-04-30,0.042606063800588734
2010-05-01,0.042606063800588734
2010-05-02,0.042606063800588734
2010-05-03,0.0667205991957136
2010-05-04,0.02587093040653987
2010-05-05,0.015240452581357422
2010-05-06,-0.020113071427821483
2010-05-07,-0.03041580423234902
2010-05-08,-0.03041580423234902
2010-05-09,-0.03041580423234902
2010-05-10,0.014868252092743672
2010-05-11,0.014980297908810947
2010-05-12,0.03828978763674806
2010-05-13,0.025817143785370034
2010-05-14,-0.003140333761131875
2010-05-15,-0.003140333761131875
2010-05-16,-0.003140333761131875
2010-05-17,-0.022791157269115847
2010-05-18,-0.04031994057287658
2010-05-19,-0.04952495872785345
2010-05-20,-0.08317536913929124
2010-05-21,-0.06610162027882627
2010-05-22,-0.06610162027882627
2010-05-23,-0.06610162027882627
2010-05-24,-0.0830892427359815
2010-05-25,-0.08579453351651745
2010-05-26,-0.09163939706203095
2010-05-27,-0.0477526222100122
2010-05-28,-0.06391467586125754
2010-05-29,-0.06391467586125754
2010-05-30,-0.06391467586125754
2010-05-31,-0.06391467586125754
2010-06-01,-0.09384743076170521
2010-06-02,-0.06085598720742336
2010-06-03,-0.04492600263698021
2010-06-04,-0.09256564208403129
2010-06-05,-0.09256564208403129
2010-06-06,-0.09256564208403129
2010-06-07,-0.12934322379928564
2010-06-08,-0.13414551165686195
2010-06-09,-0.14026690986717782
2010-06-10,-0.11286250251962004
2010-06-11,-0.08599481156401645
2010-06-12,-0.08599481156401645
2010-06-13,-0.08599481156401645
2010-06-14,-0.08635808995609762
2010-06-15,-0.03742814514359594
2010-06-16,-0.04348749726033385
