,SPX Index,NDX Index,INDU Index,ACDER Index,DAX Index,NKY Index,HSI Index,SHSZ300 Index,SENSEX Index,UKX Index,LBUSTRUU Index,IBOXHY Index,IDCOTCPR Index,IDCOTSPR Index,LBUTTRUU Index,GOLDLNAM Index,CL1 Comdty
2014/10/13,1874.74,3807.996,16321.07,1169.98,8812.43,15300.55,23143.38,2454.95,26384.07,6366.24,1899.95,231.9235,100.7373,100.7351,283.1143,1228,85.74
2014/10/14,1877.7,3810.452,16315.19,1168.82,8825.21,14936.51,23047.97,2446.56,26349.33,6392.68,1907.91,230.9931,101.2219,100.7338,283.8896,1233,81.84
2014/10/15,1862.49,3785.974,16141.74,1140.83,8571.95,15073.52,23140.05,2463.87,26349.33,6211.64,1916.87,229.7413,101.7741,100.7283,284.9007,1223.5,81.78
2014/10/16,1862.76,3765.281,16117.24,1137.96,8582.9,14738.38,22900.94,2444.39,25999.34,6195.91,1910.4,229.9517,101.461,100.7237,284.1975,1241,82.7
2014/10/17,1886.76,3815.47,16380.41,1168.76,8850.27,14532.51,23023.21,2441.73,26108.53,6310.29,1908.51,233.2416,101.2392,100.7215,283.9995,1238,82.75
2014/10/20,1904.01,3870.078,16399.67,1164.16,8717.76,15111.23,23070.26,2454.71,26429.85,6267.07,1910.58,233.5497,101.3313,100.7208,283.9167,1241,82.71
2014/10/21,1941.28,3971.392,16614.81,1184.38,8886.96,14804.28,23088.58,2433.39,26575.65,6372.33,1909.34,235.0808,101.2357,100.718,283.4679,1251.75,82.81
2014/10/22,1927.11,3949.587,16461.32,1187.42,8940.14,15195.77,23403.97,2418.64,26787.23,6399.73,1907.63,235.7191,101.1159,100.71,283.0799,1246.75,80.52
2014/10/23,1950.82,4012.268,16677.9,1193.73,9047.31,15138.96,23333.18,2395.94,26851.05,6419.15,1903.54,235.5896,100.8908,100.7125,282.184,1240.5,82.09
2014/10/24,1964.58,4042.017,16805.41,1191.72,8987.8,15291.64,23302.2,2390.71,26851.05,6388.73,1903.64,235.812,100.8755,100.6975,281.8625,1231.75,81.01
