,SPX Index,NDX Index,INDU Index,DAX Index,NKY Index,HSI Index,SHSZ300 Index,SENSEX Index,UKX Index,LBUSTRUU Index,IBOXHY Index,IDCOTCPR Index,IDCOTSPR Index,LBUTTRUU Index,GOLDLNAM Index,CL1 Comdty
SPX Index,1.0,0.968572135423894,0.9850905917313789,0.7792382115759516,-0.10697622410776506,-0.18021497747026485,-0.10936198486303182,-0.27088051043495515,0.5651306064253702,0.06879117352783688,0.6573288121228282,0.0033995930780925457,-0.30595030090874825,0.1876583979745634,0.1813065000386969,0.7210932605573929
NDX Index,0.968572135423894,1.0,0.9492589727987929,0.8200275846851514,-0.1659946162967184,-0.04508623412921483,-0.020703011652270474,-0.1724700623614688,0.7199426075592977,0.12681498830955545,0.6498614286773958,0.04481659347856222,-0.3667581346547517,0.26587235063995646,0.20359310609954695,0.798341135328562
INDU Index,0.9850905917313789,0.9492589727987929,1.0,0.7683774148415611,0.022801231704993215,-0.26268042891052,-0.12237963941417092,-0.1716365021176784,0.5714911013699068,0.09271236084022841,0.7288970161308179,0.029179046326132344,-0.3159849968105192,0.20000130474213224,0.24799943206087446,0.7274867392267707
DAX Index,0.7792382115759516,0.8200275846851514,0.7683774148415611,1.0,-0.12259567301554081,0.09356714526263396,0.39059127962520596,-0.17248481587575953,0.7514617701090758,0.006756113389094806,0.4164320140888572,-0.06377834965258124,-0.31669433304284444,0.06847112998452852,0.18919322621062531,0.6844175924093427
NKY Index,-0.10697622410776506,-0.1659946162967184,0.022801231704993215,-0.12259567301554081,1.0,-0.12575813590168183,-0.18837201719593405,0.6989104282336858,-0.11127506363301715,0.12332480654261715,0.5538830166666073,0.14121194700370188,0.005803603455115678,0.013054655497655185,0.2137499103348938,0.046033730233440075
HSI Index,-0.18021497747026485,-0.04508623412921483,-0.26268042891052,0.09356714526263396,-0.12575813590168183,1.0,0.284233347806841,0.16962791278606776,0.24745832259428904,-0.24963707795663542,-0.005494323052132275,-0.3053045234870511,0.10427627715415057,-0.25019880341887024,-0.021841210394791796,0.35139393145362013
SHSZ300 Index,-0.10936198486303182,-0.020703011652270474,-0.12237963941417092,0.39059127962520596,-0.18837201719593405,0.284233347806841,1.0,-0.24036326775567746,0.34668502217627767,-0.18554723467348347,-0.22947035862409262,-0.19113788891668235,0.30518043487175434,-0.21272479164321714,0.42666103461473587,0.03781370431445753
SENSEX Index,-0.27088051043495515,-0.1724700623614688,-0.1716365021176784,-0.17248481587575953,0.6989104282336858,0.16962791278606776,-0.24036326775567746,1.0,0.08314722854870481,0.4743601742301064,0.35490555404770086,0.45192002980424656,-0.19220888569006572,0.4086913727303127,-0.12178580698565676,0.12967366906910524
UKX Index,0.5651306064253702,0.7199426075592977,0.5714911013699068,0.7514617701090758,-0.11127506363301715,0.24745832259428904,0.34668502217627767,0.08314722854870481,1.0,-0.07264490744941769,0.4481084670398291,-0.15724196799616463,-0.5595940698152002,0.06313349945511468,0.45426616843248235,0.6900617991751528
LBUSTRUU Index,0.06879117352783688,0.12681498830955545,0.09271236084022841,0.006756113389094806,0.12332480654261715,-0.24963707795663542,-0.18554723467348347,0.4743601742301064,-0.07264490744941769,1.0,0.078334132694278,0.9933281024721592,0.00575748869082191,0.9768516049190611,-0.5242738345323862,-0.031024140609616974
IBOXHY Index,0.6573288121228282,0.6498614286773958,0.7288970161308179,0.4164320140888572,0.5538830166666073,-0.005494323052132275,-0.22947035862409262,0.35490555404770086,0.4481084670398291,0.078334132694278,1.0,0.01361444844091029,-0.13119069142585707,0.13109991602716667,0.43943684504876024,0.7756865253842338
IDCOTCPR Index,0.0033995930780925457,0.04481659347856222,0.029179046326132344,-0.06377834965258124,0.14121194700370188,-0.3053045234870511,-0.19113788891668235,0.45192002980424656,-0.15724196799616463,0.9933281024721592,0.01361444844091029,1.0,0.03092789850234663,0.9576110474955757,-0.5441511051770188,-0.13859000712069966
IDCOTSPR Index,-0.30595030090874825,-0.3667581346547517,-0.3159849968105192,-0.31669433304284444,0.005803603455115678,0.10427627715415057,0.30518043487175434,-0.19220888569006572,-0.5595940698152002,0.00575748869082191,-0.13119069142585707,0.03092789850234663,1.0,-0.09651620291947416,0.09266762711089607,-0.12206590697385251
LBUTTRUU Index,0.1876583979745634,0.26587235063995646,0.20000130474213224,0.06847112998452852,0.013054655497655185,-0.25019880341887024,-0.21272479164321714,0.4086913727303127,0.06313349945511468,0.9768516049190611,0.13109991602716667,0.9576110474955757,-0.09651620291947416,1.0,-0.46064643737519634,0.06146170386561209
GOLDLNAM Index,0.1813065000386969,0.20359310609954695,0.24799943206087446,0.18919322621062531,0.2137499103348938,-0.021841210394791796,0.42666103461473587,-0.12178580698565676,0.45426616843248235,-0.5242738345323862,0.43943684504876024,-0.5441511051770188,0.09266762711089607,-0.46064643737519634,1.0,0.3411465690190617
CL1 Comdty,0.7210932605573929,0.798341135328562,0.7274867392267707,0.6844175924093427,0.046033730233440075,0.35139393145362013,0.03781370431445753,0.12967366906910524,0.6900617991751528,-0.031024140609616974,0.7756865253842338,-0.13859000712069966,-0.12206590697385251,0.06146170386561209,0.3411465690190617,1.0
